VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,-2.1149999999997817,-3.0019999999999527,-3.818000000000211,-4.298999999999978,-4.870000000000346,-5.601000000000113,-5.427000000000135,-6.255999999999858,-7.158999999999651,-8.186999999999898,-9.262000000000171,-9.79300000000012,-10.077000000000226,-10.733999999999924,-11.467999999999847,-11.73700000000008,-12.99200000000019,-14.03899999999976,-15.641999999999825,-16.759999999999764,-18.309000000000196,-20.296000000000276,-20.824999999999818,-21.048000000000684
SAI,-2.8200000000001637,-4.09900000000016,-4.856999999999971,-5.230000000000018,-5.999000000000251,-6.644999999999982,-6.682999999999993,-7.339999999999691,-8.384999999999764,-9.353999999999814,-10.260999999999967,-11.673999999999978,-12.355000000000018,-13.010000000000218,-13.856999999999971,-14.090999999999894,-15.085000000000036,-16.414999999999964,-18.021999999999935,-19.442999999999756,-21.061999999999898,-22.605999999999767,-23.182999999999993,-23.088000000000648
STR,-3.4670000000000982,-5.755000000000109,-6.882000000000062,-7.467000000000098,-8.48700000000008,-9.640000000000327,-9.802000000000135,-10.864999999999782,-11.755999999999858,-13.045000000000073,-14.276000000000295,-15.44900000000007,-16.506000000000313,-17.625,-18.8420000000001,-19.628000000000156,-21.041000000000167,-22.63299999999981,-24.18100000000004,-25.447999999999865,-26.850999999999658,-28.702000000000226,-28.653000000000247,-29.70300000000043
ALO,-4.128999999999905,-6.427000000000135,-8.063000000000102,-9.242999999999938,-10.049000000000433,-10.86200000000008,-10.929000000000087,-12.36999999999989,-13.687999999999647,-14.791999999999916,-15.58600000000024,-16.43899999999985,-17.30099999999993,-18.13700000000017,-19.36499999999978,-20.326000000000022,-22.89300000000003,-23.152999999999793,-24.733999999999924,-25.991999999999734,-27.309000000000196,-29.10899999999947,-29.153000000000247,-30.10900000000038
HUL,-1.2029999999999745,-1.712999999999738,-2.0280000000002474,-2.418999999999869,-2.8640000000000327,-3.5570000000002437,-4.4090000000001055,-5.44399999999996,-6.558999999999742,-7.679000000000087,-8.94399999999996,-11.184999999999945,-13.890000000000327,-15.501999999999953,-17.230000000000018,-19.16399999999976,-25.9079999999999,-48.98499999999967,-49.134000000000015,-46.84400000000005,-44.07300000000032,-41.090000000000146,-37.141999999999825,-31.29700000000048
OCO,-5.239000000000033,-7.994000000000142,-9.843000000000302,-11.351000000000113,-12.989000000000033,-14.188000000000102,-14.672000000000025,-16.19499999999971,-18.047000000000025,-20.016999999999825,-21.972000000000207,-23.44399999999996,-25.096000000000004,-26.54300000000012,-27.871999999999844,-29.51800000000003,-30.644000000000233,-31.95999999999958,-33.20399999999972,-34.396999999999935,-35.89300000000003,-37.060999999999694,-36.99499999999989,-36.60199999999986
RUS,-7.1030000000000655,-10.68899999999985,-13.039000000000215,-14.471000000000004,-16.253000000000156,-17.868000000000393,-18.96100000000024,-20.583999999999833,-21.527999999999793,-22.43399999999974,-23.858000000000175,-25.57400000000007,-26.77300000000014,-28.412000000000262,-33.28899999999976,-58.03699999999981,-58.74499999999989,-57.01599999999962,-54.74399999999969,-51.9380000000001,-48.38000000000011,-45.00600000000031,-39.810999999999694,-36.610999999999876
NOR,-6.425000000000182,-9.346000000000004,-11.166999999999916,-12.615999999999985,-13.86600000000044,-15.525000000000091,-16.489000000000033,-17.980999999999767,-18.980999999999767,-20.922000000000025,-22.94100000000026,-24.85699999999997,-26.039999999999964,-27.657000000000153,-29.034000000000106,-30.034999999999854,-31.347000000000207,-32.51800000000003,-33.853000000000065,-35.172000000000025,-36.672999999999774,-38.10699999999997,-38.51900000000023,-38.608000000000175
HAM,-7.351000000000113,-11.74499999999989,-14.088000000000193,-15.822999999999865,-17.365000000000236,-18.825000000000273,-19.71600000000035,-21.409999999999854,-23.148999999999887,-24.277000000000044,-25.171000000000276,-26.322000000000116,-27.673999999999978,-29.065000000000055,-30.371000000000095,-31.235999999999876,-36.108999999999924,-59.58399999999983,-61.746999999999844,-62.41600000000017,-59.63299999999981,-56.22699999999986,-51.625,-46.375
PIA,-9.851999999999862,-15.123999999999796,-18.64800000000014,-21.195000000000164,-23.833000000000084,-25.827000000000226,-27.384000000000015,-29.46900000000005,-31.76599999999962,-33.63299999999981,-35.04899999999998,-37.63799999999992,-39.465000000000146,-41.177999999999884,-42.88000000000011,-47.96199999999999,-69.13100000000031,-67.69799999999987,-65.65000000000009,-65.4090000000001,-62.03399999999965,-58.54600000000028,-55.55799999999999,-49.8070000000007
LEC,-5.545000000000073,-8.728000000000065,-10.541999999999916,-12.027000000000044,-13.25400000000036,-15.046000000000276,-15.378999999999905,-16.81999999999971,-18.46199999999999,-20.565999999999804,-22.721000000000004,-24.55600000000004,-25.382000000000062,-27.2470000000003,-29.184999999999945,-30.432999999999993,-31.919000000000324,-37.541999999999916,-62.335999999999785,-63.51200000000017,-61.503999999999905,-59.73399999999947,-56.1279999999997,-50.78900000000067
ALB,-4.992999999999938,-7.717999999999847,-9.33600000000024,-10.476999999999862,-11.64200000000028,-12.631000000000313,-13.209000000000287,-15.308999999999742,-17.641999999999825,-19.509000000000015,-21.028000000000247,-22.458000000000084,-24.097999999999956,-25.190000000000055,-26.440000000000055,-27.963999999999942,-29.748000000000047,-34.7819999999997,-61.53800000000001,-61.94200000000001,-61.274999999999636,-59.65599999999995,-57.238000000000284,-52.847999999999956
MAG,-6.778999999999996,-10.402000000000044,-12.187000000000353,-13.608999999999924,-15.260000000000218,-16.907000000000153,-18.096000000000004,-20.355000000000018,-22.69699999999966,-25.402999999999793,-27.56899999999996,-30.531999999999698,-32.36000000000013,-34.24400000000014,-36.12300000000005,-38.09400000000005,-44.791999999999916,-70.15299999999979,-71.14100000000008,-69.47000000000025,-68.86200000000008,-66.27899999999954,-61.238000000000284,-56.59300000000076
GAS,-9.101999999999862,-13.166999999999916,-16.277000000000044,-19.010999999999967,-21.445000000000164,-23.194000000000415,-24.838999999999942,-27.310999999999694,-29.475999999999658,-31.578999999999724,-33.465000000000146,-35.603000000000065,-37.63200000000006,-39.71100000000024,-41.690000000000055,-43.1869999999999,-45.276000000000295,-47.110999999999876,-48.958000000000084,-50.95100000000002,-52.78200000000015,-54.54699999999957,-56.44800000000032,-57.652000000000044
TSU,-8.476000000000113,-12.637000000000171,-15.736000000000331,-17.83100000000013,-20.07800000000043,-22.03500000000031,-23.039000000000215,-25.154999999999745,-27.379999999999654,-29.30099999999993,-31.442000000000007,-33.65299999999979,-35.82999999999993,-37.460000000000036,-39.253999999999905,-40.70499999999993,-43.16600000000017,-48.672999999999774,-73.34699999999975,-76.15700000000015,-74.9970000000003,-72.77300000000014,-68.55599999999959,-64.82200000000012
DEV,-9.20199999999977,-13.793999999999869,-17.990000000000236,-20.378000000000156,-22.740000000000236,-24.791000000000167,-26.70600000000013,-28.73999999999978,-30.728999999999814,-32.56999999999971,-34.76099999999997,-37.271999999999935,-40.68299999999999,-43.78700000000026,-46.39399999999978,-48.38599999999997,-55.590999999999894,-80.10699999999997,-80.31999999999971,-78.63799999999992,-76.05599999999959,-73.41299999999956,-69.83200000000033,-65.61700000000019
