HAM,-4.699999999999818,-5.695000000000164,-5.4780000000000655,-5.072000000000116,-4.584000000000287,-4.697000000000116,-4.463999999999942,-2.5910000000003492,-0.5850000000000364,-1.7600000000002183,-1.7899999999999636,-3.0690000000004147,-2.7669999999998254,-2.157999999999447,-2.131000000000313,-2.350999999999658,-2.774000000000342,-3.97400000000016,-3.8059999999995853,-3.8469999999997526,-3.6359999999995125,-3.5869999999995343,-3.587999999999738,-3.869999999999891,-3.7849999999998545,-7.550000000000182,-18.65599999999995,-11.147999999999229,-9.63799999999992,-6.91399999999976,-0.9939999999996871,-1.0640000000003056,-1.2150000000001455,-1.3150000000005093,-1.3510000000005675,-1.2879999999995562,-1.417000000000371,-1.3369999999995343,-1.110000000000582,0.0,0.0,0.0,0.0,-2.1589999999996508,-1.3170000000000073,-0.5850000000000364,-0.4830000000001746,-1.018000000000029,-0.9039999999995416,-0.6239999999997963,-0.9270000000005894,-0.6390000000001237,-0.6030000000000655,-0.9329999999999927,-1.0050000000001091,-0.8770000000004075,-0.5169999999998254,-0.5029999999987922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.540999999999258,-8.36999999999989,-5.908999999999651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.661000000000058,-19.063000000000102,-18.62800000000061,-14.475999999999658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1859999999996944,-1.9390000000003056,-2.4350000000013097,-2.941000000000713,-3.2330000000001746,-4.236000000000786,-4.94800000000032,-6.058999999999287,-6.783999999999651,-7.792999999999665,-8.625,-9.430000000000291,-10.495999999999185
BOT,-2.1419999999998254,-2.7590000000000146,-3.242000000000189,-3.3659999999999854,-6.19399999999996,-6.981000000000677,-5.75,-4.440000000000509,-0.7319999999999709,-2.8460000000004584,-3.269000000000233,-4.015000000000327,-4.001000000000204,-3.2590000000000146,-3.3840000000000146,-3.3919999999998254,-4.164999999999964,-4.880000000000109,-5.8159999999998035,-7.1030000000000655,-7.425999999999476,-8.2549999999992,-8.61999999999989,-8.798999999999978,-8.756999999999607,-8.99200000000019,-5.537999999999556,0.0,0.0,0.0,-6.320999999999913,-6.168000000000575,-6.610999999999876,-6.305000000000291,-6.229000000000269,-6.2039999999997235,-5.8770000000004075,-5.931999999999789,-5.82300000000032,-4.789999999999964,-8.77599999999984,-25.97900000000027,-21.427999999999884,-6.954999999999927,-7.179000000000087,-7.527999999999338,-8.219000000000051,-7.618000000000393,-7.310999999999694,-7.881999999999607,-8.427999999999884,-8.728000000000065,-9.009000000000015,-9.657999999999447,-10.122000000000298,-10.990999999999985,-11.21600000000035,-10.732999999998356,-11.136000000000422,-11.385000000000218,-11.404000000000451,-11.699000000000524,-11.891999999999825,-13.104999999999563,-13.504000000000815,-13.951999999999316,-14.145999999998821,-14.606999999999971,-14.212999999999738,-13.981999999999971,-13.575999999999112
PER,-1.2519999999999527,-1.2980000000002292,-1.4529999999999745,-1.4290000000000873,-1.3640000000000327,-2.5460000000002765,-1.8029999999998836,-1.6460000000006403,-0.33800000000064756,-1.324999999999818,-1.3689999999996871,-2.643000000000029,-2.561000000000604,-1.5929999999998472,-1.7080000000005384,-1.844000000000051,-2.4570000000003347,-3.793999999999869,-5.350000000000364,-6.2150000000001455,-6.4429999999993015,-6.7590000000000146,-6.779000000000451,-6.972999999999956,-7.208999999999833,-7.432999999999993,-4.0090000000000146,-2.324999999999818,-19.641999999999825,-20.886000000000422,-9.266999999999825,-9.677999999999884,-10.073999999999614,-10.390000000000327,-10.627999999999702,-10.567000000000007,-10.329999999999927,-10.339999999999236,-10.22900000000027,-9.03399999999965,-9.342999999999847,-13.359000000000378,-25.445999999999913,-10.38299999999981,-10.243999999999687,-11.198999999999614,-11.805000000000291,-11.158000000000357,-11.983999999999469,-12.292000000000371,-12.664999999999964,-12.824999999999818,-13.09900000000016,-13.49499999999989,-13.918999999999869,-14.556000000000495,-15.145000000000437,-15.198999999998705,-15.566999999999098,-16.037999999998647,-16.209000000000742,-16.11199999999917,-15.833999999998923,-16.29399999999987,-17.318999999999505,-17.568999999999505,-17.654999999998836,-17.725000000000364,-22.183999999999287,-42.79000000000087,-39.94000000000051
LEC,-3.119999999999891,-4.346000000000004,-5.626000000000204,-7.338999999999942,-8.442999999999756,-8.851000000000568,-7.518000000000029,-6.338999999999942,-0.8920000000007349,-3.73700000000008,-4.90099999999984,-6.873999999999796,-6.27599999999984,-5.153999999999542,-5.962000000000444,-6.806999999999789,-7.6469999999999345,-8.569999999999709,-9.457999999999629,-10.753999999999905,-11.457999999999629,-12.324999999999818,-12.840000000000146,-13.589999999999236,-14.22400000000016,-14.778000000000247,-15.452000000000226,-26.076000000000022,-26.092000000000553,-29.420000000000073,-19.0600000000004,-20.402000000000044,-21.881999999999607,-22.819000000000415,-23.447000000000116,-23.875,-24.079999999999927,-24.59400000000005,-25.067000000000007,-24.52899999999954,-25.217999999999847,-26.035000000000764,-23.46900000000005,-10.294999999999163,-12.411000000000058,-14.292999999999665,-16.57300000000032,-17.153000000000247,-18.791000000000167,-21.019999999999527,-23.16700000000037,-28.682999999999993,-47.347999999999956,-48.331999999999425,-48.76499999999942,-49.215000000001055,-49.5049999999992,-49.17099999999846,-49.36399999999958,-49.85399999999936,-49.8070000000007,-49.48999999999978,-49.29599999999846,-49.34300000000076,-49.449000000000524,-49.49399999999878,-49.902000000000044,-49.63500000000022,-49.40799999999945,-48.99700000000121,-49.516999999999825
SAI,-4.106999999999971,-5.567000000000007,-7.416999999999916,-8.451000000000022,-9.468000000000302,-10.59100000000035,-9.409999999999854,-7.704999999999927,-1.0700000000006185,-4.29700000000048,-5.793999999999869,-8.761000000000422,-10.00799999999981,-6.033999999999651,-6.747000000000298,-7.552999999999884,-8.577000000000226,-9.74499999999989,-10.780999999999949,-12.110999999999876,-13.055999999999585,-14.127999999999702,-14.777000000000044,-15.784999999999854,-16.284999999999854,-20.960000000000036,-34.08799999999974,-28.500999999999294,-29.422999999999774,-33.728000000000065,-22.951000000000022,-24.11999999999989,-25.86999999999989,-26.796000000000276,-27.646999999999935,-28.53099999999995,-28.942000000000007,-29.6299999999992,-29.96900000000005,-29.30999999999949,-30.234999999999673,-31.392000000000735,-28.53899999999976,-15.307999999999993,-17.08599999999933,-18.519999999999527,-20.30199999999968,-20.33100000000013,-21.91899999999987,-23.942000000000007,-25.91400000000067,-28.381000000000313,-34.20499999999993,-52.35099999999966,-53.13999999999942,-53.662999999999556,-54.01000000000022,-53.40699999999924,-53.495999999999185,-53.904999999998836,-53.996000000001004,-53.93399999999929,-53.45399999999972,-53.52100000000064,-53.79500000000007,-53.57799999999952,-53.349999999998545,-53.46600000000035,-53.28600000000006,-52.53299999999945,-51.81999999999971
GAS,-5.652999999999793,-7.407000000000153,-8.925000000000182,-9.9699999999998,-11.383000000000266,-14.539999999999964,-13.306999999999789,-12.280999999999949,-1.803000000000793,-5.597999999999956,-7.300000000000182,-10.936999999999898,-12.221999999999753,-7.528000000000247,-8.92200000000048,-10.164999999999964,-11.585000000000036,-12.237999999999374,-13.171000000000276,-14.1850000000004,-15.220999999999549,-16.464999999999236,-17.350000000000364,-18.573999999999614,-22.983000000000175,-39.943999999999505,-35.54500000000007,-30.021999999999935,-30.954999999999927,-34.060999999999694,-23.989000000000487,-25.929000000000087,-27.396999999999935,-28.569000000000415,-29.48400000000038,-30.232999999999265,-31.02599999999984,-31.96099999999933,-32.762000000000626,-32.516999999999825,-33.79899999999998,-35.2440000000006,-32.539999999999964,-19.958999999999833,-21.826000000000022,-23.841999999999643,-26.068999999999505,-26.72100000000046,-28.73199999999997,-30.725000000000364,-36.4970000000003,-54.35999999999967,-54.90099999999984,-56.2470000000003,-58.21699999999964,-61.18299999999999,-63.405000000000655,-66.10099999999875,-68.02299999999923,-70.48300000000017,-71.71800000000076,-73.09699999999975,-74.83299999999872,-75.67500000000109,-76.39500000000044,-76.93899999999849,-77.40499999999884,-77.57300000000032,-77.58499999999913,-78.05199999999968
OCO,-6.358000000000175,-8.314000000000306,-9.932999999999993,-11.096000000000004,-12.659000000000106,-16.016999999999825,-14.657999999999447,-14.180000000000291,-2.0900000000001455,-6.199999999999818,-9.164999999999964,-13.583999999999833,-14.476999999999862,-10.121000000000095,-11.597000000000662,-13.193999999999505,-14.681000000000495,-16.087999999999738,-17.483000000000175,-19.445999999999913,-20.74499999999989,-22.308999999999287,-23.639000000000124,-24.963999999999942,-26.07300000000032,-27.30199999999968,-25.103000000000065,-20.61200000000008,-22.22400000000016,-27.20799999999963,-34.04500000000007,-35.715000000000146,-37.60599999999977,-39.350000000000364,-41.009000000000015,-43.35599999999977,-44.82800000000043,-46.323999999999614,-47.76000000000022,-48.10099999999966,-49.49799999999959,-51.05799999999999,-48.25600000000031,-35.36899999999969,-36.961999999999534,-38.784999999999854,-40.939000000000306,-41.327000000000226,-43.28700000000026,-44.9340000000002,-46.71600000000035,-50.753999999999905,-52.83399999999983,-55.34199999999964,-58.081999999999425,-60.724999999999454,-63.24300000000039,-65.75,-67.90599999999904,-72.25299999999879,-76.51400000000103,-78.18399999999929,-79.45399999999972,-81.53399999999965,-83.79700000000048,-85.51999999999862,-88.1880000000001,-90.94900000000052,-92.70299999999952,-94.37800000000061
ALO,-6.528999999999996,-9.650000000000091,-11.48700000000008,-13.023999999999887,-14.971000000000004,-18.840000000000146,-19.13299999999981,-18.11200000000008,-2.8969999999999345,-7.404999999999745,-11.253999999999905,-17.666000000000167,-17.757000000000517,-12.530999999999949,-14.02100000000064,-15.715000000000146,-17.498000000000502,-19.19499999999971,-21.024999999999636,-23.432999999999993,-24.700999999999112,-25.888999999999214,-26.579999999999927,-27.493999999999687,-28.115999999999985,-28.97400000000016,-26.38000000000011,-21.813000000000102,-23.439000000000306,-27.73999999999978,-18.02599999999984,-20.572000000000116,-23.949999999999818,-30.355000000000473,-48.79100000000017,-49.76899999999932,-49.853000000000065,-51.41399999999976,-52.95800000000054,-52.39000000000033,-53.26800000000003,-54.03900000000067,-50.814000000000306,-37.732999999999265,-38.862999999999374,-40.48999999999978,-42.45600000000013,-42.775000000000546,-44.63500000000022,-46.35900000000038,-47.84600000000046,-49.71399999999994,-51.52900000000045,-54.36799999999948,-57.465000000000146,-60.30200000000059,-62.58599999999933,-65.07899999999972,-67.35699999999997,-70.17699999999968,-73.28200000000106,-74.77900000000045,-76.53299999999945,-79.28800000000047,-80.85900000000038,-81.92900000000009,-83.24099999999999,-84.09799999999996,-85.0099999999984,-94.8690000000006
NOR,-43.45899999999983,-65.95700000000033,-67.01600000000008,-67.93499999999995,-80.25900000000047,-95.26000000000022,-71.54899999999998,-35.20600000000013,-4.651000000000749,-10.101999999999862,-13.481999999999971,-21.52099999999973,-20.795000000000073,-15.412000000000262,-17.44000000000051,-19.478000000000065,-21.179000000000087,-22.764999999999418,-24.35400000000027,-26.560999999999694,-28.027999999999338,-29.661999999999352,-31.20600000000013,-32.60099999999966,-33.77099999999973,-34.65300000000025,-32.235999999999876,-28.24699999999939,-30.70600000000013,-35.01500000000033,-26.904999999999745,-29.735999999999876,-32.764000000000124,-35.08600000000024,-37.275000000000546,-39.514000000000124,-44.840000000000146,-64.96000000000004,-65.84799999999996,-65.53600000000006,-68.59400000000005,-71.10000000000036,-68.72699999999986,-56.01999999999953,-57.621000000000095,-59.56999999999971,-61.323999999999614,-61.6850000000004,-63.14599999999973,-64.42199999999957,-66.23100000000068,-67.79100000000017,-68.86599999999999,-70.3819999999996,-72.65700000000015,-75.94899999999961,-77.23600000000079,-78.00099999999838,-79.57099999999991,-81.24200000000019,-82.92500000000109,-84.14099999999962,-87.27399999999943,-90.72400000000016,-92.39700000000084,-93.5630000000001,-94.90499999999884,-95.79399999999987,-96.86299999999937,-97.86599999999999
VET,-4.70699999999988,-6.820999999999913,-8.019999999999982,-9.286000000000058,-10.63400000000047,-13.105000000000473,-11.037000000000262,-10.551000000000386,-1.417000000000371,-4.981999999999971,-6.792999999999665,-10.14599999999973,-11.003999999999905,-6.813000000000102,-8.184000000000196,-9.666000000000167,-11.202000000000226,-13.48700000000008,-15.05199999999968,-17.2529999999997,-19.016999999999825,-20.58299999999963,-21.94300000000021,-23.50999999999931,-24.699999999999818,-26.234999999999673,-24.082000000000335,-23.471999999999753,-42.746000000000095,-47.047999999999774,-36.814000000000306,-38.41899999999987,-41.46799999999985,-43.20300000000043,-45.11700000000019,-46.35599999999977,-47.524999999999636,-51.05199999999968,-52.82000000000062,-53.90099999999984,-55.89099999999962,-57.89100000000053,-55.628999999999905,-43.430999999999585,-45.625999999999294,-47.972999999999956,-50.365999999999985,-50.98100000000068,-53.05000000000018,-55.14900000000034,-57.35400000000027,-59.634000000000015,-61.76500000000033,-63.82099999999991,-69.61099999999988,-88.91399999999976,-90.26399999999921,-90.8739999999998,-91.73400000000038,-92.9429999999993,-93.83300000000054,-94.29199999999946,-94.94999999999891,-95.8700000000008,-96.76499999999942,-97.55099999999948,-98.23699999999917,-98.65400000000045,-98.73099999999977,-99.15400000000045
RAI,-15.25500000000011,-15.909000000000106,-18.248000000000047,-20.197000000000116,-23.132000000000062,-31.011000000000422,-29.019000000000233,-29.44500000000062,-4.374000000000706,-9.518000000000029,-13.49200000000019,-22.195999999999913,-22.269000000000233,-16.29699999999957,-18.402000000000044,-21.626000000000204,-25.043000000000575,-27.55499999999938,-29.435999999999694,-31.36700000000019,-32.69699999999921,-34.599999999999454,-36.10699999999997,-37.399999999999636,-38.53300000000036,-39.961999999999534,-38.77899999999954,-39.09199999999964,-58.935999999999694,-61.21600000000035,-50.98199999999997,-52.414999999999964,-54.05699999999979,-55.79400000000078,-57.41399999999976,-58.79100000000017,-60.0590000000002,-62.0019999999995,-63.952000000000226,-64.73999999999978,-67.87299999999959,-70.82600000000002,-67.5630000000001,-55.49799999999959,-57.26599999999962,-59.26800000000003,-62.68499999999949,-63.46700000000055,-65.33500000000004,-67.16600000000017,-69.52300000000014,-75.42900000000009,-92.53200000000015,-92.65099999999984,-93.11799999999948,-94.33199999999943,-95.49200000000019,-95.76999999999862,-96.58200000000033,-97.78799999999865,-98.54000000000087,-98.6309999999994,-99.02799999999843,-100.02300000000105,-101.67300000000068,-102.47299999999996,-103.05499999999847,-104.02700000000004,-104.25199999999859,-104.94800000000032
RUS,-8.860999999999876,-13.678000000000338,-17.709000000000287,-21.28899999999976,-23.934999999999945,-35.863000000000284,-29.76599999999962,-30.86499999999978,-4.4780000000000655,-11.432999999999993,-16.073999999999614,-24.298999999999978,-24.710000000000036,-17.485999999999876,-19.952000000000226,-23.662000000000262,-26.37800000000061,-29.027000000000044,-31.516999999999825,-33.72900000000027,-35.14299999999912,-37.01499999999942,-38.373999999999796,-39.930999999999585,-41.25,-43.07099999999991,-41.360999999999876,-37.409999999999854,-39.13600000000042,-42.689000000000306,-33.96799999999985,-37.822000000000116,-41.44999999999982,-45.21399999999994,-48.24200000000019,-52.13999999999942,-54.79600000000028,-57.884000000000015,-61.137000000000626,-63.15300000000025,-71.19999999999982,-89.76900000000023,-87.46699999999964,-76.18199999999979,-77.55999999999949,-79.22899999999936,-83.46000000000004,-84.76500000000033,-87.29600000000028,-89.2470000000003,-91.52900000000045,-93.77700000000004,-96.55299999999988,-98.96799999999985,-101.00500000000011,-103.34800000000087,-105.3739999999998,-106.57599999999911,-108.51599999999962,-111.02399999999943,-113.1770000000015,-114.79600000000028,-116.6260000000002,-118.6820000000007,-120.79000000000087,-123.1260000000002,-125.42999999999847,-128.6389999999992,-130.24499999999898,-131.94800000000032
GIO,-7.503999999999905,-11.06100000000015,-14.42300000000023,-16.875,-18.683000000000447,-23.717000000000553,-22.425999999999476,-21.15599999999995,-3.3100000000004,-8.36999999999989,-12.006999999999607,-18.953999999999724,-18.744000000000597,-13.739999999999782,-15.49200000000019,-17.28899999999976,-18.796000000000276,-20.412999999999556,-22.11499999999978,-24.399000000000342,-26.485999999999876,-28.779999999999745,-29.962999999999738,-31.411000000000058,-32.73400000000038,-34.20499999999993,-31.98199999999997,-30.02899999999954,-37.13500000000022,-55.71100000000024,-44.873999999999796,-46.54899999999998,-48.59100000000035,-50.289999999999964,-52.31700000000001,-54.19799999999941,-56.162999999999556,-58.9399999999996,-62.0619999999999,-63.845000000000255,-67.85599999999977,-74.01500000000033,-90.46799999999985,-77.2559999999994,-78.65599999999995,-82.22199999999975,-84.96199999999953,-86.57500000000073,-88.80500000000029,-90.80599999999959,-93.07400000000052,-95.13599999999951,-97.57800000000043,-100.0029999999997,-102.34299999999985,-104.40599999999995,-106.63899999999921,-107.91499999999905,-109.79999999999927,-112.1359999999986,-114.30400000000009,-115.59399999999914,-117.47899999999936,-119.85699999999997,-122.48400000000038,-125.12299999999959,-128.84199999999873,-130.86000000000058,-132.54500000000007,-134.42200000000048
TSU,-8.065999999999804,-11.125,-12.998000000000047,-31.9079999999999,-67.6590000000001,-84.40999999999985,-60.625,-32.3100000000004,-4.553000000000793,-10.583999999999833,-14.429000000000087,-22.942000000000007,-23.764000000000124,-17.95600000000013,-20.03900000000067,-21.786000000000058,-23.912000000000262,-25.278000000000247,-26.779999999999745,-28.48999999999978,-29.86999999999989,-31.41899999999987,-32.47699999999986,-33.71099999999933,-34.90899999999965,-36.1880000000001,-33.827000000000226,-31.561999999999898,-33.61400000000049,-37.472999999999956,-28.548999999999978,-31.76800000000003,-34.97400000000016,-37.55500000000029,-40.391999999999825,-43.185999999999694,-47.03700000000026,-51.214999999999236,-59.32300000000032,-91.0010000000002,-94.08799999999974,-95.28600000000006,-93.0,-82.17399999999998,-85.5019999999995,-87.50500000000011,-91.82899999999972,-92.89000000000033,-95.04500000000007,-97.17199999999957,-101.80200000000059,-104.20200000000023,-105.77700000000004,-107.59199999999964,-109.53599999999915,-111.58900000000085,-113.61299999999937,-114.96399999999994,-116.88999999999942,-119.08100000000013,-120.59799999999996,-121.51200000000063,-124.53899999999885,-127.78700000000026,-129.95299999999952,-131.6999999999989,-133.34699999999975,-134.88700000000063,-136.8859999999986,-138.66100000000006
LAT,-9.873999999999796,-13.722999999999956,-16.94100000000026,-19.89300000000003,-22.5329999999999,-29.50300000000061,-26.146999999999935,-26.462000000000444,-3.847000000000662,-11.144000000000233,-15.423999999999978,-23.480999999999767,-27.78099999999995,-35.84900000000016,-37.26900000000023,-38.677999999999884,-40.358000000000175,-41.67999999999938,-43.06800000000021,-44.668000000000575,-46.20899999999983,-47.857999999999265,-49.31500000000051,-50.47099999999955,-51.55999999999949,-53.314000000000306,-52.79500000000007,-49.76800000000003,-52.220000000000255,-57.947000000000116,-49.21699999999964,-52.38100000000031,-56.287999999999556,-59.16100000000006,-62.25600000000031,-64.97199999999975,-67.35900000000038,-70.1929999999993,-76.54399999999987,-96.28999999999996,-97.99199999999928,-102.45000000000073,-101.38599999999951,-90.72199999999975,-93.375,-95.8789999999999,-98.26699999999983,-99.23800000000028,-101.3090000000002,-103.35699999999997,-105.40599999999995,-107.45200000000023,-109.60000000000036,-111.79299999999967,-114.08700000000044,-116.34900000000107,-118.21800000000076,-119.503999999999,-121.3809999999994,-124.86299999999937,-128.22600000000057,-129.72899999999936,-131.23499999999876,-133.19800000000032,-135.29600000000028,-137.0029999999988,-138.5109999999986,-139.8050000000003,-141.11599999999999,-142.67200000000048
