HAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VER,-3.2469999999998436,-3.788000000000011,-4.529999999999745,-4.9220000000000255,-5.298000000000229,-6.239000000000033,-6.614000000000033,-7.086999999999989,-7.516000000000076,-8.05099999999993,-8.67599999999993,-8.860999999999876,-9.251000000000204,-9.592000000000098,-10.205000000000382,-10.746999999999844,-11.333000000000084,-12.090999999999894,-13.027999999999793,-13.380999999999858,-12.725000000000364,-13.109000000000378,-12.393999999999323,-12.613999999999578,-14.708999999999833,-32.19200000000001,-12.247000000000298,-12.82800000000043,-12.784999999999854,-12.972999999999956,-13.925000000000182,-15.07300000000032,-15.475000000000364,-14.862999999999374,-15.304000000000087,-15.850000000000364,-15.601999999999862,-14.21600000000035,-14.17699999999968,-14.318999999999505,-14.167000000000371,-13.929000000000087,-14.378999999999905,-15.206000000000131,-17.152999999999338,-17.173999999999978,-17.240999999999985,-17.007000000000517,-17.23400000000038,-16.942000000000007,-16.7470000000003,-16.397000000000844,-18.962999999999738,-18.519000000000233,-16.771999999999935
LEC,-1.6809999999995853,-2.0019999999999527,-2.770999999999731,-3.0100000000002183,-3.380999999999858,-4.286999999999807,-4.726000000000113,-5.164999999999964,-5.400000000000091,-5.846000000000004,-6.382000000000062,-8.458000000000084,-29.434000000000196,-28.83699999999999,-28.390000000000327,-28.305999999999585,-29.227000000000317,-29.789999999999964,-30.31899999999996,-30.659999999999854,-29.774000000000342,-30.085000000000036,-29.22099999999955,-29.13299999999981,-29.454999999999927,-27.456999999999425,-7.46599999999944,-9.568000000000211,-10.596999999999753,-11.77599999999984,-13.327000000000226,-16.845000000000255,-18.730000000000473,-19.394000000000233,-20.307999999999993,-21.345000000000255,-22.779999999999745,-24.819000000000415,-44.04200000000037,-42.92000000000007,-41.96600000000035,-40.8119999999999,-40.25800000000072,-39.48100000000068,-40.34099999999944,-39.574000000000524,-39.27099999999973,-39.47599999999966,-39.947000000000116,-40.74300000000039,-40.96900000000005,-40.75800000000072,-43.353000000000065,-43.47200000000066,-43.4350000000004
BOT,-10.848999999999705,-15.55099999999993,-19.716999999999643,-23.567000000000007,-25.231000000000222,-27.628999999999905,-29.356000000000222,-30.859999999999673,-32.728000000000065,-34.99399999999969,-37.277000000000044,-38.348999999999705,-39.67900000000009,-41.50600000000031,-43.67000000000007,-45.78399999999965,-48.733000000000175,-49.70699999999988,-50.789999999999964,-50.88000000000011,-49.80799999999999,-49.810999999999694,-48.62299999999959,-48.336999999999534,-47.73399999999947,-45.8159999999998,-25.800999999999476,-27.64300000000003,-30.472999999999956,-50.009000000000015,-48.155000000000655,-47.65800000000036,-47.34600000000046,-46.44300000000021,-47.19800000000032,-46.876000000000204,-46.865999999999985,-46.70499999999993,-46.909999999999854,-47.57899999999972,-47.84900000000016,-47.402000000000044,-48.14500000000044,-48.335000000000036,-49.17899999999918,-48.39100000000053,-47.875,-47.212000000000444,-46.181000000000495,-45.42000000000007,-44.84100000000035,-43.80200000000059,-46.072000000000116,-45.06500000000051,-44.378999999999905
VET,-3.9919999999997344,-4.894999999999982,-5.625999999999749,-6.222999999999956,-6.981000000000222,-8.187999999999647,-8.882000000000062,-10.048999999999978,-10.996000000000095,-12.150000000000091,-13.565999999999804,-16.904999999999745,-41.5920000000001,-42.55300000000034,-44.57600000000002,-46.74499999999989,-49.684999999999945,-52.17499999999973,-53.00599999999986,-53.33799999999974,-52.78100000000086,-52.970000000000255,-52.49499999999989,-52.54699999999957,-52.13299999999981,-50.112999999999374,-30.398999999999432,-32.29399999999987,-33.597999999999956,-34.64899999999943,-36.222999999999956,-37.749000000000706,-40.08899999999994,-41.259000000000015,-42.42500000000018,-43.25700000000052,-44.376000000000204,-46.78700000000026,-67.44300000000021,-67.3759999999993,-67.04500000000007,-66.90899999999965,-65.85000000000036,-66.23599999999988,-67.68299999999999,-67.13400000000001,-66.68299999999999,-66.73700000000008,-66.17799999999988,-65.65200000000004,-64.34000000000015,-63.35200000000077,-66.36999999999989,-67.09500000000025,-64.35699999999997
ALB,-5.069999999999709,-6.8409999999998945,-8.16399999999976,-9.12900000000036,-10.108999999999924,-11.292999999999665,-13.016000000000076,-14.224999999999909,-15.58199999999988,-16.98299999999972,-18.38799999999992,-19.309999999999945,-22.585999999999785,-43.90800000000036,-45.35500000000002,-47.58799999999974,-50.396000000000186,-52.971000000000004,-54.29899999999998,-55.16899999999987,-54.7470000000003,-55.18299999999999,-54.615999999999985,-55.34599999999955,-55.47599999999966,-53.51800000000003,-33.95399999999972,-35.60500000000047,-37.08399999999983,-38.04500000000007,-39.264000000000124,-41.01100000000042,-42.21300000000065,-43.16399999999976,-44.4320000000007,-45.09600000000046,-45.85099999999966,-45.792999999999665,-48.777000000000044,-50.48499999999967,-51.57999999999993,-52.271999999999935,-53.23900000000049,-54.780000000000655,-57.40099999999984,-58.09100000000035,-59.01999999999953,-59.86999999999989,-60.54100000000017,-61.41200000000026,-61.819000000000415,-62.1880000000001,-67.69300000000021,-68.71300000000065,-69.20499999999993
PER,-9.134000000000015,-13.358999999999924,-16.947999999999865,-20.213000000000193,-23.353000000000065,-25.781999999999698,-27.88500000000022,-30.092999999999847,-32.141000000000076,-34.164999999999964,-36.692999999999756,-40.098999999999705,-43.67000000000007,-46.55300000000034,-48.98500000000013,-51.43299999999999,-53.827999999999975,-56.386999999999716,-58.79599999999982,-60.85699999999997,-61.814000000000306,-63.376000000000204,-64.15499999999975,-65.72599999999966,-67.03799999999956,-66.78999999999996,-48.222999999999956,-51.483000000000175,-54.13599999999951,-56.81999999999971,-59.37800000000061,-62.3070000000007,-65.06900000000041,-67.10399999999936,-70.14900000000034,-72.86999999999989,-77.53600000000006,-97.30199999999968,-98.36099999999988,-99.85999999999967,-101.07200000000012,-103.11499999999978,-104.65599999999995,-106.79899999999998,-109.44499999999971,-110.55500000000029,-111.93099999999959,-113.69499999999971,-115.29100000000017,-116.7510000000002,-117.83700000000044,-121.26200000000063,-126.15200000000004,-127.76900000000023
NOR,-6.13799999999992,-8.686999999999898,-11.24599999999964,-13.68100000000004,-15.967000000000098,-18.322999999999865,-20.670000000000073,-25.937999999999647,-50.10199999999986,-51.58399999999983,-53.91899999999987,-55.84400000000005,-58.61000000000013,-61.09100000000035,-63.98500000000013,-67.25199999999995,-69.97299999999996,-71.79799999999977,-74.60899999999992,-76.9380000000001,-78.16600000000017,-80.42399999999998,-81.17699999999968,-82.36099999999988,-83.77700000000004,-83.70199999999932,-65.06800000000021,-68.34400000000005,-71.04799999999977,-73.68399999999929,-76.45200000000023,-79.24099999999999,-81.81900000000041,-83.69599999999991,-85.7450000000008,-87.6869999999999,-89.48199999999997,-90.30299999999988,-92.26800000000003,-94.21000000000004,-95.63699999999972,-97.05799999999999,-99.69300000000021,-103.1890000000003,-107.02999999999975,-109.02800000000025,-110.88000000000011,-112.57200000000012,-114.33200000000033,-115.73300000000017,-116.92900000000009,-120.63900000000012,-125.31900000000041,-129.1300000000001
KVY,-11.547999999999774,-16.876999999999953,-21.61200000000008,-25.450000000000273,-29.269999999999982,-32.18299999999999,-34.88099999999986,-38.05600000000004,-40.67599999999993,-43.53800000000001,-46.66599999999971,-49.55099999999993,-52.715000000000146,-55.6550000000002,-58.75400000000036,-61.86299999999983,-65.07999999999993,-68.16599999999971,-71.34799999999996,-73.83600000000024,-73.92400000000089,-75.63400000000001,-76.04399999999987,-77.02499999999964,-77.83699999999953,-76.70299999999952,-57.52099999999973,-60.038000000000466,-61.82299999999941,-63.597999999999956,-65.67700000000059,-67.8060000000005,-69.51900000000023,-70.6279999999997,-72.34200000000055,-74.5619999999999,-78.47899999999936,-78.96199999999953,-80.98900000000049,-85.13499999999931,-106.85599999999977,-106.92499999999927,-108.19800000000032,-109.38300000000072,-111.94999999999982,-113.65900000000056,-115.78699999999935,-117.34900000000016,-120.83100000000013,-122.23800000000028,-123.37800000000061,-124.65700000000015,-128.6959999999999,-130.38700000000063
SAI,-6.915999999999713,-9.762000000000171,-12.485999999999876,-15.140000000000327,-17.56899999999996,-20.148999999999887,-22.835999999999785,-25.80199999999968,-28.1579999999999,-30.777000000000044,-33.43899999999985,-37.685999999999694,-60.615999999999985,-62.65599999999995,-65.404,-67.97699999999986,-70.94800000000032,-73.00199999999995,-76.65599999999995,-79.30799999999999,-80.36700000000019,-82.3130000000001,-83.18199999999979,-84.6220000000003,-86.27499999999964,-85.92999999999938,-67.47199999999975,-70.60300000000007,-73.35499999999956,-76.11700000000019,-78.81500000000051,-81.8030000000008,-84.35000000000036,-86.21799999999985,-88.56200000000081,-90.85000000000036,-93.18099999999959,-93.88900000000012,-96.3090000000002,-98.5719999999992,-101.8159999999998,-120.2559999999994,-120.24499999999989,-121.23300000000017,-123.52699999999913,-124.51800000000003,-125.0679999999993,-125.69499999999971,-126.30000000000018,-126.8680000000004,-127.16100000000006,-128.47500000000036,-132.26699999999983,-133.98700000000008
RIC,-7.673999999999978,-10.655999999999949,-13.580999999999676,-16.106000000000222,-18.467999999999847,-21.298999999999978,-23.77599999999984,-26.60299999999961,-29.148999999999887,-31.75,-36.141000000000076,-57.340999999999894,-59.71300000000019,-62.03600000000006,-66.42700000000013,-69.75199999999995,-72.23500000000013,-75.35599999999977,-78.096,-80.45600000000013,-81.40000000000055,-83.34100000000035,-84.17900000000009,-85.74499999999989,-87.14499999999953,-86.71599999999944,-68.33100000000013,-71.64599999999973,-74.44799999999941,-76.90200000000004,-79.79399999999987,-82.61599999999999,-85.17700000000059,-87.02899999999954,-89.57300000000032,-91.92299999999977,-94.34900000000016,-95.25799999999981,-97.41600000000017,-101.08199999999943,-104.30400000000009,-107.65299999999934,-128.21800000000076,-128.67500000000018,-130.86499999999978,-130.61099999999988,-130.4449999999997,-130.6790000000001,-130.42100000000028,-130.42300000000068,-129.64400000000023,-129.32800000000043,-132.79700000000048,-134.88799999999992
HUL,-8.572999999999865,-11.44900000000007,-14.540999999999713,-17.169000000000324,-19.376999999999953,-22.311999999999898,-24.75,-27.679999999999836,-30.29800000000023,-32.761999999999716,-35.26099999999997,-36.94699999999966,-38.528999999999996,-40.608000000000175,-42.81899999999996,-45.00099999999975,-47.9680000000003,-53.289999999999964,-75.43100000000004,-78.03700000000026,-79.07500000000073,-81.27400000000034,-81.97999999999956,-83.1840000000002,-84.66600000000017,-84.64399999999932,-66.18099999999959,-69.51100000000042,-72.08399999999983,-74.69899999999961,-77.48800000000028,-80.56500000000051,-82.94500000000062,-84.92000000000007,-87.06800000000021,-89.27800000000025,-91.24399999999969,-92.04600000000028,-94.27300000000014,-96.53099999999995,-98.03799999999956,-99.5679999999993,-103.46600000000035,-105.90200000000004,-110.78699999999935,-114.54899999999998,-116.65499999999975,-120.47100000000046,-122.36200000000008,-124.51500000000033,-125.95800000000054,-127.13900000000012,-131.26500000000033,-136.2449999999999
RAI,-10.536999999999807,-16.04300000000012,-20.57199999999966,-24.32300000000032,-27.856000000000222,-30.6279999999997,-33.49200000000019,-36.93399999999974,-39.53099999999995,-42.615999999999985,-45.80899999999974,-48.552999999999884,-51.56700000000001,-54.639000000000124,-57.69600000000037,-60.76899999999978,-64.05700000000024,-67.01099999999997,-70.32900000000018,-72.89400000000023,-75.61100000000079,-80.38799999999992,-100.98499999999967,-101.15999999999985,-101.18099999999959,-99.94200000000001,-80.45499999999993,-83.87800000000061,-85.6889999999994,-87.61099999999988,-89.51800000000003,-91.74000000000069,-94.07900000000063,-95.86399999999958,-98.19300000000021,-100.54399999999987,-104.24699999999939,-104.67699999999968,-107.23599999999988,-109.46299999999974,-111.17299999999977,-112.34499999999935,-114.44300000000021,-119.1240000000007,-122.33199999999943,-125.85500000000047,-127.89099999999962,-129.60599999999977,-132.17399999999998,-133.97900000000027,-135.6190000000006,-136.91700000000037,-142.2479999999996,-143.64600000000064
MAG,-8.185999999999694,-12.74499999999989,-16.19399999999996,-19.390000000000327,-22.608000000000175,-27.154999999999745,-31.33699999999999,-34.83199999999988,-38.164000000000215,-41.315000000000055,-44.38000000000011,-47.06399999999985,-50.13700000000017,-53.08800000000019,-56.06899999999996,-59.26299999999992,-62.50500000000011,-65.71699999999964,-68.94399999999996,-73.76199999999972,-93.77300000000014,-94.7569999999996,-94.90799999999945,-96.26299999999992,-97.02499999999964,-96.06700000000001,-77.20899999999983,-80.20300000000043,-82.53899999999976,-84.91299999999956,-87.48999999999978,-90.1880000000001,-92.78300000000036,-94.82999999999993,-97.19900000000052,-99.72800000000007,-102.57999999999993,-106.39199999999983,-109.73800000000028,-112.80299999999988,-115.19300000000021,-118.82099999999991,-122.75600000000031,-125.88600000000042,-130.10499999999956,-133.74099999999999,-136.308,-138.9290000000001,-141.69900000000052,-146.01200000000063,-149.1840000000002,-151.14700000000084,-156.09400000000005,-158.64600000000064
GRO,-11.913000000000011,-17.4699999999998,-22.5,-26.794000000000324,-30.304999999999836,-34.116999999999734,-37.53600000000006,-41.03800000000001,-44.21199999999999,-47.529999999999745,-50.792999999999665,-53.64300000000003,-56.89399999999978,-59.932000000000244,-63.082000000000335,-66.36699999999973,-69.22299999999996,-76.78800000000001,-100.54599999999982,-103.03499999999985,-105.64400000000023,-107.78999999999996,-110.60099999999966,-113.28700000000026,-115.65899999999965,-115.46500000000015,-96.65399999999954,-99.58600000000024,-104.34299999999985,-106.59299999999985,-108.89000000000033,-111.14200000000073,-113.22699999999986,-114.65700000000015,-116.83300000000054,-121.33500000000004,-123.26899999999932,-124.21500000000015,-126.54399999999987,-129.55399999999918,-131.83600000000024,-133.6819999999998,-136.45900000000074,-144.41800000000057,-148.1969999999992,-152.50900000000001,-155.08500000000004,-157.53899999999976,-159.9940000000006,-162.22000000000025,-168.03499999999985,-169.84200000000055,-175.4340000000002,-177.6180000000004
GIO,-10.10799999999972,-14.128000000000156,-17.94699999999966,-21.24900000000025,-24.501999999999953,-28.937999999999647,-32.590999999999894,-38.00099999999975,-60.98199999999997,-63.10699999999997,-65.26800000000003,-67.18399999999974,-69.85599999999977,-72.90000000000009,-76.5010000000002,-80.72899999999981,-84.76999999999998,-88.54099999999971,-91.88700000000017,-95.46500000000015,-98.09800000000087,-103.10699999999997,-107.04899999999998,-109.28399999999965,-111.51099999999951,-113.50500000000011,-116.2510000000002,-118.4369999999999,-119.98999999999978,-121.90899999999965,-124.28499999999985,-127.09100000000035,-129.41700000000037,-131.07399999999961,-132.8710000000001,-134.64900000000034,-136.72499999999945,-137.74099999999999,-140.28499999999985,-142.73199999999997,-146.28700000000026,-148.64999999999964,-152.8690000000006,-155.97200000000066,-162.1389999999992,-165.01299999999992,-169.6359999999995,-172.4989999999998,-175.1230000000005,-177.76600000000053,-179.8180000000002,-182.0570000000007,-187.07899999999972,-189.6329999999998
