VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIA,-0.625999999999749,-0.5410000000001673,-0.5280000000002474,-0.7089999999998327,-0.5809999999996762,-0.5900000000001455,-0.7770000000000437,-0.6739999999999782,-0.6030000000000655,-0.487999999999829,-0.7390000000000327,-0.8519999999998618,-0.76299999999992,-0.6090000000003783,-0.7529999999997017
NOR,-1.9510000000000218,-2.206000000000131,-2.3769999999999527,-2.6099999999996726,-2.5039999999999054,-2.3659999999999854,-1.961999999999989,-1.6269999999999527,-1.2510000000002037,-1.1089999999999236,-1.3589999999999236,-1.3859999999995125,-1.5430000000005748,-1.3699999999998909,-1.41399999999976
LEC,-1.4839999999999236,-1.5579999999999927,-1.9479999999998654,-3.8239999999996144,-4.38399999999956,-4.849999999999909,-4.821000000000367,-4.878000000000156,-5.0900000000001455,-5.1729999999997744,-5.617000000000189,-5.893000000000029,-6.39600000000064,-7.390000000000327,-10.176000000000386
OCO,-2.906999999999698,-3.4099999999998545,-4.320999999999913,-5.260999999999967,-6.032999999999902,-7.0210000000001855,-7.4900000000002365,-8.146000000000186,-8.896999999999935,-9.364999999999782,-10.226000000000113,-11.135000000000218,-12.025000000000546,-12.859000000000378,-13.78899999999976
SAI,-3.6230000000000473,-4.364000000000033,-5.459000000000287,-6.645999999999731,-7.237999999999829,-8.213999999999942,-8.605000000000018,-9.340000000000146,-9.959000000000287,-10.43899999999985,-11.3449999999998,-12.271999999999935,-13.108000000000175,-14.055999999999585,-14.963999999999942
BEA,-4.313999999999851,-5.083000000000084,-6.349999999999909,-7.242999999999938,-8.503999999999905,-9.981000000000222,-10.680000000000291,-11.63000000000011,-12.528000000000247,-12.945999999999913,-14.088000000000193,-15.171000000000276,-16.236000000000786,-17.45600000000013,-18.609999999999673
HAD,-4.974999999999909,-5.679000000000087,-6.945000000000164,-8.00799999999981,-9.293999999999869,-10.39200000000028,-11.39200000000028,-12.286999999999807,-13.153999999999996,-13.798999999999978,-14.815000000000055,-15.684000000000196,-16.6850000000004,-18.009000000000015,-19.118999999999687
BOR,-5.600999999999658,-6.41800000000012,-7.887000000000171,-8.974999999999909,-10.065999999999804,-11.496000000000095,-12.499000000000251,-13.63000000000011,-14.253999999999905,-15.368999999999687,-16.4670000000001,-17.78399999999965,-19.351000000000568,-20.546000000000276,-22.182999999999993
LAW,-6.136999999999716,-7.117000000000189,-8.545000000000073,-9.717999999999847,-10.8149999999996,-12.351000000000113,-13.252000000000407,-14.38299999999981,-15.445999999999913,-16.26599999999962,-17.498000000000047,-18.659999999999854,-20.051000000000386,-21.274000000000342,-22.896999999999935
TSU,-6.701999999999771,-8.268000000000029,-9.601999999999862,-10.736999999999625,-11.723999999999705,-13.384000000000015,-14.688000000000102,-16.130999999999858,-17.356000000000222,-18.303999999999633,-19.951000000000022,-21.19800000000032,-22.327000000000226,-23.350000000000364,-24.551000000000386
RUS,-7.223999999999705,-8.923999999999978,-10.244000000000142,-11.330999999999676,-12.271999999999935,-13.893000000000029,-15.365999999999985,-16.865999999999985,-17.977000000000317,-18.929999999999836,-20.48199999999997,-21.914999999999964,-23.191000000000713,-24.414999999999964,-25.96900000000005
STR,-7.655999999999949,-9.585000000000036,-10.976000000000113,-12.2199999999998,-13.104999999999563,-14.867999999999938,-16.108000000000175,-17.820999999999913,-18.970000000000255,-20.165999999999713,-21.60699999999997,-23.01800000000003,-24.23199999999997,-25.24499999999989,-26.595000000000255
ALO,-8.047000000000025,-10.248000000000047,-11.711999999999989,-13.018000000000029,-14.039999999999964,-15.592000000000098,-16.89800000000014,-18.4699999999998,-19.92599999999993,-20.975999999999658,-22.371999999999844,-24.060999999999694,-25.988000000000284,-27.46600000000035,-29.046000000000276
HAM,-9.407999999999902,-11.80600000000004,-13.382000000000062,-14.391999999999825,-15.320999999999913,-16.93000000000029,-17.993000000000393,-19.590999999999894,-21.2170000000001,-22.091999999999643,-23.63500000000022,-25.399999999999636,-27.027000000000044,-28.809000000000196,-30.175000000000182
ALB,-8.415999999999713,-10.791999999999916,-12.461999999999989,-13.692999999999756,-14.723999999999705,-16.090999999999894,-17.554000000000087,-19.00099999999975,-20.588000000000193,-21.514999999999873,-23.009000000000015,-24.613000000000284,-26.472999999999956,-28.96600000000035,-30.940999999999804
ANT,-9.760999999999967,-12.16800000000012,-14.106999999999971,-15.817999999999756,-16.093999999999596,-17.39300000000003,-18.51700000000028,-20.22699999999986,-21.70400000000018,-22.90199999999959,-24.315999999999804,-25.958999999999833,-27.664999999999964,-29.636999999999716,-31.980999999999767
HUL,-8.969000000000051,-11.391000000000076,-13.764000000000124,-15.431999999999789,-17.346999999999753,-19.046000000000276,-20.378000000000156,-21.55899999999974,-22.847000000000207,-23.797000000000025,-25.32900000000018,-27.19499999999971,-28.989000000000487,-30.76800000000003,-32.86700000000019
COL,-10.18100000000004,-12.831000000000131,-14.990999999999985,-16.945999999999913,-18.67599999999993,-20.86700000000019,-22.513000000000375,-24.36200000000008,-26.54300000000012,-28.45199999999977,-30.726000000000113,-32.957000000000335,-34.92200000000048,-36.72599999999966,-38.072000000000116
GAS,-277.58899999999994,-279.5010000000002,-281.19500000000016,-282.6569999999997,-283.9269999999997,-285.5260000000003,-286.9500000000003,-288.44500000000016,-289.683,-291.1700000000001,-292.7720000000004,-303.3149999999996
