VER,-3.680000000000291,-5.364000000000033,-5.16399999999976,-3.8899999999998727,-6.640000000000327,-7.479000000000269,-7.976999999999862,-8.065000000000055,-7.122000000000298,-5.905999999999949,-3.6159999999999854,-5.443999999999505,-6.57799999999952,-7.266000000000531,-7.972999999999956,-8.451000000000022,-8.922999999999774,-8.678000000000793,-5.505000000000109,-5.931000000000495,-5.3969999999999345,0.0,0.0,0.0,0.0,0.0,0.0,-11.440999999999804,-14.234999999999673,-12.049999999999272,-10.386000000000422,-11.09900000000016,-12.670000000000073,-13.780999999999949,-14.92700000000059,-15.117999999999483,-15.473000000000866,-15.243000000000393,-15.886999999999716,-15.070999999999913,-15.43499999999949,-15.471999999999753,-15.864999999999782,-16.372999999999593,-16.21900000000005,-16.939000000000306,-17.440999999999804,-16.278000000000247,-13.854999999999563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.023000000001048,-20.572000000000116
GAS,-28.883000000000266,-33.222999999999956,-32.930999999999585,-22.87599999999975,-23.690000000000055,-22.572000000000116,-23.364000000000033,-38.98000000000047
ANT,-11.381000000000313,-18.1550000000002,-18.010999999999967,-13.021999999999935,-15.34900000000016,-16.934000000000196,-19.6579999999999,-22.90900000000056,-24.087000000000444,-25.224999999999454,-25.347999999999956,-28.83600000000024,-31.71599999999944,-34.66899999999987,-38.85399999999936,-44.68499999999949,-51.20800000000054,-56.064000000000306,-57.10199999999986,-61.137000000000626,-63.26900000000023,-59.85400000000027,-61.57300000000032,-63.33100000000013,-66.93299999999999,-70.1239999999998,-73.24699999999939,-71.9469999999992,-75.24399999999969,-78.39099999999962,-81.40300000000025,-86.3809999999994,-91.08299999999963,-95.15699999999924,-100.4310000000005,-105.51499999999942,-109.71500000000015,-113.1890000000003,-117.76899999999932,-121.48199999999997,-125.51599999999962,-128.21699999999964,-132.35300000000007,-137.36599999999999,-142.23299999999927,-147.3209999999999,-153.09500000000025,-156.23800000000028,-157.8819999999996,-148.6939999999995,-153.8699999999999,-159.5039999999999,-161.22000000000025,-164.95100000000002,-168.29699999999957,-171.26299999999992,-174.35599999999977,-177.5019999999995,-181.20800000000054,-184.8169999999991,-188.34299999999985,-191.66100000000006,-195.45700000000033,-198.6740000000009,-201.2479999999996,-203.43199999999888,-203.4320000000007,-202.1780000000017,-220.2360000000008,-223.9270000000015,-239.3809999999994,-242.3179999999993,-239.7479999999996,-236.91699999999946,-235.40699999999924
ALO,-4.992000000000189,-7.430000000000291,-7.625999999999749,-5.73700000000008,-8.627000000000407,-9.87900000000036,-11.630999999999858,-13.110000000000127,-13.145000000000437,-12.92699999999968,-10.625,-11.644000000000233,-12.067000000000007,-12.240000000000691,-12.159999999999854,-31.41399999999976,-37.038000000000466,-38.598000000000866,-37.238000000000284,-39.69800000000032,-41.837000000000444,-40.087000000000444,-42.780000000000655,-45.34699999999975,-47.85699999999997,-47.86200000000008,-48.28299999999945,-43.48700000000008,-43.98899999999958,-44.03699999999935,-43.38199999999961,-44.759000000000015,-45.9399999999996,-48.597999999999956,-50.4380000000001,-51.852999999999156,-51.96800000000076
LEC,-1.1410000000000764,-1.2760000000002947,-1.0659999999998035,-0.75,-1.5010000000002037,-1.5960000000000036,-1.7820000000001528,-2.1460000000001855,-1.2100000000000364,-0.73700000000008,-0.8559999999997672,-0.9949999999998909,-1.2139999999999418,-1.7220000000006621,-2.0909999999994398,-2.9200000000000728,-3.529000000000451,-3.0700000000006185,0.0,0.0,0.0,-11.72400000000016,-16.569000000000415,-17.407999999999447,-16.850999999999658,-15.277000000000044,-13.772999999999229,-7.411999999999352,-5.839999999999236,-3.7119999999995343,-3.688000000000102,-5.394999999999527,-6.268000000000029,-6.558999999999287,-6.72400000000016,-5.993999999999687,-5.429000000000087,-5.092000000000553,-5.09099999999944,-3.9099999999998545,-4.719000000000051,-5.432999999999993,-5.8149999999996,-6.207999999999629,-6.033999999999651,-6.195999999999913,-6.3729999999995925,-5.403000000000247,-20.695999999999913,-9.514999999999418,-8.717999999999847,-6.811000000000604,-4.6710000000002765,-5.906999999999243,-4.783999999999651,-3.795999999999367,-2.819999999999709,-2.1390000000001237,-1.4960000000000946,-1.8489999999992506,-2.1900000000005093,-2.706000000000131,-2.9830000000001746,-3.0120000000006257,-3.2849999999998545,-2.985999999998967,-2.360000000000582,-1.7229999999999563,-1.7640000000010332,-2.0020000000004075,-2.254000000000815,-2.661000000000058,-2.7890000000006694,-2.688000000000102,-2.686999999999898,-2.1820000000006985,-0.9830000000001746,-3.1309999999994034
STR,-14.678000000000338,-19.84999999999991,-20.187999999999647,-14.976999999999862,-17.212000000000444,-18.346000000000004,-21.072000000000116,-25.10900000000038,-25.282000000000153,-26.604999999999563,-26.952000000000226,-30.216999999999643,-33.615999999999985,-35.96600000000035,-39.63999999999942,-45.17199999999957,-68.33799999999974,-72.6210000000001,-70.61599999999999,-72.24200000000019,-73.36700000000019,-69.35199999999986,-70.67700000000059,-72.53799999999956,-74.60399999999936,-77.21699999999964,-77.92099999999937,-73.98299999999927,-78.32499999999982,-81.3119999999999,-84.23599999999988,-90.02300000000014,-93.61099999999988,-99.12099999999919,-103.15400000000045,-107.28099999999995,-111.5570000000007,-114.90200000000004,-119.5659999999998,-123.11399999999958,-127.78899999999976,-130.73300000000017,-134.3209999999999,-139.0639999999994,-143.72499999999945,-148.5680000000002,-154.59500000000025,-157.51199999999972,-159.07899999999972,-149.79899999999998,-154.92299999999977,-160.85000000000036,-162.26599999999962,-166.1869999999999,-169.3719999999994,-172.40700000000015,-175.48300000000017,-178.35199999999986,-182.1850000000004,-185.67699999999968,-189.3640000000005,-192.51599999999962,-196.40200000000004,-218.33899999999994,-221.16100000000006,-220.83299999999872,-220.15899999999965,-219.21200000000135,-218.39600000000064,-218.7990000000009,-219.29600000000028,-219.38500000000022,-219.11599999999999,-219.82799999999952,-219.79699999999866,-220.9250000000011
TSU,-27.135999999999967,-31.378000000000156,-30.9079999999999,-22.440999999999804,-23.054000000000087,-22.16300000000001,-22.84999999999991,-28.574999999999818,-26.038000000000466,-27.475999999999658,-27.792999999999665,-31.13000000000011,-34.4429999999993,-37.09600000000046,-40.509000000000015,-46.03899999999976,-52.46100000000024,-56.78900000000067,-57.95499999999993,-62.04400000000078,-64.14699999999993,-60.85400000000027,-62.53300000000036,-64.3779999999997,-67.61599999999999,-70.85800000000017,-74.09999999999945,-72.67599999999948,-76.21199999999953,-79.11799999999948,-82.40899999999965,-88.64899999999943,-92.04200000000037,-95.97599999999966,-102.0610000000006,-106.22099999999955,-110.48400000000038,-113.74499999999989,-118.48300000000017,-122.15899999999965,-126.40499999999975,-129.27800000000025,-133.15399999999954,-138.10899999999947,-142.99099999999999,-148.0600000000004,-153.90599999999995,-157.1840000000002,-158.4979999999996,-149.42199999999957,-154.52399999999943,-160.08700000000044,-161.9349999999995,-165.6289999999999,-168.8199999999997,-171.89800000000014,-174.97699999999986,-177.98300000000017,-181.66100000000006,-185.3829999999998,-188.8660000000009,-192.16600000000108,-196.0010000000002,-199.27300000000105,-201.7619999999988,-204.15799999999945,-204.57600000000093,-204.26900000000023,-206.53800000000047,-206.77200000000084,-206.3209999999999,-205.5689999999995,-221.27399999999943,-224.39199999999983,-222.96099999999933,-222.37900000000081
ALB,-8.139000000000124,-15.657000000000153,-14.987999999999829,-9.429999999999836,-11.845000000000255,-14.09900000000016,-16.916000000000167,-19.761000000000422,-21.764000000000124,-22.907000000000153,-22.58300000000054,-25.94300000000021,-29.198999999999614,-32.89400000000023,-37.36399999999958,-43.141999999999825,-49.46100000000024,-54.41600000000017,-55.10900000000038,-58.23000000000047,-59.54399999999987,-55.85699999999997,-57.15900000000056,-58.93199999999979,-61.409999999999854,-62.38600000000042,-63.24799999999959,-58.73899999999958,-59.930999999999585,-59.55999999999949,-59.63299999999981,-77.91600000000017,-85.51000000000022,-91.05299999999988,-93.25,-94.64999999999964,-96.13300000000072,-96.75500000000011,-97.91699999999946,-114.83599999999933,-122.20799999999963,-126.60800000000017,-131.07200000000012,-136.42499999999927,-141.26499999999942,-146.42000000000007,-151.23599999999988,-155.72800000000007,-157.27799999999934,-148.16299999999956,-152.82600000000002,-156.6280000000006,-158.48399999999947,-160.0009999999993,-161.46699999999964,-165.29599999999937,-166.01400000000012,-166.5619999999999,-166.72100000000046,-167.35900000000038,-168.34099999999944,-169.58100000000013,-169.57500000000073,-170.5630000000001,-170.59699999999975,-170.2529999999988,-169.6299999999992,-168.2420000000002,-168.96900000000096,-169.16700000000128,-168.86000000000058,-168.65799999999945,-167.58699999999953,-165.83500000000095,-164.09099999999853,-162.39899999999943
HUL,-9.44800000000032,-17.218000000000302,-16.30899999999974,-11.440999999999804,-13.86600000000044,-15.66800000000012,-18.46199999999999,-21.136000000000422,-23.019000000000233,-24.14099999999962,-23.774000000000342,-44.21699999999964,-46.50799999999981,-46.49200000000019,-47.37199999999939,-50.774999999999636,-56.085000000000036,-58.84900000000016,-59.32099999999991,-63.89500000000044,-66.26299999999992,-63.08399999999983,-65.38700000000063,-67.26099999999951,-69.6239999999998,-72.0600000000004,-75.20899999999983,-73.26299999999992,-77.23499999999967,-80.36799999999948,-83.46000000000004,-89.35099999999966,-92.54899999999998,-96.25999999999931,-102.67000000000007,-106.52699999999913,-110.76100000000042,-114.1260000000002,-118.86099999999988,-122.42799999999988,-126.97699999999986,-129.8729999999996,-133.6279999999997,-155.3829999999998,-160.067,-161.79899999999998,-162.66499999999996,-163.21000000000004,-165.20200000000023,-153.34599999999955,-159.35800000000017,-163.40599999999995,-165.48700000000008,-168.45599999999922,-171.99099999999999,-174.63699999999972,-177.8800000000001,-180.57499999999982,-184.51200000000063,-187.93199999999888,-191.90900000000056,-198.34400000000096,-202.46200000000135,-207.3690000000006,-209.8179999999993,-211.53799999999865,-213.4320000000007,-214.8760000000002,-215.78700000000026,-216.71600000000035,-217.26000000000022,-217.86999999999898,-218.36599999999999,-219.42799999999988,-219.58799999999974,-222.07400000000052
LAW,-7.182999999999993,-14.856999999999971,-14.346000000000004,-8.135999999999967,-10.852000000000317,-13.222000000000207,-16.259000000000015,-18.98400000000038,-21.386000000000422,-22.42199999999957,-21.998999999999796,-25.470000000000255,-28.872999999999593,-32.32300000000032,-36.810999999999694,-42.58899999999994,-48.90900000000056,-53.85400000000027,-54.60100000000057,-57.19200000000001,-58.46700000000055,-54.51299999999992,-56.043000000000575,-57.573999999999614,-59.98899999999958,-61.15700000000015,-61.873999999999796,-57.5659999999998,-58.52899999999954,-57.8769999999995,-74.61099999999988,-79.10099999999966,-82.74399999999969,-84.47999999999956,-86.23800000000028,-91.72399999999925,-92.94400000000041,-94.0010000000002,-95.65999999999985,-112.88999999999942,-119.74699999999939,-122.07099999999991,-123.82799999999952,-125.91399999999976,-127.13499999999931,-128.4340000000002,-129.53799999999956,-129.2550000000001,-128.13799999999992,-115.33600000000024,-115.56999999999971,-114.6190000000006,-112.42799999999988,-111.8769999999995,-111.85399999999936,-113.48399999999947,-114.64900000000034,-117.08600000000024,-118.50800000000072,-120.09199999999964,-121.20100000000002,-122.93499999999949,-125.45800000000054,-127.37300000000141,-131.40999999999985,-133.15099999999984,-135.00900000000001,-136.09900000000016,-137.17200000000048,-138.26500000000124,-139.26000000000022,-139.57999999999993,-139.95600000000013,-140.67300000000068,-141.08599999999933,-140.64600000000064,-139.96700000000055
OCO,-6.58600000000024,-13.47900000000027,-13.65099999999984,-7.317000000000007,-9.933000000000447,-11.26700000000028,-13.342000000000098,-14.92300000000023,-15.48700000000008,-15.431999999999789,-12.980000000000473,-14.037999999999556,-15.290999999999258,-15.622000000000298,-16.52599999999984,-36.55199999999968,-40.694000000000415,-41.1880000000001,-39.34200000000055,-41.134000000000015,-42.85500000000047,-40.66700000000037,-43.488000000000284,-46.21799999999985,-48.76299999999992,-49.00200000000041,-49.384000000000015,-62.17900000000009,-65.88999999999942,-64.42699999999968,-63.0600000000004,-63.85199999999986,-64.43000000000029,-64.89799999999923,-66.5600000000004,-67.92399999999998,-70.45100000000002,-71.84200000000055,-76.11099999999988,-77.39899999999943,-81.4989999999998,-83.31999999999971,-85.72999999999956,-89.18199999999979,-93.25,-96.07999999999993,-99.0640000000003,-101.43099999999959,-102.98199999999997,-92.60300000000007,-95.86200000000008,-96.98400000000038,-98.56999999999971,-100.44200000000001,-103.3139999999994,-105.52499999999964,-107.97800000000007,-109.91499999999996,-111.70200000000023,-114.21999999999935,-116.80000000000018,-119.34000000000015,-122.54700000000048,-125.21000000000095,-128.35899999999856,-131.95499999999993,-133.8050000000003,-134.99900000000162,-135.92100000000028,-137.1780000000017,-137.94800000000032,-138.64400000000023,-139.07500000000073,-139.3060000000005,-139.67599999999948,-139.8119999999999,-139.25
NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.668000000000575,-16.894000000000233,-16.371000000000095,-10.529000000000451,-10.590000000000146,-10.628999999999905,-9.85399999999936,-8.292999999999665,-6.5919999999996435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.61200000000008,-5.6840000000001965,-4.395000000000437,-2.6959999999999127,-3.131999999999607,-2.505000000000109,-1.9960000000000946,-1.2539999999999054,-1.1660000000001673,-0.9230000000006839,-1.418999999999869,-1.5540000000000873,-1.9380000000001019,-2.15099999999984,-2.22400000000016,-2.5799999999999272,-2.333999999998923,-1.7900000000008731,-1.132000000001426,-1.0529999999998836,-1.4790000000011787,-1.782999999999447,-2.0910000000003492,-2.225000000000364,-2.1630000000004657,-2.223999999998341,-1.592000000000553,0.0,0.0
COL,-13.23700000000008,-19.4970000000003,-19.394999999999982,-14.306999999999789,-16.256000000000313,-17.830000000000382,-20.27500000000009,-23.636000000000422,-24.6850000000004,-26.009000000000015,-26.088999999999942,-29.615999999999985,-49.54500000000007,-53.48500000000058,-53.32099999999991,-53.84199999999964,-56.73000000000047,-59.801000000000386,-60.0659999999998,-64.55500000000029,-66.98700000000008,-64.10699999999997,-66.47900000000027,-68.53099999999995,-70.5649999999996,-89.84900000000016,-93.76299999999992,-90.68799999999919,-90.82499999999982,-88.86399999999958,-88.07399999999961,-93.20799999999963,-97.09400000000005,-101.10899999999947,-105.59500000000025,-108.76499999999942,-112.75500000000011,-116.57600000000002,-121.32399999999961,-124.52999999999975,-129.3699999999999,-132.7489999999998,-136.11599999999999,-140.683,-145.00900000000001,-151.02199999999993,-156.5540000000001,-159.09299999999985,-160.5680000000002,-152.2519999999995,-157.8090000000002,-161.90400000000045,-164.61200000000008,-167.44999999999982,-170.52199999999993,-173.68099999999959,-176.6890000000003,-179.6909999999998,-183.40400000000045,-187.0029999999988,-190.817,-193.90099999999984,-197.6900000000005,-200.82900000000154,-203.04500000000007,-205.34799999999996,-207.8150000000005,-208.64200000000164,-209.28200000000106,-210.1770000000015,-210.375,-210.4380000000001,-209.88600000000042,-209.10100000000057,-208.67699999999968,-207.64400000000023
HAM,-6.066000000000258,-12.869000000000142,-13.065999999999804,-6.231999999999971,-9.239000000000033,-10.292000000000371,-12.753000000000156,-14.166000000000167,-14.036000000000058,-14.179000000000087,-11.528000000000247,-12.75799999999981,-13.568999999999505,-13.597999999999956,-13.915999999999258,-14.943000000000211,-15.261000000000422,-31.843000000000757,-31.298999999999978,-31.5570000000007,-31.525000000000546,-25.840000000000146,-25.597999999999956,-25.628999999999905,-25.151999999999134,-23.667999999999665,-21.8779999999997,-16.087999999999738,-17.120999999999185,-15.745999999999185,-14.596999999999753,-15.561999999999898,-17.45600000000013,-20.33299999999963,-23.975000000000364,-26.407999999999447,-29.02600000000075,-30.0570000000007,-31.36200000000008,-31.076000000000022,-32.16100000000006,-32.72599999999966,-33.40599999999995,-34.219999999999345,-34.68499999999949,-35.83100000000013,-37.17699999999968,-36.58899999999994,-35.47400000000016,-22.886999999999716,-23.28099999999995,-22.447000000000116,-21.085000000000036,-21.42999999999938,-22.466999999999643,-40.70299999999952,-46.7529999999997,-49.85499999999956,-51.19100000000071,-51.86999999999989,-52.23700000000008,-52.02300000000105,-51.12800000000061,-52.194000000001324,-53.30999999999949,-54.7549999999992,-55.219999999999345,-54.8080000000009,-54.32999999999993,-53.775000000001455,-52.80500000000029,-51.0059999999994,-48.875,-47.91400000000067,-47.88699999999881,-47.95600000000013,-47.16900000000169,-51.38699999999881
BOR,-62.22400000000016,-67.33600000000024,-67.68299999999999,-49.728000000000065,-48.072000000000116,-44.65700000000015,-41.9079999999999,-42.613000000000284,-38.876000000000204,-35.27300000000014,-31.75799999999981,-33.261999999999716,-36.36200000000008,-38.72100000000046,-41.69499999999971,-47.15899999999965,-53.4369999999999,-57.379000000000815,-58.521999999999935,-63.05000000000018,-64.98599999999988,-61.962000000000444,-63.92399999999998,-66.02899999999954,-68.8189999999995,-88.70600000000013,-92.59199999999964,-87.40200000000004,-86.8179999999993,-85.10199999999986,-86.51900000000023,-91.15499999999975,-95.78899999999976,-100.3759999999993,-121.4390000000003,-125.26099999999951,-125.47500000000036,-125.53800000000047,-127.28499999999985,-128.3829999999998,-131.20399999999972,-134.46299999999974,-137.32600000000002,-141.8040000000001,-145.8779999999997,-151.5540000000001,-157.32399999999961,-159.63900000000012,-161.36599999999999,-152.76400000000012,-158.29699999999957,-162.77800000000025,-165.1959999999999,-168.02799999999934,-171.23099999999977,-174.35199999999986,-177.3720000000003,-180.24299999999948,-183.89000000000033,-187.61000000000058,-191.34299999999985,-194.47899999999936,-198.29700000000048,-205.21500000000015,-209.05299999999988,-211.16299999999865,-213.02399999999943,-213.99900000000162,-214.92100000000028,-216.20499999999993,-216.6309999999994,-217.18299999999908,-217.7360000000008,-218.21800000000076,-218.55499999999847,-218.95399999999972
