VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.122999999999593,-13.016999999999825,-7.609999999999673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOR,-0.8829999999998108,-0.9599999999995816,-0.9719999999997526,-1.5060000000003129,-1.818000000000211,-1.8589999999999236,-1.91399999999976,-2.149000000000342,-2.6579999999999018,-2.8369999999995343,-3.1530000000002474,-3.3040000000000873,-3.9659999999994398,-4.699999999999818,-5.043000000000575,-5.204000000000633,-5.4409999999998035,-5.6469999999999345,-5.9229999999997744,-6.256000000000313,-6.502999999999702,-10.846999999999753,-33.55200000000059,-27.807999999999993,-19.305999999999585,-18.61700000000019,-13.295999999999367,-6.054000000000087,-6.372000000000298,-6.52100000000064,-6.604000000000269,-6.813999999999396,-6.436999999999898,-6.45299999999952,-6.339999999999236,-6.292000000000371,-6.522000000000844,-6.613999999999578,-6.6580000000003565,-7.037999999999556,-7.4650000000001455,-7.46100000000024,-7.542000000000371,-7.415999999999258,-6.390999999999622,-6.23700000000008,-6.143999999999323,-6.0239999999994325,-5.686000000000604,-4.9080000000003565,-4.53899999999976,-4.565000000000509,-4.068000000000211,-3.1439999999993233,-2.3640000000004875,-2.042000000000371,-1.6359999999995125,-1.6779999999998836,-1.800000000000182,-1.4020000000000437,-1.206000000000131,-1.0170000000016444,-0.7249999999985448
LEC,-1.6989999999996144,-2.0289999999999964,-2.087999999999738,-2.6959999999999127,-3.0840000000002874,-3.2590000000000146,-3.4159999999997126,-3.769999999999982,-4.442000000000007,-4.735999999999876,-4.998000000000502,-5.0600000000004,-5.429000000000087,-6.108000000000175,-6.249000000000706,-6.8510000000005675,-7.23700000000008,-7.545000000000073,-7.699999999999818,-7.907000000000153,-7.967999999999847,-8.222999999999956,-8.178000000000793,-3.5659999999998035,-0.10999999999967258,-23.528000000000247,-17.112999999999374,-9.721999999999753,-9.609000000000378,-9.463999999999942,-9.863000000000284,-9.795000000000073,-9.243000000000393,-9.208999999999833,-9.220999999999549,-9.078999999999724,-8.955000000000837,-8.782999999999447,-8.743000000000393,-8.679999999999382,-8.932999999999993,-8.34100000000035,-8.52600000000075,-8.393999999999323,-7.46100000000024,-7.356999999999971,-7.7609999999995125,-8.350999999999658,-8.326000000000022,-7.923000000000684,-7.550999999999476,-7.3530000000000655,-7.604000000000269,-7.083999999999833,-6.757999999999811,-6.682999999999993,-6.923999999999978,-6.963999999999942,-7.1030000000000655,-7.158999999999651,-7.244000000000597,-7.798000000000684,-7.915999999999258
PIA,-2.8449999999998,-3.5599999999999454,-3.4960000000000946,-4.2020000000002256,-4.73700000000008,-5.175999999999931,-5.38799999999992,-6.149000000000342,-7.114000000000033,-7.606999999999971,-7.913000000000466,-8.735999999999876,-9.550999999999476,-10.221999999999753,-10.57800000000043,-10.950000000000728,-11.53399999999965,-11.989999999999782,-12.515000000000327,-12.818000000000211,-13.42199999999957,-13.527999999999338,-17.76000000000022,-34.8119999999999,-25.23999999999978,-24.22900000000027,-18.66399999999976,-10.944000000000415,-10.642000000000735,-10.649000000000342,-10.832000000000335,-10.957999999999629,-10.518000000000029,-10.717999999999847,-10.830999999999221,-10.810999999999694,-10.91400000000067,-11.04699999999957,-11.301000000000386,-11.656999999999243,-11.94800000000032,-12.238000000000284,-12.814000000000306,-12.82299999999941,-12.346999999999753,-12.6850000000004,-13.260999999999513,-13.753999999999905,-14.240000000000691,-14.402000000000044,-14.868999999999687,-15.090000000000146,-15.15099999999984,-14.64599999999973,-14.07800000000043,-14.028000000000247,-14.118999999999687,-14.304000000000087,-14.224999999999454,-14.23699999999917,-14.520999999998821,-14.36700000000019,-14.131999999999607
SAI,-2.2679999999995744,-2.7739999999998872,-2.867999999999938,-3.538000000000011,-4.080000000000382,-4.371999999999844,-4.739999999999782,-5.4090000000001055,-6.358999999999924,-6.851999999999862,-7.2830000000003565,-7.895999999999731,-8.569999999999709,-9.225999999999658,-9.51300000000083,-9.822000000000116,-10.667000000000371,-10.993999999999687,-11.590000000000146,-12.0649999999996,-12.462999999999738,-12.626000000000204,-12.450000000000728,-8.010999999999513,0.0,0.0,0.0,-15.809000000000196,-16.791000000000167,-16.868000000000393,-16.975000000000364,-16.89799999999923,-16.480999999999767,-16.568999999999505,-16.47399999999925,-16.618999999999687,-16.601000000000568,-16.730999999999767,-16.715000000000146,-16.588999999999942,-16.52900000000045,-16.363999999999578,-16.307999999999993,-16.539999999999964,-16.43199999999979,-16.796000000000276,-17.951000000000022,-18.027000000000044,-17.941000000000713,-18.11200000000008,-19.123999999999796,-20.16899999999987,-20.769000000000233,-20.677999999999884,-20.519000000000233,-20.988000000000284,-21.235999999999876,-21.515000000000327,-21.88799999999992,-22.243000000000393,-22.922999999998865,-23.140000000001237,-22.32499999999891
HAM,-4.229999999999563,-5.474999999999909,-5.824999999999818,-6.869000000000142,-7.679000000000087,-8.379999999999654,-8.957999999999629,-9.789000000000215,-10.755999999999858,-11.206999999999425,-11.794000000000779,-12.26299999999992,-12.956999999999425,-14.055000000000291,-14.46100000000024,-15.298000000000684,-15.815999999999804,-16.425000000000182,-16.881999999999607,-17.554000000000087,-18.22099999999955,-18.304000000000087,-17.877000000000407,-14.010000000000218,-6.023000000000138,-10.780999999999949,-10.64599999999973,-25.733000000000175,-25.71100000000024,-25.726000000000568,-26.918000000000575,-27.36499999999978,-27.166000000000167,-27.36999999999989,-28.734999999999673,-31.088999999999942,-31.353000000000065,-31.532999999999447,-31.662999999999556,-31.854999999999563,-31.819000000000415,-31.421000000000276,-30.99499999999989,-31.003999999999905,-30.22100000000046,-30.465000000000146,-30.625,-30.622999999999593,-30.98200000000088,-30.863000000000284,-30.902999999999338,-31.52300000000014,-32.30000000000018,-32.222999999999956,-32.288000000000466,-33.095000000000255,-34.24799999999959,-35.29600000000028,-35.57799999999952,-35.56999999999971,-35.597999999999956,-35.4900000000016,-35.10399999999936
RUS,-3.6169999999997344,-4.582999999999629,-4.846000000000004,-5.802999999999884,-6.544000000000324,-7.167999999999665,-7.567000000000007,-8.180000000000291,-9.228000000000065,-9.730999999999767,-10.312000000000808,-10.845000000000255,-11.639000000000124,-12.474999999999454,-12.996000000000095,-13.40100000000075,-14.064000000000306,-14.860999999999876,-15.373999999999796,-16.03899999999976,-21.310999999999694,-44.485999999999876,-43.16700000000037,-37.93000000000029,-29.402000000000044,-29.46900000000005,-23.854999999999563,-17.16399999999976,-17.993000000000393,-19.520000000000437,-20.49200000000019,-20.894999999999527,-20.688000000000102,-21.067000000000007,-21.475999999999658,-21.673999999999978,-22.046000000000276,-22.36999999999989,-22.7470000000003,-23.25799999999981,-23.692000000000007,-23.936999999999898,-23.981000000000677,-24.310999999999694,-23.875,-24.402000000000044,-24.915999999999258,-25.384000000000015,-25.71900000000005,-26.39300000000003,-26.80199999999968,-32.488000000000284,-54.69499999999971,-52.365999999999985,-51.18199999999979,-50.26299999999992,-49.20899999999983,-48.3119999999999,-47.82600000000002,-47.28199999999924,-47.28700000000026,-48.09700000000157,-47.15399999999863
PER,-5.893999999999778,-7.8969999999999345,-8.938000000000102,-10.44900000000007,-11.868000000000393,-13.199999999999818,-14.972999999999956,-16.548999999999978,-18.597000000000207,-20.048999999999978,-21.29200000000037,-22.452000000000226,-23.737999999999374,-24.583999999999833,-24.94300000000021,-25.418000000000575,-30.890000000000327,-31.91399999999976,-32.251000000000204,-32.96900000000005,-33.300999999999476,-33.40899999999965,-33.39100000000053,-29.863000000000284,-22.61200000000008,-23.399999999999636,-20.82299999999941,-14.734999999999673,-16.467000000000553,-19.15900000000056,-22.307999999999993,-23.85399999999936,-24.925000000000182,-26.63000000000011,-28.24499999999989,-30.652000000000044,-38.22400000000016,-61.17199999999957,-61.35599999999977,-61.024999999999636,-62.32500000000073,-61.41200000000026,-60.875,-60.54499999999916,-59.676000000000386,-59.847999999999956,-59.45299999999952,-58.73499999999967,-57.858000000000175,-57.02600000000075,-57.32199999999921,-56.452000000000226,-56.95800000000054,-56.373999999999796,-55.93199999999979,-55.73199999999997,-55.448999999999614,-55.22099999999955,-54.94699999999921,-54.71800000000076,-54.852999999999156,-54.86700000000019,-54.77599999999984
STR,-7.593999999999596,-10.112999999999829,-11.596999999999753,-13.275000000000091,-14.79300000000012,-16.26399999999967,-17.93100000000004,-19.56100000000015,-21.58699999999999,-22.72699999999986,-24.209000000000742,-25.337000000000444,-26.84099999999944,-28.31800000000021,-29.337000000000444,-30.34600000000046,-31.811999999999898,-33.44800000000032,-34.702000000000226,-35.76800000000003,-36.74199999999928,-37.675999999999476,-38.23199999999997,-34.61200000000008,-28.143999999999323,-29.087999999999738,-26.170999999999367,-20.663000000000466,-22.679000000000087,-24.757000000000517,-28.13300000000072,-30.373999999999796,-31.881000000000313,-33.922999999999774,-35.65899999999965,-37.50500000000011,-43.9980000000005,-67.3819999999996,-68.80799999999999,-68.7509999999993,-69.19800000000032,-69.17299999999977,-69.01400000000012,-70.28299999999945,-71.35199999999986,-71.63000000000011,-72.01099999999951,-72.05199999999968,-72.58400000000074,-72.4980000000005,-72.83599999999933,-72.96200000000044,-73.10699999999997,-73.08499999999913,-72.84100000000035,-72.96799999999985,-73.1880000000001,-73.24499999999989,-73.48999999999887,-73.8119999999999,-74.76100000000042,-76.75900000000001,-79.55599999999868
TSU,-5.375,-7.144999999999982,-8.030999999999949,-9.430000000000291,-10.863000000000284,-12.234999999999673,-14.03899999999976,-15.414999999999964,-17.088000000000193,-18.50799999999981,-20.07000000000062,-25.538000000000466,-48.072000000000116,-48.02599999999984,-48.46400000000085,-48.73700000000008,-49.264000000000124,-49.80199999999968,-50.447000000000116,-51.349999999999454,-52.68299999999999,-54.24200000000019,-55.647000000000844,-52.00799999999981,-45.60199999999986,-46.189000000000306,-42.22999999999956,-36.4340000000002,-38.41200000000026,-40.733000000000175,-43.32500000000073,-46.14899999999943,-47.48499999999967,-49.29600000000028,-50.82899999999972,-52.79399999999987,-55.00200000000041,-56.71099999999933,-58.59100000000035,-60.284999999999854,-61.89800000000014,-63.94499999999971,-65.1860000000006,-66.43099999999959,-67.30799999999999,-68.83100000000013,-70.05499999999938,-71.0649999999996,-72.1220000000003,-74.66100000000006,-76.10799999999927,-77.66600000000017,-79.38400000000001,-84.39799999999923,-85.48700000000008,-88.86700000000019,-90.3109999999997,-91.80299999999988,-93.26400000000012,-96.46299999999974,-97.65599999999904,-98.89100000000144
HUL,-4.866999999999734,-6.381999999999607,-7.210000000000036,-8.695999999999913,-10.146000000000186,-11.638999999999669,-13.130999999999858,-14.51700000000028,-16.148999999999887,-17.59400000000005,-19.225000000000364,-20.509000000000015,-26.417999999999665,-49.78899999999976,-50.384000000000015,-50.77800000000025,-51.52400000000034,-52.198999999999614,-53.306000000000495,-54.0649999999996,-54.67499999999927,-55.323999999999614,-56.21900000000005,-53.10900000000038,-46.39300000000003,-47.47400000000016,-43.44599999999991,-37.871000000000095,-40.085000000000036,-42.246000000000095,-44.71100000000024,-47.253999999999905,-49.67399999999998,-51.711999999999534,-53.021999999999935,-54.89300000000003,-56.84200000000055,-58.95599999999922,-61.02899999999954,-63.49499999999989,-65.32400000000052,-66.7569999999996,-68.4350000000004,-69.79299999999967,-70.90999999999985,-73.69300000000021,-75.54699999999957,-76.88799999999992,-78.06800000000021,-79.17200000000048,-82.4439999999995,-85.90499999999975,-88.9340000000002,-90.27099999999973,-91.40300000000025,-93.13000000000011,-96.52099999999973,-98.13400000000001,-99.99199999999928,-101.76399999999921,-104.85499999999956,-106.31200000000172
MAG,-9.009999999999764,-11.726999999999862,-13.592000000000098,-15.438000000000102,-17.385999999999967,-18.754999999999654,-20.406999999999698,-22.05600000000004,-23.833000000000084,-25.7529999999997,-27.726000000000568,-29.365999999999985,-31.247999999999593,-33.35599999999977,-35.2480000000005,-37.02100000000064,-39.26999999999953,-41.197000000000116,-42.95100000000002,-44.251000000000204,-45.32899999999972,-46.57899999999972,-47.35200000000077,-44.07899999999972,-37.89599999999973,-39.17000000000007,-35.75799999999981,-30.572000000000116,-33.11400000000049,-35.60400000000027,-38.34300000000076,-41.65799999999945,-43.72400000000016,-46.185999999999694,-48.33099999999922,-50.80199999999968,-58.0,-83.62199999999939,-84.5600000000004,-86.3219999999992,-86.8090000000002,-90.25,-90.9390000000003,-91.34299999999985,-91.67399999999998,-92.64600000000064,-93.31700000000001,-93.46199999999953,-96.34900000000016,-97.02800000000025,-97.66599999999926,-98.72000000000025,-99.1840000000002,-99.39799999999923,-99.6859999999997,-100.37700000000041,-103.16499999999996,-103.66100000000006,-104.58600000000024,-105.36100000000079,-106.41300000000047,-107.46900000000096
RIC,-6.4699999999998,-8.668999999999869,-9.88000000000011,-11.43600000000015,-12.913000000000011,-14.45699999999988,-16.016999999999825,-17.62900000000036,-19.539000000000215,-20.9399999999996,-27.14300000000003,-50.634000000000015,-51.13000000000011,-52.402000000000044,-53.08400000000074,-53.73400000000038,-54.66399999999976,-55.28399999999965,-55.990999999999985,-56.45399999999972,-57.06700000000001,-57.70399999999972,-58.361000000000786,-54.60699999999997,-47.80899999999929,-49.46600000000035,-46.62199999999939,-41.59400000000005,-44.30000000000018,-47.79899999999998,-50.94300000000021,-52.08299999999963,-53.20300000000043,-54.24299999999948,-55.685999999999694,-57.22999999999956,-59.00700000000052,-60.85999999999967,-63.98099999999977,-65.61799999999948,-67.32000000000062,-68.65399999999954,-71.55000000000018,-73.24599999999919,-73.95799999999963,-75.5560000000005,-76.95699999999943,-78.19799999999941,-79.60400000000027,-82.8680000000004,-84.30199999999968,-89.35500000000047,-91.01699999999983,-92.08399999999983,-93.02199999999993,-96.42799999999988,-98.22699999999986,-99.77400000000034,-101.38100000000031,-104.77100000000064,-106.01399999999921,-108.69600000000173
OCO,-7.067999999999756,-9.394999999999982,-10.813000000000102,-12.371000000000095,-13.903999999999996,-15.471999999999753,-17.165999999999713,-18.827999999999975,-21.0,-23.708999999999833,-25.569000000000415,-27.324000000000524,-29.157999999999447,-31.037000000000262,-32.720000000000255,-34.40700000000015,-36.139000000000124,-37.80999999999949,-39.47199999999975,-41.07799999999952,-42.688999999999396,-44.30199999999968,-45.923000000000684,-42.7529999999997,-41.154999999999745,-65.09199999999964,-60.57600000000002,-54.3130000000001,-55.95900000000074,-57.94500000000062,-59.98900000000049,-61.72999999999956,-62.939000000000306,-65.39599999999973,-67.5049999999992,-69.16499999999996,-69.98500000000058,-71.68099999999959,-73.27300000000014,-74.66799999999967,-76.13799999999992,-77.52999999999975,-78.85400000000027,-81.83799999999974,-83.04600000000028,-86.2510000000002,-91.01699999999983,-92.64400000000023,-96.20500000000084,-98.46100000000024,-101.83899999999994,-104.04500000000007,-106.16300000000047,-109.09999999999945,-111.1289999999999,-113.65599999999995,-117.10599999999977,-119.41700000000037,-121.11799999999948,-122.63500000000022,-123.68199999999888,-124.94200000000092
ZHO,-9.899999999999636,-13.242999999999938,-15.088999999999942,-17.463999999999942,-19.295000000000073,-21.073999999999614,-23.17699999999968,-25.213000000000193,-27.822999999999865,-29.860999999999876,-31.850000000000364,-33.75500000000011,-35.748999999999796,-37.568999999999505,-39.07800000000043,-40.50500000000011,-42.210000000000036,-43.904999999999745,-45.56700000000001,-47.22400000000016,-48.83299999999963,-50.33100000000013,-51.363000000000284,-48.17199999999957,-42.052999999999884,-43.50600000000031,-40.085000000000036,-34.6869999999999,-37.19000000000051,-39.736000000000786,-42.517000000000735,-45.60999999999967,-53.896999999999935,-78.30699999999979,-78.82399999999961,-81.19700000000012,-81.72900000000027,-82.91199999999935,-83.94499999999971,-85.21399999999994,-85.92200000000048,-87.09699999999975,-90.20000000000073,-90.59599999999955,-90.88299999999981,-91.85800000000017,-92.76599999999962,-96.18499999999949,-97.29600000000028,-98.96700000000055,-102.44499999999971,-104.52900000000045,-106.69300000000021,-109.85899999999947,-111.59100000000035,-114.04300000000057,-117.4380000000001,-119.89999999999964,-123.23399999999947,-124.36700000000019,-125.23199999999997,-125.96800000000076
GAS,-8.487999999999829,-11.105999999999767,-12.985999999999876,-15.021000000000186,-16.769999999999982,-18.30099999999993,-19.871999999999844,-26.05500000000029,-50.815000000000055,-51.09299999999985,-51.710000000000036,-52.32899999999972,-53.26299999999992,-54.11999999999989,-54.75200000000041,-55.54200000000037,-56.60499999999956,-57.613000000000284,-58.327000000000226,-59.01000000000022,-59.84199999999964,-60.375,-61.001000000000204,-57.30699999999979,-50.43499999999949,-51.60400000000027,-47.974999999999454,-42.76500000000033,-45.70100000000002,-53.09300000000076,-77.21700000000055,-77.91100000000006,-78.40300000000025,-79.34900000000016,-81.93499999999949,-82.71600000000035,-83.89000000000033,-85.1909999999998,-86.26599999999962,-89.07999999999993,-91.4350000000004,-94.32399999999961,-95.20000000000073,-96.27399999999943,-98.37299999999959,-100.54700000000048,-101.8799999999992,-102.80699999999979,-103.96500000000015,-105.0530000000008,-106.49299999999948,-108.1239999999998,-109.4310000000005,-110.76199999999972,-112.32999999999993,-115.64000000000033,-118.08799999999974,-120.57899999999972,-123.66099999999915,-127.03399999999965,-129.6909999999989,-130.75
SAR,-10.194999999999709,-13.840999999999894,-15.753000000000156,-18.072000000000116,-20.039999999999964,-21.92699999999968,-24.036999999999807,-26.05099999999993,-28.77599999999984,-30.92199999999957,-33.2480000000005,-35.3100000000004,-37.81800000000021,-39.847999999999956,-41.5630000000001,-43.14000000000033,-44.96299999999974,-46.914999999999964,-48.86899999999969,-50.48999999999978,-52.136999999999716,-53.66100000000006,-54.626000000000204,-51.40099999999984,-45.17000000000007,-48.935999999999694,-46.08399999999983,-40.998999999999796,-43.82000000000062,-47.275000000000546,-54.94500000000062,-82.4439999999995,-82.76299999999992,-83.60999999999967,-84.3710000000001,-85.29600000000028,-87.77600000000075,-90.4989999999998,-93.03700000000026,-93.72699999999986,-94.5560000000005,-95.22000000000025,-96.32000000000062,-99.40899999999965,-100.47999999999956,-102.11300000000028,-103.51199999999972,-104.77499999999964,-107.75800000000072,-109.02000000000044,-110.4409999999998,-114.00799999999981,-114.8720000000003,-115.36399999999958,-115.63100000000031,-117.02400000000034,-119.1840000000002,-121.58600000000024,-124.74099999999908,-127.87099999999919,-131.5669999999991,-132.08600000000115
BOT,-9.391999999999825,-12.419999999999618,-14.309999999999945,-16.425000000000182,-18.485000000000127,-20.031999999999698,-21.73199999999997,-28.235000000000127,-53.52799999999979,-53.96399999999994,-54.53400000000056,-55.21799999999985,-55.75,-56.5,-57.15900000000056,-57.69300000000021,-58.83299999999963,-59.78200000000015,-60.547999999999774,-61.23700000000008,-61.85999999999967,-62.53299999999945,-62.879000000000815,-59.25600000000031,-52.38199999999961,-53.448999999999614,-49.68199999999979,-44.332000000000335,-46.85600000000068,-49.561000000000604,-51.87800000000061,-53.83799999999974,-55.725000000000364,-57.72599999999966,-59.60899999999947,-61.66100000000006,-63.89500000000044,-66.14899999999943,-68.42500000000018,-71.58499999999913,-73.70800000000054,-75.58500000000004,-77.51400000000012,-79.36099999999988,-82.41600000000017,-85.57300000000032,-90.40299999999934,-91.8760000000002,-93.6890000000003,-96.76100000000042,-99.73399999999947,-103.25200000000041,-105.5610000000006,-108.25900000000001,-110.30699999999979,-112.73400000000038,-116.6889999999994,-118.70399999999972,-122.86699999999928,-126.67900000000009,-132.14599999999882,-137.3780000000006
ALO,-10.766999999999825,-14.356999999999971,-16.494000000000142,-18.894000000000233,-20.858000000000175,-22.751999999999953,-29.33199999999988,-54.45000000000027,-55.62300000000005,-56.021999999999935,-56.81700000000001,-57.25799999999981,-57.82899999999972,-58.53700000000026,-59.14400000000023,-59.63300000000072,-60.95499999999993,-61.9340000000002,-63.103000000000065,-64.46199999999953,-67.1929999999993,-68.79799999999977,-69.7480000000005,-66.4970000000003,-59.97099999999955,-61.29399999999987,-57.70100000000002,-52.3090000000002,-54.60699999999997,-56.9320000000007,-58.944000000000415,-60.91899999999987,-62.35400000000027,-64.72400000000016,-66.70699999999943,-68.71100000000024,-72.06500000000051,-74.60399999999936,-76.96000000000004,-83.8149999999996,-109.0,-108.01900000000023,-108.29100000000017,-108.4359999999997,-108.125,-108.45700000000033,-108.59299999999985,-108.59500000000025,-108.81700000000001,-109.53600000000006,-110.82699999999932,-111.44700000000012,-111.28300000000036,-111.35299999999916,-112.89900000000034,-116.08600000000024,-118.42699999999968,-121.08699999999953,-129.10500000000047,-154.21700000000055,-157.90799999999945,-156.15900000000147
