BOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VER,-1.1100000000001273,-0.8260000000000218,-0.8229999999998654,-1.6050000000000182,-1.7269999999998618,-1.7010000000000218,-1.9580000000000837,-1.9349999999999454,-1.8969999999999345,-1.8699999999998909,-1.9140000000002146,-1.9540000000001783,-1.9410000000002583,-2.130000000000109,-2.1159999999999854,-2.1649999999999636,-1.97400000000016,-2.3079999999999927
RIC,-3.9529999999999745,-2.7840000000001055,-1.4919999999997344,-2.9210000000002765,-3.923999999999978,-4.776000000000295,-5.8159999999998035,-6.786000000000058,-7.663000000000011,-8.523000000000138,-9.472000000000207,-10.14200000000028,-11.307000000000244,-12.327000000000226,-13.035000000000764,-13.699000000000524,-13.94000000000051,-14.565999999999804
NOR,-6.190000000000055,-4.6030000000000655,-1.900000000000091,-3.7650000000003274,-5.101999999999862,-6.092000000000098,-7.358000000000175,-8.317000000000007,-9.331000000000131,-10.427999999999884,-11.456000000000131,-12.548999999999978,-13.701000000000022,-14.720000000000255,-15.873000000000502,-16.670000000000073,-17.51600000000053,-18.86699999999928
HAM,-9.072999999999865,-5.8400000000001455,-2.4329999999999927,-4.4529999999999745,-5.678999999999633,-6.760000000000218,-8.00500000000011,-9.342000000000098,-10.054999999999836,-11.09900000000016,-12.188000000000102,-13.224999999999909,-14.575000000000273,-15.760000000000218,-16.597000000000662,-17.483000000000175,-18.162000000000262,-20.042999999999665
LEC,-10.75500000000011,-6.826999999999771,-2.8079999999999927,-5.570000000000164,-7.35799999999972,-8.389000000000124,-10.059999999999945,-11.204999999999927,-12.833000000000084,-14.072999999999865,-15.524000000000342,-16.672000000000025,-17.93600000000015,-19.228000000000065,-20.662000000000262,-21.79200000000037,-22.557999999999993,-23.48199999999997
SAI,-11.690000000000055,-8.137000000000171,-3.3289999999997235,-6.3969999999999345,-8.259999999999764,-9.758000000000266,-11.315000000000055,-12.525000000000091,-14.27099999999973,-15.940000000000055,-17.52200000000039,-19.059000000000196,-20.701000000000022,-22.153000000000247,-23.649000000000342,-24.88300000000072,-26.11999999999989,-27.98399999999947
GIO,-12.554999999999836,-9.24499999999989,-3.8769999999999527,-7.140000000000327,-9.259000000000015,-10.809000000000196,-12.530999999999949,-14.20699999999988,-16.154999999999745,-17.632000000000062,-19.208000000000084,-20.740000000000236,-22.54399999999987,-24.383000000000266,-25.85699999999997,-27.66900000000078,-29.09400000000005,-31.120999999999185
PER,-14.510999999999967,-11.798999999999978,-4.938999999999851,-8.06899999999996,-10.567999999999756,-12.396000000000186,-14.097999999999956,-15.646999999999935,-19.583000000000084,-20.559000000000196,-21.403000000000247,-21.791999999999916,-23.28800000000001,-25.019999999999982,-26.49000000000069,-28.296000000000276,-29.587000000000444,-31.711999999999534
STR,-13.55099999999993,-10.945000000000164,-4.148999999999887,-7.693000000000211,-9.97799999999961,-11.773000000000138,-13.55600000000004,-15.197000000000116,-18.996000000000095,-22.28800000000001,-24.628000000000156,-26.639999999999873,-28.807999999999993,-30.860999999999876,-32.952000000000226,-34.697000000000116,-36.485999999999876,-38.70299999999952
ALO,-17.748000000000047,-16.123000000000047,-5.563999999999851,-9.04800000000023,-11.734999999999673,-13.416000000000167,-15.429999999999836,-16.947000000000116,-20.13799999999992,-23.264000000000124,-25.79000000000042,-27.740000000000236,-30.33600000000024,-32.54100000000017,-34.69800000000032,-36.16900000000078,-37.65300000000025,-39.826999999999316
VET,-16.04300000000012,-13.916000000000167,-5.400000000000091,-9.914000000000215,-12.937999999999647,-14.907999999999902,-16.909999999999854,-18.69499999999971,-21.268999999999778,-24.259000000000015,-26.91300000000001,-28.916999999999916,-31.60699999999997,-33.91600000000017,-36.113000000000284,-37.89500000000044,-39.452000000000226,-41.20899999999983
OCO,-19.679999999999836,-18.215999999999894,-6.298999999999978,-10.360999999999876,-13.73299999999972,-16.021000000000186,-18.2199999999998,-20.125,-22.290999999999713,-24.952000000000226,-27.625,-29.86999999999989,-32.753999999999905,-35.07900000000018,-37.350000000000364,-39.324000000000524,-41.26500000000033,-43.404999999999745
LAT,-21.222999999999956,-20.396000000000186,-6.632999999999811,-10.970000000000255,-14.155999999999949,-16.764999999999873,-18.95199999999977,-21.118999999999687,-23.289999999999964,-25.856000000000222,-28.356000000000222,-30.57900000000018,-33.41100000000006,-35.99800000000005,-38.3730000000005,-40.668000000000575,-43.26900000000023,-46.009000000000015
RUS,-28.748000000000047,-25.93600000000015,-7.871000000000095,-12.271000000000186,-15.856999999999971,-18.63000000000011,-21.04599999999982,-23.365999999999985,-25.80899999999974,-28.166000000000167,-30.903999999999996,-33.24000000000024,-35.5930000000003,-37.8420000000001,-39.975000000000364,-42.21800000000076,-44.3119999999999,-46.852999999999156
TSU,-29.269999999999982,-29.103999999999814,-8.534000000000106,-13.480000000000018,-16.630999999999858,-20.220000000000255,-23.159999999999854,-25.402000000000044,-28.240999999999985,-30.690000000000055,-33.30600000000004,-35.79899999999998,-38.12300000000005,-40.61000000000013,-43.29600000000028,-45.707000000000335,-47.88299999999981,-49.97699999999986
MAZ,-27.423999999999978,-23.72400000000016,-7.679999999999836,-11.903999999999996,-15.569999999999709,-19.81899999999996,-22.840000000000146,-27.29399999999987,-30.65599999999995,-34.03200000000015,-37.52500000000009,-40.92599999999993,-44.552999999999884,-48.085000000000036,-51.585000000000036,-55.08800000000065,-58.600000000000364,-62.6309999999994
