HAM,-1.7989999999999782,-2.2799999999997453,-2.3630000000002838,-2.2460000000000946,-2.4710000000000036,-2.387000000000171,-2.4340000000001965,-2.33600000000024,-2.326000000000022,-2.2390000000000327,-2.049999999999727,-2.211999999999989,-2.224999999999909,-2.2799999999997453,-2.344000000000051,-2.112999999999829,-1.8519999999998618,-1.7830000000003565,-1.4400000000000546,-1.4639999999999418,-1.3429999999998472,-1.4090000000001055,-1.0570000000002437,-1.2789999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9520000000002256,-2.8380000000006476,-0.8279999999995198,-0.63799999999992,-1.0289999999995416,-0.5010000000002037,-0.3460000000004584,-1.1220000000002983,-1.8010000000003856,-2.014999999999418,-1.699999999999818,-1.4229999999997744,-1.1330000000007203,-1.082999999999629,-1.0520000000005894,-1.0230000000001382,-3.13799999999992,-19.231000000000677,-18.173999999999978,-17.566000000000713,-16.02299999999923,-16.047999999999774,-15.86999999999989,-15.684000000000196,-15.472999999999956,-14.707000000000335,-13.461999999999534,-12.219999999999345,-10.953999999999724,-9.391999999999825,-7.864999999999782,-5.582999999999629,-3.199999999999818,-1.024000000000342,-0.3819999999996071,0.0,0.0,0.0,0.0
VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8640000000000327,-18.873999999999796,-17.99699999999939,-17.537000000000262,-17.246000000000095,-16.506999999999607,-13.217000000000553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3400000000001455,-24.413000000000466,-20.041000000000167,-17.796000000000276
VET,-5.4770000000003165,-5.942999999999756,-6.561000000000149,-7.213999999999942,-8.246999999999844,-8.992999999999938,-10.059000000000196,-11.120000000000346,-12.184000000000196,-13.063000000000102,-13.4699999999998,-14.248000000000047,-15.405999999999949,-16.309999999999945,-17.353999999999814,-18.110000000000127,-18.867999999999938,-19.83600000000024,-20.230000000000018,-20.797000000000025,-21.21499999999969,-21.608999999999924,-21.912000000000262,-22.071000000000367,-21.884000000000015,-24.261000000000422,-26.14599999999973,-27.307999999999993,-28.038000000000466,-28.83299999999963,-26.882000000000517,-15.918999999999869,-18.030000000000655,-19.817000000000007,-22.523999999999432,-25.22099999999955,-27.243999999999687,-29.649000000000342,-34.59900000000016,-56.50500000000011,-56.90099999999984,-56.69499999999971,-56.54099999999926,-57.124000000000706,-57.95100000000002,-58.319000000000415,-58.13100000000031,-58.11899999999969,-58.392000000000735,-58.0,-58.371000000000095,-57.24299999999948,-57.94500000000062,-58.50999999999931,-59.36000000000058,-60.24499999999989,-61.414999999999964,-61.664999999999964,-61.85699999999997,-62.211999999999534,-62.962000000000444,-64.55599999999959,-65.10799999999927,-63.797999999999774,-62.55400000000009,-61.17900000000009,-61.92699999999968,-61.95900000000074,-61.19599999999991,-61.43299999999999
LEC,-3.3470000000002074,-4.2599999999997635,-5.277000000000044,-5.7830000000003565,-6.843999999999596,-7.501999999999953,-8.13000000000011,-9.16000000000031,-9.826000000000022,-10.372000000000298,-10.836999999999989,-11.981999999999971,-13.047000000000025,-13.925000000000182,-14.882000000000062,-15.284999999999854,-15.963000000000193,-16.75400000000036,-17.3420000000001,-17.97499999999991,-18.379999999999654,-18.91800000000012,-19.541000000000167,-20.136000000000422,-20.226000000000113,-23.037000000000262,-27.183999999999287,-45.71100000000024,-45.09700000000066,-43.91699999999946,-40.94300000000021,-27.66399999999976,-27.710000000000036,-28.233000000000175,-29.974999999999454,-31.70299999999952,-33.172999999999774,-34.61500000000069,-34.73999999999978,-36.38800000000083,-37.139000000000124,-37.59100000000035,-37.82899999999972,-38.142000000000735,-38.878999999999905,-39.363000000000284,-39.97200000000066,-41.0029999999997,-41.46700000000055,-41.595000000000255,-42.65600000000086,-42.59899999999925,-44.414999999999964,-45.68199999999979,-47.09200000000055,-48.478000000000065,-50.710000000000036,-52.27099999999973,-54.13299999999981,-56.146999999999935,-57.55200000000059,-60.48499999999967,-60.8149999999996,-60.443999999999505,-60.470000000000255,-59.85199999999986,-61.425999999999476,-64.14000000000033,-64.12299999999959,-65.25
SAI,-6.36200000000008,-9.337999999999738,-12.157000000000153,-15.059000000000196,-18.004999999999654,-20.239000000000033,-22.426000000000386,-24.662000000000262,-26.753000000000156,-28.69300000000021,-30.52599999999984,-32.427000000000135,-34.37300000000005,-36.01499999999987,-37.66899999999987,-38.940000000000055,-40.304999999999836,-41.751000000000204,-42.59900000000016,-43.472999999999956,-44.134000000000015,-44.64899999999989,-45.06399999999985,-45.315000000000055,-45.184999999999945,-46.54500000000007,-47.77899999999954,-49.40700000000015,-52.978000000000065,-70.53399999999965,-67.60699999999997,-55.233000000000175,-55.85400000000027,-56.39499999999953,-58.03600000000006,-59.17999999999938,-59.95100000000002,-60.76100000000042,-61.32099999999991,-63.65600000000086,-65.37299999999959,-66.94599999999991,-68.40700000000015,-69.91600000000017,-71.91600000000017,-74.76900000000023,-76.39200000000073,-77.94700000000012,-79.71600000000035,-82.59400000000005,-85.02300000000014,-86.34499999999935,-89.56700000000001,-92.48599999999988,-94.6260000000002,-98.16499999999996,-100.09200000000055,-101.90799999999945,-103.40700000000015,-105.1260000000002,-106.40400000000045,-107.56700000000001,-108.15399999999954,-107.99299999999948,-107.97199999999975,-107.38699999999972,-108.52099999999973,-109.26299999999992,-109.0069999999996
GAS,-8.269999999999982,-11.51299999999992,-14.36700000000019,-17.43600000000015,-20.625,-23.064000000000306,-25.464000000000397,-28.51000000000022,-30.416000000000167,-32.19200000000001,-33.94599999999991,-36.19200000000001,-38.45100000000002,-40.179999999999836,-42.177000000000135,-43.797999999999774,-45.23100000000022,-46.557000000000244,-47.682000000000244,-48.690000000000055,-49.25699999999961,-50.06399999999985,-50.38200000000006,-50.86500000000024,-50.93299999999999,-52.384000000000015,-54.01499999999942,-57.63299999999981,-74.42900000000009,-73.63599999999951,-70.57900000000063,-57.15700000000015,-56.88299999999981,-57.2519999999995,-59.180999999999585,-60.54699999999957,-61.22199999999975,-61.625,-62.48900000000049,-64.70700000000033,-66.16299999999956,-67.90300000000025,-69.5069999999996,-70.97400000000016,-72.9970000000003,-75.3730000000005,-77.35200000000077,-79.16600000000017,-81.79800000000068,-83.47400000000016,-85.73100000000068,-87.18499999999949,-90.20600000000013,-93.49299999999948,-97.01100000000042,-99.08699999999953,-100.92799999999988,-102.90799999999945,-104.93199999999979,-106.32899999999972,-107.30799999999999,-108.80199999999968,-109.1259999999993,-109.2460000000001,-109.26100000000042,-108.90299999999934,-109.78899999999976,-110.61200000000008,-110.39999999999964
RAI,-7.618000000000393,-10.764000000000124,-13.565000000000055,-16.679000000000087,-19.867999999999938,-22.317000000000007,-24.725000000000364,-26.91300000000001,-28.93899999999985,-30.89800000000014,-32.767999999999574,-35.36999999999989,-37.17599999999993,-38.89300000000003,-40.634000000000015,-42.15000000000009,-43.54899999999998,-44.840000000000146,-46.00600000000031,-46.978000000000065,-47.73299999999972,-48.50500000000011,-49.03800000000001,-49.40300000000025,-49.4680000000003,-51.00600000000031,-52.766999999999825,-54.016999999999825,-56.63799999999992,-74.95199999999932,-71.62800000000061,-59.88799999999992,-60.509000000000015,-61.23099999999977,-62.88299999999981,-64.1859999999997,-64.82799999999952,-65.86599999999999,-67.09900000000016,-69.88000000000011,-71.71699999999964,-74.04100000000017,-75.44499999999971,-77.02400000000034,-78.49399999999969,-83.08300000000054,-84.97500000000036,-86.42500000000018,-88.33100000000013,-89.66200000000026,-91.84500000000025,-92.32499999999982,-94.86099999999988,-98.05799999999999,-101.02400000000034,-102.96999999999935,-104.67399999999998,-106.44200000000001,-108.15599999999995,-110.04600000000028,-111.29500000000007,-112.4960000000001,-112.72299999999996,-112.54899999999998,-112.39900000000034,-111.95899999999983,-112.59099999999944,-113.15500000000065,-113.07399999999961
BOT,-5.211999999999989,-7.985999999999876,-10.889999999999873,-13.75400000000036,-18.87599999999975,-49.22400000000016,-49.013000000000375,-49.014000000000124,-49.01900000000023,-51.49400000000014,-52.039999999999964,-54.53699999999981,-57.97200000000021,-60.16100000000006,-61.29999999999973,-62.70100000000002,-63.81899999999996,-66.07900000000018,-67.9380000000001,-70.16699999999992,-71.7239999999997,-73.07099999999991,-74.06100000000015,-74.60100000000011,-74.74499999999989,-76.5649999999996,-77.51699999999983,-78.33799999999974,-80.47600000000057,-81.04799999999977,-78.94500000000062,-67.17399999999998,-68.57900000000063,-69.26800000000003,-71.02399999999943,-72.42999999999938,-72.79100000000017,-73.3740000000007,-73.71700000000055,-75.90400000000045,-77.26599999999962,-78.72599999999966,-83.09299999999985,-85.40300000000025,-87.24200000000019,-90.86200000000008,-110.73700000000008,-112.4340000000002,-113.36700000000019,-113.35900000000038,-113.21500000000015,-111.53099999999995,-111.84200000000055,-112.18299999999999,-112.45000000000073,-112.36999999999989,-113.23400000000038,-113.32200000000012,-112.84499999999935,-113.28499999999985,-114.55200000000059,-115.96599999999944,-115.34799999999996,-114.20600000000013,-113.29200000000037,-112.70399999999972,-113.27799999999934,-113.76900000000023,-113.8100000000004
NOR,-7.050000000000182,-10.172000000000025,-12.911000000000058,-16.057999999999993,-19.15199999999959,-21.708000000000084,-23.971000000000004,-26.161000000000058,-28.26200000000017,-30.313000000000102,-32.04599999999982,-34.27799999999979,-36.179999999999836,-37.84299999999985,-39.78600000000006,-41.47499999999991,-42.54600000000028,-43.76800000000003,-44.80500000000029,-45.50199999999995,-46.26999999999998,-46.91300000000001,-47.36299999999983,-47.781000000000404,-47.86200000000008,-49.47599999999966,-51.66599999999926,-55.6869999999999,-79.53800000000047,-80.1889999999994,-77.11400000000049,-65.78999999999996,-65.97900000000027,-67.19599999999991,-69.41299999999956,-71.19499999999971,-71.26800000000003,-72.0560000000005,-72.44599999999991,-74.45200000000023,-75.97699999999986,-77.35999999999967,-78.8109999999997,-83.16500000000087,-85.14900000000034,-86.76700000000073,-88.22900000000027,-89.47699999999986,-91.15500000000065,-93.21600000000035,-95.3110000000006,-97.36399999999958,-99.55400000000009,-101.62099999999919,-103.73500000000058,-106.21799999999985,-107.83700000000044,-109.1289999999999,-110.6899999999996,-112.31999999999971,-113.99200000000019,-115.5659999999998,-117.82499999999982,-117.94200000000001,-118.10000000000036,-117.72099999999955,-118.57299999999941,-119.25900000000001,-119.07300000000032
ALB,-10.326000000000022,-14.695999999999913,-18.084000000000287,-21.144000000000233,-24.141999999999825,-27.434000000000196,-30.557999999999993,-33.73600000000033,-36.70000000000027,-39.25700000000006,-42.07199999999966,-44.677999999999884,-47.67000000000007,-50.3090000000002,-53.072000000000116,-55.67099999999982,-58.347999999999956,-62.92300000000023,-64.96600000000035,-66.20299999999997,-67.07299999999987,-67.43199999999979,-67.60199999999986,-67.9050000000002,-67.54800000000023,-69.09799999999996,-70.47199999999975,-73.61200000000008,-93.4340000000002,-92.67499999999927,-89.51600000000053,-77.51299999999992,-78.35699999999997,-79.67199999999957,-84.63699999999972,-86.69999999999982,-87.75900000000001,-89.38900000000012,-90.88699999999972,-93.83400000000074,-96.41899999999987,-98.63500000000022,-100.55899999999929,-102.82600000000002,-105.25,-107.83300000000054,-110.14400000000023,-111.98400000000038,-114.99200000000019,-116.59100000000035,-119.14000000000033,-119.93499999999949,-122.45600000000013,-125.01299999999992,-127.28500000000076,-131.67699999999968,-133.48700000000008,-135.1819999999998,-137.10499999999956,-139.89899999999943,-143.02999999999975,-145.46399999999994,-148.04599999999937,-148.28499999999985,-147.8760000000002,-146.98799999999937,-147.79899999999998,-148.59000000000015,-148.20899999999983
PER,-9.769000000000233,-13.855000000000018,-17.152000000000044,-20.218000000000302,-23.646999999999935,-26.615999999999985,-29.76200000000017,-32.6550000000002,-35.59999999999991,-38.2170000000001,-40.90099999999984,-43.708000000000084,-46.73000000000002,-49.404999999999745,-52.185999999999694,-54.9079999999999,-57.190000000000055,-61.75,-79.61700000000019,-79.79500000000007,-80.18799999999965,-81.11999999999989,-85.33800000000019,-85.7760000000003,-85.08699999999999,-86.04799999999977,-86.94599999999991,-87.29100000000017,-87.64000000000033,-87.82699999999932,-85.05100000000039,-72.84100000000035,-73.94700000000012,-75.67000000000007,-78.48399999999947,-81.09299999999985,-84.3090000000002,-86.7460000000001,-88.12700000000041,-91.20600000000013,-93.70399999999972,-95.93000000000029,-98.03099999999995,-100.27400000000034,-103.01400000000012,-106.04700000000048,-107.71000000000004,-109.50900000000001,-111.4380000000001,-112.80100000000039,-116.76600000000053,-117.83899999999994,-120.42700000000059,-122.54699999999957,-124.66499999999996,-126.29799999999977,-128.40400000000045,-130.60599999999977,-133.3139999999994,-136.70299999999952,-142.01600000000053,-144.60199999999986,-147.5729999999994,-150.8050000000003,-152.39400000000023,-153.21399999999994,-155.25900000000001,-157.14100000000053,-159.2520000000004
HUL,-9.300000000000182,-13.116999999999734,-16.300000000000182,-19.320000000000164,-22.557999999999993,-25.632000000000062,-28.73700000000008,-31.798999999999978,-34.6579999999999,-37.44399999999996,-39.9409999999998,-42.93100000000004,-45.94900000000007,-48.42500000000018,-51.12699999999995,-53.784000000000106,-56.095000000000255,-58.44900000000007,-60.42900000000009,-61.66300000000001,-62.90199999999959,-63.996999999999844,-64.99499999999989,-65.88700000000017,-66.09000000000015,-67.67900000000009,-69.22899999999936,-70.125,-71.08600000000024,-72.51299999999992,-70.29100000000017,-59.636999999999716,-62.69500000000062,-64.90599999999995,-68.03099999999995,-73.10300000000007,-92.27400000000034,-93.1230000000005,-94.17399999999998,-96.6820000000007,-99.08799999999974,-101.52300000000014,-104.13000000000011,-105.97800000000007,-107.95200000000023,-110.20800000000054,-112.70900000000074,-114.91600000000017,-117.2460000000001,-119.51100000000042,-121.82900000000063,-122.85199999999986,-127.12800000000061,-129.192,-131.31900000000041,-133.29500000000007,-135.51900000000023,-137.58500000000004,-139.42699999999968,-142.02399999999943,-146.27599999999984,-148.59199999999964,-150.52999999999975,-152.6319999999996,-153.29700000000048,-153.85199999999986,-155.85399999999936,-157.52000000000044,-159.88799999999992
MAG,-11.615000000000236,-16.610999999999876,-20.625,-23.628000000000156,-26.833999999999833,-30.208000000000084,-33.91500000000042,-37.475000000000364,-41.02800000000025,-44.10500000000002,-47.067999999999756,-49.66399999999976,-52.23500000000013,-54.708000000000084,-56.97600000000011,-59.146000000000186,-61.29100000000017,-63.94600000000037,-66.32600000000002,-68.56899999999996,-70.04799999999977,-71.15200000000004,-72.01000000000022,-72.48100000000022,-72.54500000000007,-74.03999999999996,-75.57499999999982,-76.61099999999988,-78.21800000000076,-78.83199999999943,-76.22400000000016,-65.14500000000044,-68.07000000000062,-71.63500000000022,-74.8189999999995,-77.22800000000007,-79.01500000000033,-83.86700000000019,-102.01699999999983,-104.71400000000085,-106.98899999999958,-109.5649999999996,-111.6880000000001,-113.69700000000012,-115.94200000000001,-117.94500000000062,-120.14900000000034,-124.27599999999984,-126.34400000000005,-127.9409999999998,-130.32100000000082,-130.96299999999974,-133.7550000000001,-136.4379999999992,-138.67100000000028,-142.0630000000001,-144.07499999999982,-145.79199999999946,-147.5050000000001,-149.2519999999995,-150.58799999999974,-152.36499999999978,-152.85999999999967,-153.4920000000002,-156.34900000000016,-157.64399999999932,-158.26800000000003,-158.8680000000004,-160.64499999999953
RIC,-12.91800000000012,-18.4699999999998,-22.69100000000026,-26.144000000000233,-29.519999999999982,-32.66600000000017,-36.13600000000042,-39.064000000000306,-42.48900000000003,-45.20000000000027,-47.904999999999745,-52.69999999999982,-55.91300000000001,-57.93600000000015,-59.88200000000006,-61.64499999999998,-63.18100000000004,-65.3390000000004,-67.38900000000012,-69.21199999999999,-71.0359999999996,-72.27199999999993,-73.22800000000007,-73.86500000000024,-73.87400000000025,-75.34100000000035,-76.82099999999991,-77.81700000000001,-79.10900000000038,-80.02499999999964,-78.54600000000028,-68.73000000000047,-70.61400000000049,-73.01999999999953,-76.25,-78.88499999999931,-80.68099999999959,-84.8760000000002,-86.22800000000007,-89.23600000000079,-91.6269999999995,-94.25200000000041,-96.59799999999996,-99.06200000000081,-102.09599999999955,-107.77300000000014,-127.98400000000038,-128.78700000000026,-129.59700000000066,-130.09900000000016,-131.28900000000067,-131.6859999999997,-134.40400000000045,-137.1299999999992,-139.22500000000036,-142.6319999999996,-144.59000000000015,-146.65099999999984,-148.1869999999999,-150.0109999999995,-151.26699999999983,-153.0010000000002,-153.6329999999998,-154.09900000000016,-156.63600000000042,-158.0069999999996,-158.91699999999946,-160.01400000000012,-160.8789999999999
