VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEC,-1.0230000000001382,-1.86200000000008,-2.0230000000001382,-1.8829999999998108,-2.3270000000002256,-2.3479999999999563,-2.8590000000003783,-2.7570000000005166,-2.9489999999996144,-2.9329999999999927,-2.9329999999999927,-2.7910000000001673,-2.5020000000004075,-2.505000000000109,-2.7020000000002256,-2.7160000000003492,-2.6840000000001965,-2.3020000000005894,-2.1080000000001746,-2.4489999999996144,-2.125,-2.030000000000655,-1.675000000000182
SAI,-1.667000000000371,-2.6700000000000728,-2.8830000000007203,-2.831000000000131,-2.9769999999998618,-3.0369999999993524,-3.957999999999629,-4.501000000000204,-4.795000000000073,-5.312999999999192,-5.619999999999891,-5.708999999999833,-5.667000000000371,-5.697000000000116,-5.818000000000211,-5.766000000000531,-5.7169999999996435,-5.462999999999738,-5.320999999999913,-5.69800000000032,-5.766999999999825,-6.064000000000306,-5.644000000000233
RUS,-2.2730000000001382,-3.444999999999709,-3.9270000000005894,-4.444999999999709,-5.3100000000004,-6.0900000000001455,-6.658999999999651,-7.265000000000327,-7.777999999999338,-8.394999999999527,-9.014000000000124,-9.689000000000306,-10.20300000000043,-10.704999999999927,-11.103000000000065,-11.525000000000546,-11.768000000000029,-11.88000000000011,-11.97400000000016,-12.480000000000473,-12.930999999999585,-13.490999999999985,-13.429000000000087
PER,-4.371000000000095,-6.02599999999984,-7.390000000000327,-8.421000000000276,-9.655000000000655,-11.143000000000029,-12.417000000000371,-13.621000000000095,-14.759999999999309,-15.123999999999796,-15.569999999999709,-16.027000000000044,-16.140000000000327,-16.246000000000095,-16.323999999999614,-16.360999999999876,-16.376999999999498,-16.73400000000038,-16.824999999999818,-17.53899999999976,-17.788000000000466,-18.353000000000065,-18.30199999999968
OCO,-2.9140000000002146,-4.402000000000044,-5.562000000000808,-6.485000000000582,-7.838999999999942,-9.041999999999462,-9.962000000000444,-11.159999999999854,-12.412999999999556,-13.630999999999403,-14.931999999999789,-17.074999999999818,-17.692000000000007,-19.079000000000633,-20.501000000000204,-21.886000000000422,-23.14800000000014,-24.27300000000014,-25.327000000000226,-26.835000000000036,-28.26599999999962,-29.7470000000003,-31.032000000000153
MAG,-3.3700000000003456,-5.063999999999851,-6.346000000000458,-7.117000000000189,-8.733000000000175,-10.091999999999643,-11.081000000000131,-12.496000000000095,-14.199999999999818,-16.018999999999323,-17.00500000000011,-18.735999999999876,-20.191000000000713,-22.02100000000064,-23.618999999999687,-25.077000000000226,-26.43499999999949,-27.899000000000342,-29.019999999999527,-30.730999999999767,-32.02800000000025,-33.436000000000604,-34.53899999999976
HAM,-5.887000000000171,-8.282000000000153,-10.053000000000793,-11.326000000000022,-12.420000000000073,-13.492999999999483,-14.34100000000035,-15.511000000000422,-16.49699999999939,-17.245999999999185,-18.11999999999989,-19.76299999999992,-21.439000000000306,-23.244000000000597,-24.77900000000045,-26.25300000000061,-27.692000000000007,-29.028000000000247,-30.829999999999927,-32.67000000000007,-33.83100000000013,-34.66200000000026,-35.447000000000116
MSC,-3.8720000000002983,-5.529999999999745,-6.891000000000531,-7.886999999999716,-9.337000000000444,-10.70299999999952,-11.788000000000466,-13.201000000000022,-15.587999999999738,-16.599999999999454,-17.688000000000102,-19.411000000000058,-20.936000000000604,-22.884000000000015,-24.484999999999673,-25.90599999999995,-27.335000000000036,-28.71900000000005,-30.358000000000175,-32.220000000000255,-34.60099999999966,-35.95900000000074,-37.162999999999556
BOT,-5.054000000000087,-6.9789999999998145,-8.55200000000059,-9.765000000000327,-11.173999999999978,-12.442000000000007,-13.715000000000146,-16.364000000000487,-18.041000000000167,-19.724999999999454,-21.01800000000003,-22.429000000000087,-23.493000000000393,-25.06800000000021,-26.54200000000037,-27.72100000000046,-29.024999999999636,-30.215000000000146,-31.46599999999944,-33.23700000000008,-35.00699999999961,-36.43000000000029,-37.55699999999979
NOR,-6.2800000000002,-8.759000000000015,-10.75500000000011,-13.028000000000247,-14.891999999999825,-17.279999999999745,-18.721999999999753,-19.890000000000327,-21.30999999999949,-22.699999999999818,-23.96599999999944,-25.18199999999979,-26.53400000000056,-27.951000000000022,-29.355999999999767,-30.572000000000116,-31.823999999999614,-32.685999999999694,-33.61200000000008,-34.89099999999962,-36.03099999999995,-37.548000000000684,-38.57999999999993
RIC,-6.773000000000138,-9.315000000000055,-11.5600000000004,-13.511000000000422,-15.503000000000611,-18.049999999999272,-19.76599999999962,-21.02099999999973,-22.322000000000116,-23.498999999999796,-24.79199999999946,-26.02899999999954,-27.33600000000024,-28.98400000000038,-30.358000000000175,-31.57800000000043,-32.74399999999969,-33.615999999999985,-34.58600000000024,-35.80699999999979,-36.970000000000255,-38.46100000000024,-39.738000000000284
STR,-7.486000000000331,-10.440999999999804,-12.92700000000059,-14.761000000000422,-16.89800000000014,-18.917999999999665,-21.46900000000005,-23.858000000000175,-25.85399999999936,-27.72399999999925,-29.36700000000019,-31.090000000000146,-32.70900000000074,-34.32600000000002,-36.14000000000033,-37.67500000000018,-39.3769999999995,-40.777000000000044,-42.1909999999998,-43.88100000000031,-45.50799999999981,-47.17100000000028,-48.240999999999985
