NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VER,-0.9890000000000327,-1.2989999999999782,-1.8099999999999454,-1.8339999999998327,-1.8019999999996799,-1.956000000000131,-2.1090000000003783,-2.6959999999999127,-3.8710000000000946,-4.779999999999745,-5.721999999999753,-7.005000000000109,-8.036000000000058,-8.911000000000058,-9.97900000000027,-11.206000000000131,-12.1850000000004,-13.1850000000004,-13.920000000000073,-15.155999999999949,-16.13000000000011,-17.207000000000335,-18.225999999999658,-19.097999999999956,-20.335000000000036,-21.649999999999636,-22.97400000000016,-24.71099999999933,-30.70600000000013,-42.62199999999939,-20.902000000000044,-20.692000000000007,-21.030000000000655,-21.187000000000808,-21.76299999999992,-22.514999999999418,-23.064000000000306,-23.425000000000182,-23.0570000000007,-22.824999999999818,-23.63500000000022,-24.09599999999955,-24.06800000000021,-24.206999999999425,-23.896999999999935,-24.444000000000415,-24.50500000000011,-26.319000000000415,-26.860999999998967,-27.604999999999563,-28.134000000000015,-28.78399999999965,-29.192000000000917,-29.191000000000713,-28.832000000000335,-28.022000000000844,-25.575000000000728,-24.012000000000626,-23.03099999999904,-22.743000000000393,-21.935999999999694,-20.94499999999971
PIA,-4.843999999999596,-5.302999999999884,-6.246999999999844,-7.157000000000153,-7.885999999999967,-8.820999999999913,-9.619000000000597,-10.409999999999854,-12.140999999999622,-13.739999999999782,-15.358000000000175,-17.014000000000124,-18.559000000000196,-19.3779999999997,-21.05500000000029,-22.519000000000233,-24.043000000000575,-25.163000000000466,-26.63000000000011,-28.0600000000004,-29.136999999999716,-30.436999999999898,-31.48700000000008,-32.362999999999374,-33.475000000000364,-35.05400000000009,-36.095000000000255,-36.266999999999825,-32.33299999999963,-23.549999999999272,-3.2910000000001673,-4.451000000000022,-6.055000000000291,-7.379000000000815,-9.17699999999968,-11.107999999999265,-13.110000000000582,-22.795000000000073,-43.02100000000064,-42.4369999999999,-42.13200000000052,-41.615999999999985,-41.172999999999774,-42.26099999999951,-42.59099999999944,-42.962000000000444,-42.725000000000364,-43.54500000000007,-43.365999999999985,-45.36499999999978,-46.03100000000086,-46.69499999999971,-47.66600000000108,-47.75799999999981,-46.96700000000055,-46.125,-43.34599999999955,-41.667999999999665,-41.72899999999936,-42.28900000000067,-42.876000000000204,-41.82300000000032
RUS,-3.3979999999996835,-3.406999999999698,-4.712999999999738,-5.436999999999898,-6.102999999999611,-6.632000000000062,-7.376000000000204,-8.554000000000087,-10.01299999999992,-11.515000000000327,-13.042999999999665,-14.639000000000124,-16.019000000000233,-17.359999999999673,-19.060999999999694,-20.963000000000648,-22.8100000000004,-24.14599999999973,-25.087999999999738,-26.537000000000262,-27.802999999999884,-29.05200000000059,-30.256999999999607,-31.247999999999593,-32.735999999999876,-34.233000000000175,-43.53299999999945,-63.0659999999998,-58.284999999999854,-48.259000000000015,-27.25500000000011,-27.568999999999505,-28.334000000000742,-29.976000000000568,-32.61999999999989,-35.5679999999993,-36.91899999999987,-37.78600000000006,-37.82999999999993,-38.180999999999585,-38.835000000000036,-39.74699999999939,-40.3730000000005,-41.79899999999998,-44.24299999999948,-46.70300000000043,-47.771999999999935,-50.44300000000021,-51.79099999999926,-53.48699999999917,-54.42900000000009,-55.53600000000006,-56.597999999999956,-57.22900000000118,-57.754000000000815,-57.9380000000001,-56.66400000000067,-56.72600000000057,-58.10399999999936,-59.344999999999345,-60.8070000000007,-61.039999999999054
LEC,-6.665999999999713,-7.960999999999785,-8.694999999999709,-9.558999999999742,-10.661999999999807,-11.615999999999985,-12.640000000000327,-14.284999999999854,-16.260999999999513,-18.01299999999992,-20.275000000000546,-22.556000000000495,-24.55699999999979,-26.43199999999979,-28.189000000000306,-30.46900000000005,-33.021999999999935,-34.76800000000003,-36.220000000000255,-38.42000000000007,-40.53700000000026,-42.43000000000029,-44.90599999999995,-46.750999999999294,-49.376000000000204,-50.983000000000175,-52.53299999999945,-54.79999999999927,-51.292999999999665,-43.76299999999992,-24.569000000000415,-26.039999999999964,-27.543000000000575,-29.32300000000032,-32.0630000000001,-42.930999999999585,-63.66399999999976,-63.51000000000022,-62.47200000000066,-62.75799999999981,-62.35400000000027,-63.21599999999944,-62.45499999999993,-61.818999999999505,-60.60699999999997,-60.025000000000546,-59.21600000000035,-60.08299999999963,-60.274999999999636,-61.4940000000006,-61.31500000000051,-61.14300000000003,-60.8070000000007,-60.512000000000626,-60.28600000000006,-59.58600000000115,-57.53900000000067,-57.31500000000051,-58.58499999999913,-60.1200000000008,-61.626000000000204,-62.43000000000029
HAM,-2.2779999999997926,-2.65099999999984,-3.4989999999997963,-4.121000000000095,-4.476999999999862,-4.9050000000002,-5.664000000000669,-6.828000000000429,-8.139999999999418,-9.618999999999687,-10.884000000000015,-12.373000000000502,-13.805000000000291,-15.146999999999935,-16.676000000000386,-19.09600000000046,-28.950000000000728,-50.590000000000146,-51.51000000000022,-53.36800000000039,-55.08600000000024,-56.164999999999964,-57.34900000000016,-58.17399999999998,-60.927999999999884,-63.83899999999994,-66.23499999999967,-67.16199999999935,-63.30999999999949,-54.06999999999971,-34.10199999999986,-34.763999999999214,-35.527000000000044,-36.22600000000057,-37.38199999999961,-39.15099999999984,-40.65400000000045,-41.70899999999983,-42.35500000000047,-44.49399999999969,-46.11400000000049,-47.82499999999982,-48.608000000000175,-49.925999999999476,-50.79899999999998,-52.64300000000003,-53.9980000000005,-57.36700000000019,-59.63799999999901,-63.737999999999374,-65.78200000000106,-68.21700000000055,-70.45100000000093,-72.05400000000009,-73.90200000000004,-75.82600000000093,-76.01100000000042,-76.96299999999974,-79.02099999999882,-81.1830000000009,-83.47700000000077,-85.24799999999959
SAI,-9.07699999999977,-10.81399999999985,-11.848999999999705,-12.50799999999981,-13.687999999999647,-15.065999999999804,-16.79400000000078,-18.496000000000095,-20.853000000000065,-22.970000000000255,-25.01299999999992,-28.230999999999767,-38.63299999999981,-58.76800000000003,-58.57099999999991,-58.85500000000047,-59.32600000000002,-60.40900000000056,-61.30799999999999,-63.23400000000038,-65.17399999999998,-66.84900000000016,-68.0609999999997,-69.54500000000007,-71.73700000000008,-73.7510000000002,-75.34099999999944,-77.17599999999948,-74.25900000000001,-65.39300000000003,-45.36000000000058,-46.92399999999998,-49.59400000000005,-51.27900000000045,-53.07899999999972,-54.8130000000001,-56.6850000000004,-57.94599999999991,-58.423000000000684,-59.193999999999505,-60.86000000000058,-63.98999999999978,-65.98199999999997,-67.57699999999932,-68.76599999999962,-71.22500000000036,-72.67299999999977,-75.59800000000087,-77.55699999999888,-79.4320000000007,-81.3630000000012,-83.67000000000007,-85.38900000000103,-86.68000000000029,-88.1130000000012,-89.04700000000048,-88.35200000000077,-88.89300000000003,-90.50299999999879,-92.71000000000095,-94.19000000000051,-96.03900000000067
ALO,-5.960000000000036,-7.063999999999851,-7.94399999999996,-8.893000000000029,-9.990999999999985,-10.943000000000211,-12.042000000000371,-13.502000000000407,-15.430999999999585,-17.365999999999985,-19.381000000000313,-21.76000000000022,-23.809000000000196,-25.501000000000204,-27.751000000000204,-29.989000000000487,-31.79200000000037,-33.44200000000001,-35.44300000000021,-37.923000000000684,-39.98899999999958,-42.14600000000064,-44.17699999999968,-46.24699999999939,-57.55000000000018,-78.97800000000007,-79.86499999999978,-81.16299999999956,-77.89900000000034,-69.38799999999992,-49.41200000000026,-50.98099999999977,-52.45800000000054,-54.23100000000068,-55.84699999999975,-57.84199999999964,-59.335000000000036,-60.847999999999956,-61.733000000000175,-63.82099999999991,-65.5619999999999,-68.34400000000005,-69.85599999999977,-71.79799999999977,-72.98799999999937,-75.02300000000014,-76.57499999999982,-79.66000000000076,-81.84000000000015,-84.0689999999995,-85.34799999999996,-87.15099999999984,-88.60200000000077,-89.59400000000096,-90.75900000000001,-91.47400000000016,-90.70700000000033,-91.23799999999937,-92.39099999999962,-94.33300000000054,-98.79500000000007
HUL,-5.298999999999978,-6.267999999999574,-7.083999999999833,-8.148000000000138,-8.858999999999924,-9.918999999999869,-11.03400000000056,-12.773000000000138,-14.461999999999534,-16.43000000000029,-18.467000000000553,-20.85900000000038,-22.909999999999854,-24.68499999999949,-26.725999999999658,-29.15599999999995,-30.91900000000078,-32.70899999999983,-34.56999999999971,-37.121000000000095,-39.172999999999774,-41.186000000000604,-43.438999999999396,-45.17999999999938,-47.46700000000055,-49.77599999999984,-51.94599999999991,-55.6869999999999,-62.35900000000038,-76.92699999999968,-57.06500000000051,-58.41599999999926,-59.53200000000015,-60.82000000000062,-61.76599999999962,-63.3769999999995,-65.43199999999979,-66.66300000000047,-67.14900000000034,-67.8739999999998,-69.29799999999977,-70.80499999999938,-72.26699999999983,-73.78699999999935,-74.57299999999941,-76.53899999999976,-77.71500000000015,-80.81200000000081,-82.89899999999943,-85.29299999999967,-86.92500000000109,-88.87700000000041,-90.57799999999952,-91.88000000000102,-93.60499999999956,-94.72000000000116,-93.97999999999956,-94.32099999999991,-95.28799999999865,-99.15899999999965,-101.0619999999999
PER,-7.725999999999658,-9.141999999999825,-10.364999999999782,-11.070000000000164,-12.195999999999913,-13.608999999999924,-15.121000000000095,-16.39599999999973,-18.36200000000008,-20.46600000000035,-22.882000000000517,-25.251000000000204,-28.172999999999774,-30.483000000000175,-32.827000000000226,-35.40700000000015,-37.83000000000084,-40.10500000000047,-42.30199999999968,-44.427999999999884,-46.39599999999973,-48.71600000000035,-50.935999999999694,-53.08100000000013,-55.46100000000024,-58.235999999999876,-60.34599999999955,-70.20299999999952,-85.59400000000005,-78.10999999999967,-58.10599999999977,-59.47899999999936,-60.271999999999935,-61.55000000000018,-62.884000000000015,-65.22399999999925,-66.96399999999994,-68.38699999999972,-68.90200000000004,-69.58600000000024,-70.83700000000044,-72.08199999999943,-73.14400000000023,-74.65199999999913,-75.32399999999961,-77.32999999999993,-78.51699999999983,-81.57299999999941,-83.58699999999953,-85.99799999999959,-87.45200000000114,-89.49599999999919,-91.1820000000007,-92.45100000000093,-94.16400000000067,-96.09400000000096,-95.59200000000055,-95.86999999999898,-99.5739999999987,-101.09200000000055,-102.54600000000028
COL,-7.2719999999999345,-8.681999999999789,-9.646999999999935,-10.490999999999985,-11.507000000000062,-12.72400000000016,-14.043000000000575,-15.895000000000437,-17.909999999999854,-19.912999999999556,-22.01800000000003,-24.41700000000037,-26.686999999999898,-28.993999999999687,-31.09400000000005,-33.335000000000036,-35.53700000000026,-37.54700000000048,-39.28899999999976,-41.08400000000074,-43.21299999999974,-45.05699999999979,-47.46599999999944,-48.985999999999876,-51.46799999999985,-53.63500000000022,-55.733000000000175,-58.01800000000003,-64.48400000000038,-78.99499999999989,-61.038000000000466,-62.085000000000036,-63.14000000000033,-64.40900000000056,-65.14699999999993,-66.71999999999935,-69.72000000000025,-70.71700000000055,-71.07099999999991,-71.43199999999979,-72.52100000000064,-73.83799999999974,-75.02099999999973,-76.38299999999981,-77.41100000000006,-79.00799999999981,-79.89900000000034,-82.91000000000076,-84.64999999999964,-87.03099999999904,-89.3680000000004,-91.52399999999943,-92.94499999999971,-93.98600000000079,-95.2569999999996,-99.2489999999998,-99.22299999999996,-99.33300000000054,-100.86999999999898,-102.95100000000093,-104.20600000000013
TSU,-8.474999999999909,-9.988999999999578,-11.002999999999702,-11.853000000000065,-12.948999999999614,-14.38299999999981,-16.024000000000342,-17.846999999999753,-20.050000000000182,-22.08100000000013,-24.368000000000393,-27.546000000000276,-30.364000000000487,-33.11700000000019,-35.70799999999963,-38.27900000000045,-40.52000000000044,-43.11000000000058,-45.5,-48.17900000000009,-50.76599999999962,-53.06800000000021,-55.30000000000018,-57.21699999999964,-60.402000000000044,-63.039999999999964,-67.3109999999997,-70.07699999999932,-68.26599999999962,-61.16399999999976,-42.918000000000575,-45.902000000000044,-57.160000000000764,-81.57000000000062,-83.92200000000048,-86.4359999999997,-88.67799999999988,-90.11200000000008,-90.55799999999999,-91.09799999999996,-92.79899999999998,-94.03899999999976,-94.85699999999997,-97.93199999999979,-98.67399999999998,-99.9409999999998,-100.61000000000058,-102.98199999999906,-103.8109999999997,-104.29700000000048,-104.46100000000115,-104.78800000000047,-104.746000000001,-105.09300000000076,-105.20700000000033,-105.1859999999997,-103.6200000000008,-102.97500000000036,-103.3140000000003,-104.58400000000074,-106.71399999999994
OCO,-9.502999999999702,-11.427999999999884,-12.53399999999965,-13.174999999999727,-14.457999999999629,-15.911999999999807,-17.536000000000058,-19.45300000000043,-22.148999999999432,-24.63799999999992,-27.153000000000247,-29.934000000000196,-32.84299999999985,-35.44599999999991,-37.96399999999994,-40.80799999999999,-43.285000000000764,-46.121000000000095,-48.69599999999991,-51.69200000000001,-54.4350000000004,-58.496000000000095,-61.54699999999957,-63.990999999999985,-66.57899999999972,-70.00799999999981,-73.26900000000023,-76.46399999999994,-84.64499999999953,-98.18299999999999,-78.66200000000026,-80.13999999999942,-81.82400000000052,-83.55100000000039,-85.3060000000005,-87.6880000000001,-92.09200000000055,-94.28700000000026,-94.96300000000065,-97.50799999999981,-99.20400000000063,-101.17500000000018,-103.02300000000014,-105.39199999999983,-108.9439999999995,-111.06999999999971,-112.63699999999972,-115.67600000000039,-117.94499999999971,-120.32699999999932,-122.38100000000122,-124.52700000000004,-128.25500000000102,-130.01300000000083,-132.08799999999974,-133.66899999999987,-133.29100000000108,-134.27100000000064,-136.02599999999984,-137.71000000000095,-141.92699999999968
STR,-12.184999999999945,-14.888999999999669,-16.88299999999981,-17.980000000000018,-19.654999999999745,-21.577999999999975,-23.692000000000007,-26.347999999999956,-30.41399999999976,-33.097999999999956,-36.13600000000042,-39.378999999999905,-42.220000000000255,-45.18299999999999,-47.91899999999987,-51.21799999999985,-54.14300000000003,-57.090000000000146,-59.76800000000003,-62.8100000000004,-67.03499999999985,-70.35300000000007,-73.46900000000005,-76.125,-79.20800000000054,-90.77700000000004,-113.57499999999982,-115.27999999999975,-112.79100000000017,-104.63499999999931,-84.72199999999975,-85.84699999999975,-87.32500000000073,-88.89699999999993,-90.29700000000048,-91.93199999999979,-94.41399999999976,-99.39599999999973,-100.33200000000033,-101.64599999999973,-104.82099999999991,-106.4409999999998,-108.01299999999992,-109.9409999999998,-111.82999999999993,-115.16600000000017,-116.96399999999994,-119.96699999999964,-122.4390000000003,-126.26800000000003,-127.97400000000016,-129.8119999999999,-131.9320000000007,-133.3610000000008,-134.89500000000044,-136.28200000000106,-136.07899999999972,-136.86099999999897,-140.16799999999967,-142.46800000000076,-145.4930000000004
ZHO,-13.397999999999683,-16.51299999999992,-18.807999999999993,-20.317000000000007,-22.27099999999973,-24.48999999999978,-26.701000000000022,-29.105999999999767,-32.134000000000015,-34.66399999999976,-37.66700000000037,-41.08100000000013,-44.7480000000005,-47.735999999999876,-50.58799999999974,-53.6909999999998,-56.85699999999997,-59.847999999999956,-63.76100000000042,-67.45499999999993,-70.72199999999975,-73.72199999999975,-76.53600000000006,-79.05599999999959,-81.8710000000001,-85.01099999999951,-87.59699999999975,-90.03399999999965,-89.25,-83.03399999999965,-66.91600000000017,-71.09199999999964,-75.44700000000012,-87.55799999999999,-110.64800000000014,-112.79399999999987,-114.6880000000001,-115.95399999999972,-116.94300000000021,-118.32200000000012,-121.3680000000004,-123.68499999999949,-125.03499999999985,-126.35999999999967,-127.26299999999992,-129.17399999999998,-130.0680000000002,-133.8229999999994,-136.88500000000022,-139.17300000000068,-140.58600000000115,-142.6929999999993,-145.96500000000015,-147.4340000000011,-148.8150000000005,-149.92699999999968,-148.95299999999952,-148.97699999999895,-149.78799999999865,-152.98699999999917,-155.14199999999983
BOT,-12.936999999999898,-15.621999999999844,-17.866999999999734,-19.547000000000025,-21.45699999999988,-26.088000000000193,-28.75,-31.98700000000008,-35.13100000000031,-38.215000000000146,-41.57300000000032,-45.1220000000003,-48.45899999999983,-51.5059999999994,-54.152000000000044,-57.23400000000038,-61.85200000000077,-65.0619999999999,-67.96000000000004,-71.47699999999986,-74.26400000000012,-76.8100000000004,-79.71299999999974,-82.10199999999986,-84.78300000000036,-87.67900000000009,-90.34799999999996,-93.0619999999999,-93.24499999999989,-87.10499999999956,-69.67100000000028,-73.46799999999985,-85.47200000000066,-108.28400000000056,-111.05199999999968,-113.91199999999935,-115.78800000000047,-117.44200000000001,-118.40400000000045,-119.31700000000001,-122.76600000000053,-124.34799999999996,-125.72599999999966,-127.20599999999922,-128.17499999999927,-129.7460000000001,-131.41399999999976,-134.9890000000005,-137.45199999999932,-139.78299999999945,-141.45400000000154,-143.40999999999985,-146.71100000000115,-148.30199999999968,-149.71100000000115,-150.67699999999968,-149.76900000000023,-149.89400000000023,-151.3099999999995,-153.79999999999927,-155.7510000000002
GAS,-11.556999999999789,-14.024999999999636,-16.01299999999992,-17.04599999999982,-18.690000000000055,-20.570999999999913,-22.570999999999913,-25.152000000000044,-29.365999999999985,-32.02400000000034,-34.63600000000042,-37.375,-40.02000000000044,-42.52800000000025,-45.26100000000042,-47.81500000000051,-49.913000000000466,-52.82499999999982,-55.16200000000026,-58.051000000000386,-60.38199999999961,-63.097999999999956,-66.125,-68.76400000000012,-72.76699999999983,-76.41299999999956,-80.54699999999957,-84.09999999999945,-82.70600000000013,-78.76800000000003,-63.51600000000053,-67.16699999999946,-70.7440000000006,-74.85200000000077,-79.02700000000004,-85.69200000000001,-101.52100000000064,-126.45499999999993,-127.15900000000056,-127.78799999999956,-128.78000000000065,-129.70399999999972,-130.73199999999997,-131.58699999999953,-131.808,-132.78200000000015,-134.21000000000004,-136.61300000000028,-138.55299999999988,-140.21299999999974,-142.5580000000009,-145.01800000000003,-147.27499999999964,-149.1170000000002,-150.30299999999988,-153.4930000000004,-152.0599999999995,-151.94700000000012,-152.74499999999898,-154.30299999999988,-156.98099999999977
