VER,0.0,0.0,0.0
RUS,-2.055000000000291,-2.4250000000010914,-1.8590000000003783
HAM,-2.536000000000058,-3.32799999999952,-4.483000000000175
RIC,-4.533000000001266,-5.309000000001106,-7.8289999999997235
VET,-7.42699999999968,-7.6010000000005675,-12.100000000000364
GAS,-10.140000000001237,-11.086999999999534,-16.353000000000975
OCO,-11.6200000000008,-11.725000000000364,-17.84400000000096
LEC,-12.652000000000044,-13.415000000000873,-20.700000000000728
LAT,-15.537000000000262,-15.978000000000975,-22.389999999999418
SAI,-16.157000000001062,-16.718000000000757,-23.81999999999971
ALO,-20.63299999999981,-20.284999999999854,-27.891999999999825
BOT,-22.423000000000684,-22.07600000000093,-29.868000000000393
GIO,-24.218000000000757,-23.990999999999985,-32.6200000000008
NOR,-27.161000000000058,-27.212999999999738,-39.11700000000019
TSU,-28.436999999999898,-28.26300000000083,-45.52399999999943
MSC,-29.574000000000524,-29.96600000000035,-55.83400000000074
MAZ,-32.02400000000125,-31.63500000000022,-62.71700000000055
RAI,-36.095000000001164,-36.64300000000003,-78.7559999999994
PER,-38.1880000000001,-39.27100000000064,-81.71500000000015
STR,-34.10200000000077,-33.766999999999825,-72.47199999999975
