VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAM,-1.1489999999998872,-1.1349999999997635,-1.3049999999998363,-1.638999999999669,-1.481999999999971,-1.7340000000003783,-2.0019999999999527,-2.117000000000189,-2.1900000000000546,-1.8619999999996253,-1.9760000000001128,-2.1520000000000437,-2.3270000000002256,-2.88799999999992,-2.994999999999891,-2.288000000000011,-1.430000000000291
BOT,-1.9539999999997235,-2.7229999999999563,-2.8469999999997526,-3.368999999999687,-3.8339999999998327,-4.557000000000244,-5.231999999999971,-6.16800000000012,-6.734999999999673,-7.204999999999927,-7.842999999999847,-8.226999999999862,-8.666000000000167,-8.912000000000262,-8.940999999999804,-8.338999999999942,-7.501999999999498
LEC,-2.94399999999996,-3.37099999999964,-4.5649999999996,-5.239000000000033,-5.981999999999971,-6.905999999999949,-7.670999999999822,-8.63799999999992,-9.024999999999636,-9.552999999999884,-10.204999999999927,-10.682000000000244,-11.447000000000116,-11.978000000000065,-12.056999999999789,-11.386999999999716,-11.278000000000247
NOR,-5.060999999999694,-7.876999999999953,-9.9399999999996,-12.045999999999822,-14.552999999999884,-16.317000000000007,-17.422000000000025,-18.28899999999976,-19.115999999999985,-19.803999999999633,-20.692000000000007,-21.891999999999825,-22.847000000000207,-23.82900000000018,-24.278999999999996,-24.011999999999716,-24.110999999999876
RIC,-6.25,-9.152999999999793,-11.240999999999985,-13.52099999999973,-15.643999999999778,-18.5920000000001,-20.744000000000142,-23.389000000000124,-25.00799999999981,-26.182999999999993,-27.213000000000193,-28.20699999999988,-29.04399999999987,-29.903000000000247,-31.057999999999993,-31.113999999999578,-30.958999999999833
ALO,-4.255999999999858,-7.085999999999785,-9.212999999999738,-11.442999999999756,-14.295999999999822,-17.896000000000186,-20.15099999999984,-22.891999999999825,-26.255999999999858,-28.997999999999593,-32.04100000000017,-34.639000000000124,-36.94999999999982,-39.345000000000255,-41.253999999999905,-42.54899999999998,-43.527000000000044
VET,-6.906999999999698,-9.850999999999658,-12.163000000000011,-14.50799999999981,-17.04699999999957,-19.671000000000276,-22.11700000000019,-24.646999999999935,-27.109999999999673,-29.548999999999978,-32.90700000000015,-35.38000000000011,-38.039000000000215,-40.30600000000004,-42.235999999999876,-43.54699999999957,-44.439000000000306
RUS,-7.656999999999698,-10.824999999999818,-13.280999999999949,-15.578999999999724,-18.202999999999975,-20.87400000000025,-23.483000000000175,-26.204999999999927,-28.504999999999654,-30.75099999999975,-33.54899999999998,-36.373999999999796,-39.14499999999998,-41.539999999999964,-43.57099999999991,-45.23899999999958,-46.652000000000044
OCO,-7.88799999999992,-11.348999999999705,-13.945999999999913,-16.39599999999973,-19.0329999999999,-21.901000000000295,-24.603999999999814,-27.244000000000142,-29.699999999999818,-31.867999999999938,-34.24299999999994,-37.08899999999994,-39.83899999999994,-42.4970000000003,-44.5,-45.850000000000364,-47.39499999999953
