GAS,-10.266000000000005,-15.697000000000003,-18.976,-21.229000000000042,-23.33299999999997,-25.74599999999998,-28.06000000000006,-30.89300000000003,-33.486999999999966,-36.418000000000006,-40.08100000000013,-41.452999999999975,-42.79000000000019,-44.240999999999985,-46.14499999999998,-55.99500000000012,-34.52299999999991,-38.05199999999991,-41.72699999999986,-44.666999999999916,-47.96900000000005,-51.59699999999975,-54.876000000000204,-57.60500000000002,-60.3720000000003,-63.3449999999998,-66.24099999999999,-70.51900000000023,-74.95499999999993,-81.65200000000004,-104.66300000000001,-104.8449999999998,-104.98999999999978,-106.12400000000025,-106.8789999999999,-110.12400000000025,-111.28800000000001,-112.92599999999993,-113.99299999999994,-115.36599999999999,-115.84000000000015,-116.46099999999979,-117.51400000000012,-139.2770000000005,-169.14399999999932,-147.5650000000005,-81.86599999999999,-36.70100000000002,-3.8580000000001746,-5.957999999999629,-8.282000000000153,-10.469000000000051,-12.322000000000116,-13.28400000000056,-14.743999999999687,-16.238000000000284,-17.713999999999942,-20.096999999999753,-21.305999999999585,-22.749000000000706
PER,-7.374000000000009,-10.223000000000013,-12.212999999999965,-14.53000000000003,-16.439999999999998,-19.024999999999977,-20.611999999999966,-22.089000000000055,-23.884000000000015,-26.855999999999995,-28.489000000000033,-29.437999999999874,-29.559000000000196,-31.205999999999904,-32.66599999999994,-40.11699999999996,-18.22700000000009,-21.409999999999854,-24.661000000000058,-27.36999999999989,-30.108999999999924,-32.80600000000004,-35.63700000000017,-38.221000000000004,-40.61700000000019,-43.27299999999968,-46.16000000000031,-51.46799999999985,-73.77300000000014,-75.52799999999979,-75.8710000000001,-75.92700000000013,-78.12599999999975,-80.34500000000025,-80.9079999999999,-81.33699999999999,-81.32099999999991,-81.28699999999981,-81.21100000000024,-81.38299999999981,-81.43600000000015,-81.30999999999995,-81.32299999999987,-88.8400000000006,-105.66399999999976,-68.80200000000059,-10.074999999999818,-3.11200000000008,-1.6899999999995998,-3.456000000000131,-5.4399999999996,-7.072999999999411,-8.872000000000298,-9.719000000000051,-10.907000000000153,-11.733000000000175,-12.38799999999992,-13.943000000000211,-14.856999999999971,-16.052999999999884
LEC,-3.963000000000008,-6.531000000000006,-8.50200000000001,-10.322000000000003,-12.33099999999996,-14.870999999999981,-16.841000000000008,-19.212999999999965,-22.625,-28.59800000000007,-50.27299999999991,-51.192999999999984,-52.48400000000015,-54.77299999999991,-55.55799999999999,-63.28300000000013,-40.837999999999965,-43.9079999999999,-47.20499999999993,-49.44699999999989,-52.17000000000007,-54.6569999999997,-57.508000000000266,-59.64900000000034,-61.75199999999995,-64.4659999999999,-66.82799999999997,-68.30700000000024,-70.52399999999989,-72.654,-74.37800000000016,-75.33899999999994,-78.41999999999962,-81.18000000000029,-86.4340000000002,-109.39499999999998,-109.97200000000021,-110.39199999999983,-110.9390000000003,-111.61599999999999,-111.77500000000009,-112.11799999999994,-112.6840000000002,-134.94600000000037,-161.9399999999996,-142.78200000000015,-76.48800000000028,-29.693999999999505,-2.7719999999999345,-5.885000000000218,-9.858999999999469,-12.666000000000167,-15.271999999999935,-16.691000000000713,-18.68199999999979,-20.702000000000226,-22.826000000000022,-25.69800000000032,-27.740999999999985,-30.79700000000048
MAG,-10.881,-14.909999999999997,-17.827999999999975,-20.30000000000001,-22.649999999999977,-25.327999999999975,-27.741999999999962,-30.458999999999946,-33.07899999999995,-36.01800000000003,-41.04600000000005,-43.71100000000001,-47.80100000000016,-53.875,-80.96499999999992,-85.84000000000015,-63.62200000000007,-66.52499999999986,-69.73299999999995,-72.25099999999998,-75.11500000000001,-77.66699999999992,-80.22600000000011,-82.57799999999997,-84.76200000000017,-87.0029999999997,-89.29800000000023,-92.78099999999995,-94.99299999999994,-99.64699999999993,-101.50199999999995,-102.8159999999998,-104.8739999999998,-112.32400000000007,-134.808,-134.61400000000003,-134.04300000000012,-133.76999999999998,-133.9720000000002,-134.52300000000014,-135.20500000000038,-135.90099999999984,-137.13400000000001,-164.68600000000015,-179.34000000000015,-152.34900000000016,-89.1869999999999,-46.399999999999636,-5.385000000000218,-9.617999999999483,-13.971999999999753,-17.853000000000065,-21.7529999999997,-24.51300000000083,-30.26299999999992,-34.22600000000057,-37.384000000000015,-42.85199999999986,-46.04399999999987,-49.56800000000021
ALB,-5.791000000000011,-8.126000000000005,-10.213999999999999,-12.302999999999997,-14.433999999999969,-16.57299999999998,-21.783999999999992,-42.581999999999994,-42.787000000000035,-45.78200000000004,-46.80899999999997,-47.1099999999999,-46.764000000000124,-48.499000000000024,-52.093999999999824,-60.6880000000001,-37.289999999999964,-39.5,-42.468000000000075,-45.412000000000035,-48.624000000000024,-52.465999999999894,-60.54100000000017
KVY,-11.40100000000001,-16.314999999999998,-19.536999999999978,-22.089,-24.27199999999999,-27.104000000000042,-29.277000000000044,-31.895999999999958,-34.27499999999998,-37.28200000000004,-41.49800000000005,-44.08899999999994,-45.452,-47.903999999999996,-51.47499999999991,-63.31899999999996,-69.4090000000001,-106.10799999999995,-108.98800000000006,-111.38499999999999,-114.3280000000002,-116.66499999999996,-119.02399999999989,-121.40000000000009,-123.35400000000027,-125.41199999999981,-126.96500000000015,-128.4079999999999,-129.90099999999984,-131.84699999999975,-133.183,-134.05299999999988,-135.45399999999972,-138.3510000000001,-140.75300000000016,-142.45500000000038,-144.06600000000026,-145.3789999999999,-147.50300000000016,-149.4079999999999,-150.91800000000012,-152.9359999999997,-156.10000000000036,-190.54000000000042,-217.5569999999998,-159.79600000000028,-95.8130000000001,-53.57099999999991,-7.247000000000298,-11.912999999999556,-16.77099999999973,-21.376999999999498,-26.70600000000013,-29.780000000000655,-34.50600000000031,-38.01000000000022,-42.94200000000001,-47.371000000000095,-50.95399999999972,-55.57099999999991
HUL,-12.543999999999997,-17.798000000000002,-21.043000000000006,-24.173000000000002,-26.95999999999998,-29.416000000000054,-32.21500000000003,-35.03499999999997,-38.21500000000003,-41.80400000000009,-45.16800000000012,-46.50499999999988,-49.17800000000011,-51.912000000000035,-54.110999999999876,-62.24700000000007,-39.8119999999999,-43.34299999999985,-46.67699999999991,-50.70499999999993,-54.30400000000009,-57.73299999999972,-60.97900000000027,-63.603000000000065,-66.55200000000013,-69.77700000000004,-72.73500000000013,-75.19599999999991,-81.14100000000008,-103.08899999999994,-106.05600000000004,-105.69900000000007,-106.86799999999994,-107.99299999999994,-109.42200000000003,-111.14700000000039,-112.51600000000008,-114.07900000000018,-115.65000000000009,-117.96000000000004,-118.97300000000041,-120.23499999999967,-121.3710000000001,-143.67099999999982,-171.73199999999997,-148.375,-82.80200000000059,-37.47699999999986,-4.083999999999833,-6.704999999999927,-10.430999999999585,-13.324999999999818,-16.2470000000003,-18.295000000000073,-20.675000000000182,-22.627000000000407,-24.582000000000335,-27.170000000000073,-29.154999999999745,-32.57900000000063
RIC,-4.713999999999999,-7.206999999999994,-9.129999999999995,-11.011000000000024,-12.859999999999957,-15.490999999999985,-17.427999999999997,-19.62099999999998,-20.690000000000055,-22.00999999999999,-23.201000000000022,-23.978000000000065,-24.17800000000011,-25.676999999999907,-27.871999999999844,-38.73199999999997,-35.605999999999995,-37.34500000000003,-39.14599999999996,-40.932000000000016,-43.202999999999975,-45.468999999999596,-47.539000000000215,-49.4380000000001,-51.34999999999991,-53.317999999999756,-55.0930000000003,-56.8420000000001,-57.952000000000226,-59.485999999999876,-60.50700000000006,-60.8090000000002,-61.50699999999961,-62.77500000000009,-65.14300000000003,-65.88599999999997,-66.33699999999999,-67.16600000000017,-68.00900000000001,-69.15299999999979,-69.83699999999999,-70.26599999999962,-71.25,-78.01600000000008,-107.34299999999985,-58.54100000000017,-3.8969999999999345,-2.233999999999469,-1.2579999999998108,-2.720999999999549,-4.519999999999527,-6.058999999999287,-7.386000000000422,-8.062000000000808,-9.265999999999622,-10.199000000000524,-10.967000000000553,-12.610999999999876,-13.24499999999989,-14.596000000000458
OCO,-7.962000000000003,-10.921999999999997,-13.322000000000003,-15.611000000000047,-17.887,-20.269999999999982,-22.442000000000007,-24.226,-25.878000000000043,-28.021000000000072,-30.13799999999992,-31.557999999999993,-32.29100000000017,-34.41300000000001,-36.388999999999896,-45.894000000000005,-23.962999999999965,-26.90300000000002,-30.26800000000003,-32.95399999999995,-36.034000000000106,-54.70499999999993
VER,-2.2890000000000015,-2.455999999999989,-2.83299999999997,-3.1160000000000423,-3.387999999999977,-3.5159999999999627,-3.435000000000059,-3.4840000000000373,-3.368000000000052,-3.745999999999981,-3.783999999999992,-3.280999999999949,-3.606000000000222,-4.270999999999958,-4.347999999999956,-5.342000000000098,-1.6289999999999054,-1.884999999999991,-2.5809999999999036,-2.453999999999951,-2.8610000000001037,-3.213999999999942,-3.4830000000001746,-3.7070000000003347,-4.072000000000116,-4.378999999999905,-4.461999999999989,-4.391000000000076,-4.735000000000127,-5.6030000000000655,-6.07300000000032,-5.445999999999913,-5.433999999999742,-6.566000000000258,-7.900000000000091,-8.231000000000222,-8.123000000000047,-8.36700000000019,-8.816000000000258,-9.360999999999876,-9.764000000000124,-10.20699999999988,-10.56899999999996,-11.109000000000378,-12.22400000000016,-3.21100000000024,-1.081000000000131,-1.069999999999709,-1.0590000000001965,-1.6409999999996217,-1.8980000000001382,-2.6210000000000946,-3.217999999999847,-3.160000000000764,-2.8220000000001164,-2.713999999999942,-2.9329999999999927,-3.782000000000153,-5.2979999999997744,-4.466000000000349
