GAS,-11.841999999999985,-17.065000000000055,-22.576000000000022,-25.811000000000035,-29.041000000000054,-31.618000000000052,-34.298,-36.94599999999991,-39.572000000000116,-41.89800000000014,-44.25400000000013,-46.14300000000003,-48.57199999999989,-51.16000000000008,-54.465999999999894,-57.53099999999995,-60.14700000000016,-61.92899999999986,-63.4849999999999,-65.32200000000012,-67.36400000000003,-70.22299999999996,-72.68199999999979,-75.1579999999999,-73.10599999999977,-73.86599999999999,-76.22899999999981,-72.875,-69.77999999999975,-72.36400000000003,-73.86999999999989,-74.9409999999998,-76.01200000000017,-76.91899999999987,-80.67900000000009,-82.54899999999998,-85.55699999999979,-88.20799999999963,-89.64899999999989,-94.15300000000025,-98.03899999999976,-101.06600000000026,-107.68299999999999,-133.56500000000005,-148.85800000000017,-175.96200000000044,-195.80099999999948,-203.34099999999944,-218.22400000000016,-244.1889999999994,-274.7520000000004,-274.90699999999924,-248.92199999999957,-208.76299999999992,-156.91200000000026,-124.41100000000006,-91.18000000000029,-95.2529999999997,-98.09199999999964,-100.05400000000009,-102.10499999999956,-104.68700000000081,-107.23499999999967,-109.55199999999968,-112.23599999999988,-114.45299999999952
PER,-6.658999999999992,-9.830000000000041,-12.497000000000071,-14.956999999999994,-17.033999999999992,-18.90300000000002,-20.033000000000015,-21.736999999999853,-24.289999999999964,-26.33400000000006,-27.730000000000018,-29.05600000000004,-30.774000000000115,-32.47199999999998,-34.53800000000001,-36.250999999999976,-38.22000000000003,-39.896999999999935,-40.460000000000036,-41.31899999999996,-42.38599999999997,-46.68600000000015,-67.83399999999983,-68.5039999999999,-65.38599999999997,-64.25,-64.3420000000001,-60.81800000000021,-58.28099999999995,-60.30800000000045,-61.30699999999979,-62.23199999999997,-62.96799999999985,-63.141000000000076,-63.63999999999987,-64.51400000000012,-65.77099999999973,-66.73299999999972,-66.95100000000002,-68.51299999999992,-69.875,-71.14600000000019,-72.56500000000005,-74.21000000000004,-76.15999999999985,-75.99099999999999,-77.88599999999951,-81.67399999999998,-85.86399999999958,-105.16599999999926,-118.1840000000002,-134.96799999999985,-131.30000000000018,-106.8809999999994,-56.33800000000065,-15.548000000000684,-4.494999999999891,-7.6229999999995925,-10.787999999999556,-13.016999999999825,-15.61699999999928,-17.67700000000059,-20.039999999999964,-22.271999999999935,-24.596999999999753,-26.91899999999987,-30.555999999999585
ALO,-8.600000000000023,-11.869000000000028,-15.3900000000001,-17.989000000000033,-20.09699999999998,-22.089000000000055,-24.29600000000005,-26.815000000000055,-29.19399999999996,-31.2170000000001,-32.87200000000007,-34.29600000000005,-36.50299999999993,-39.08100000000013,-41.549999999999955,-43.44599999999991,-46.70700000000011,-48.92899999999986,-50.243999999999915,-51.98199999999997,-53.31700000000001,-54.534999999999854,-55.51800000000003,-56.695000000000164,-53.822000000000116,-53.61700000000019,-54.159000000000106,-51.3420000000001,-49.509000000000015,-54.6220000000003,-62.447000000000116,-78.95699999999988,-80.75500000000011,-81.56399999999985,-83.45199999999977,-86.59799999999996,-87.88099999999986,-89.45799999999963,-91.58899999999994,-94.60400000000027,-96.24800000000005,-96.97699999999986,-101.7829999999999,-125.346,-133.53999999999996,-140.66600000000017,-154.84999999999945,-179.9319999999998,-196.89400000000023,-218.91199999999935,-249.058,-266.39699999999993,-240.59900000000016,-195.88999999999942,-147.1140000000005,-122.82999999999993,-86.4970000000003,-91.89599999999973,-95.24399999999969,-96.61099999999988,-99.02799999999934,-102.69900000000052,-105.04799999999977,-107.54899999999998,-114.40399999999954
LEC,-8.045000000000016,-11.286000000000058,-13.914000000000101,-17.354000000000042,-19.391000000000076,-21.410000000000082,-23.479000000000042,-26.048999999999978,-28.288999999999987,-30.371000000000095,-32.10100000000011,-33.66300000000001,-36.01299999999992,-37.98199999999997,-40.31399999999985,-42.45399999999995,-44.57300000000009,-46.480999999999995,-48.86699999999996,-53.988000000000056,-68.48699999999963,-70.73399999999992,-71.65599999999995,-73.17200000000003,-70.13400000000001,-69.26600000000008,-69.51000000000022,-65.83899999999994,-62.853999999999814,-65.01600000000008,-66.44900000000007,-67.5010000000002,-68.72699999999986,-69.13400000000001,-70.01800000000003,-71.01200000000017,-72.35799999999972,-73.30299999999988,-73.3710000000001,-75.12800000000016,-76.73099999999977,-79.35600000000022,-86.20800000000008,-109.79199999999992,-121.27599999999984,-133.66700000000037,-152.51499999999942,-158.92099999999937,-181.23599999999988,-206.42099999999937,-244.84699999999975,-263.47999999999956,-235.10599999999977,-192.79499999999916,-143.48400000000038,-121.04800000000068,-93.96100000000024,-97.01400000000012,-100.33699999999953,-102.83399999999983,-105.20099999999911,-107.17500000000018,-109.54100000000017,-111.5619999999999,-113.7470000000003,-116.24499999999989
STR,-10.939000000000021,-15.717000000000098,-19.739000000000033,-23.014999999999986,-26.5,-29.30600000000004,-31.638000000000034,-34.10400000000004,-36.52300000000014,-38.88700000000017,-40.820000000000164,-42.715000000000146,-45.06099999999992,-47.31000000000017,-50.1869999999999,-53.14099999999985,-55.8570000000002,-58.13499999999999,-59.98699999999985,-62.3159999999998,-64.15599999999995,-66.25500000000011,-69.45699999999988,-72.66800000000012,-71.48300000000017,-73.1260000000002,-78.76699999999983,-89.82799999999997,-86.87999999999965,-90.99900000000025,-92.57400000000007,-93.61099999999988,-96.07799999999997,-96.5329999999999,-97.02799999999979,-97.83300000000008,-99.02399999999989,-99.92299999999977,-100.40000000000009,-102.06899999999996,-104.10699999999997,-105.7159999999999,-108.08899999999994,-110.47200000000021,-114.87599999999975,-114.85900000000038,-115.35299999999916,-119.91100000000006,-128.52199999999993,-148.79099999999926,-190.9319999999998,-196.1819999999998,-178.91200000000026
VAN,-12.529999999999973,-17.960000000000036,-21.496000000000095,-24.877000000000066,-28.25400000000002,-30.93100000000004,-33.54200000000003,-36.067999999999984,-38.57900000000018,-40.955000000000155,-43.210000000000036,-45.159000000000106,-47.511999999999944,-50.256000000000085,-53.4849999999999,-56.72199999999998,-61.37900000000013,-64.26599999999985,-66.14899999999989,-68.15299999999979,-70.70299999999997,-72.78999999999996,-74.86400000000003,-77.24900000000025,-74.99400000000014,-75.56500000000005,-77.529,-74.9369999999999,-76.33099999999968,-93.74400000000014,-94.80499999999984,-97.52700000000004,-100.76099999999997,-129.89799999999968,-131.11699999999973,-132.32799999999997,-133.49299999999994,-134.3449999999998,-134.92599999999993,-136.35400000000027,-138.3510000000001,-139.56600000000026,-141.67700000000013,-145.81899999999996,-149.02800000000025,-149.1180000000004,-151.92199999999957,-156.14999999999964,-167.71799999999985,-182.8069999999998,-215.44400000000041,-224.1289999999999,-197.23099999999977,-152.52199999999993,-107.81800000000021,-62.09600000000046,-24.110999999999876,-26.320999999999913,-28.99499999999989,-31.554000000000087,-33.83599999999933,-35.98000000000047,-38.44999999999982,-40.384000000000015,-42.63500000000022,-44.88799999999992,-46.61700000000019
MAG,-4.683999999999969,-7.206000000000017,-9.356000000000108,-11.536000000000058,-13.115000000000009,-14.609000000000037,-16.022000000000048,-17.88799999999992,-19.73199999999997,-21.177000000000135,-22.432000000000016,-23.601000000000113,-25.159000000000106,-27.728000000000065,-29.560999999999922,-31.051999999999907,-32.95600000000013,-34.41799999999989,-35.202,-39.636999999999944,-54.73099999999977,-55.80000000000018,-56.83100000000013,-57.94399999999996,-54.889000000000124,-54.6579999999999,-55.56100000000015,-52.539000000000215,-50.48199999999997,-52.92900000000009,-54.31899999999996,-55.233000000000175,-56.11700000000019,-56.64399999999978,-57.297999999999774,-58.27399999999989,-59.141999999999825,-59.922999999999774,-60.072999999999865,-61.570000000000164,-62.603000000000065,-63.7829999999999,-65.10399999999981,-67.2170000000001,-69.2539999999999,-72.17100000000028,-74.05799999999999,-76.69899999999961,-83.40499999999975,-101.14899999999943,-119.57200000000012,-154.02999999999975,-141.29200000000037,-117.77499999999964,-74.91300000000047,-50.82800000000043,-12.436999999999898,-15.636999999999716,-18.185999999999694,-20.311000000000604,-22.323999999999614,-24.176000000000386,-26.188999999999396,-28.48700000000008,-30.57300000000032,-32.724999999999454,-34.91899999999987
HUL,-5.521000000000015,-8.321000000000026,-10.734000000000037,-12.967999999999961,-14.978000000000065,-16.940000000000055,-18.73300000000006,-20.576999999999998,-22.27300000000014,-23.843000000000075,-26.244000000000142,-27.66800000000012,-29.156999999999925,-30.899000000000115,-32.674999999999955,-34.28099999999995,-36.251000000000204,-41.32199999999989,-56.06600000000003,-56.79600000000005,-58.108999999999924,-59.05600000000004,-60.27799999999979,-61.914999999999964,-58.57600000000002,-57.996999999999844,-58.353999999999814,-54.710000000000036,-52.17099999999982,-55.070000000000164,-57.016000000000076,-57.95400000000018,-58.80799999999999,-59.916999999999916,-60.60199999999986,-61.44100000000026,-62.43899999999985,-63.13599999999997,-63.63000000000011,-65.17800000000034,-66.3119999999999,-67.26900000000023,-68.58899999999994,-70.30400000000009,-72.1210000000001,-72.8779999999997,-74.82899999999972,-77.48899999999958,-82.07600000000002,-91.94999999999982,-101.70300000000043,-124.25999999999931,-108.76199999999972,-75.57600000000002,-31.470000000000255,-12.682999999999993,-2.5950000000002547,-5.307999999999993,-8.328999999999724,-10.432999999999993,-12.569999999999709,-14.463000000000648,-16.966999999999643,-19.126999999999498,-21.35400000000027,-23.71900000000005,-26.60899999999947
HAR,-11.451999999999998,-16.59800000000007,-20.406000000000063,-24.29499999999996,-27.535000000000082,-30.218000000000075,-32.700000000000045,-35.20699999999988,-37.70600000000013,-39.89599999999996,-41.81400000000008,-43.903999999999996,-46.00999999999999,-48.125,-51.12799999999993,-53.95699999999988,-56.86400000000003,-59.05599999999981,-60.830999999999904,-63.271999999999935,-64.95599999999968,-68.76499999999987,-71.17700000000013,-74.33400000000029,-72.23599999999988,-72.15299999999979,-73.65200000000004,-74.3090000000002,-85.81899999999996,-87.95100000000002,-90.8130000000001,-91.75,-92.81100000000015,-94.82199999999966,-95.25999999999976,-95.73700000000008,-96.7829999999999,-97.58899999999994,-98.17799999999988,-99.93499999999995,-101.61799999999994,-104.0590000000002,-106.62199999999984,-109.83899999999994,-115.91300000000001,-116.05299999999988,-117.77599999999984,-121.09799999999996,-129.21399999999994,-141.92799999999988,-163.45899999999983,-175.04299999999967,-149.60800000000017,-122.17599999999948,-72.42000000000007,-28.538000000000466,-7.515000000000327,-10.978000000000065,-13.914999999999964,-15.904000000000451,-18.091999999999643,-21.587000000000444,-25.03899999999976,-27.461999999999534,-29.600999999999658,-31.73700000000008,-34.197000000000116
RIC,-12.033999999999992,-17.132000000000062,-20.899,-23.437999999999988,-24.849000000000046,-25.38499999999999,-26.786000000000058,-29.095000000000027,-30.707000000000107,-31.986000000000104,-33.67100000000005,-35.0590000000002,-37.25999999999999,-39.54899999999998,-42.541999999999916,-44.21699999999987,-45.555000000000064,-46.95499999999993,-47.457999999999856,-47.92800000000011,-47.97599999999966,-47.55799999999999,-47.27399999999989,-47.14499999999998,-42.58100000000013,-40.81800000000021,-39.947999999999865,-16.43199999999979
