VER,0.0,-1.3760000000002037,-1.9259999999994761,-0.5940000000000509,-0.41899999999986903,0.0,0.0,0.0,0.0,0.0,0.0
GAS,-16.480999999999767,-5.550000000000182,-11.067999999999302,-2.753000000000611,-1.3289999999997235,-3.8239999999996144,-5.69800000000032,-6.845000000000255,-8.061999999999898,-9.759000000000015,-10.795999999999367
PER,-17.22900000000027,-6.158999999999651,-13.27099999999973,-3.563000000000102,-1.7429999999994834,-5.7739999999994325,-18.69300000000021,-30.568999999999505
ALO,-13.543000000000575,-19.800000000000182,32.035000000000764
LEC,-4.164999999999964,-11.109999999999673,-21.430999999999585,-7.84900000000016,-3.0649999999996,-6.6729999999997744,-8.945000000000618,-10.532000000000153,-11.779999999999745,-13.657999999999447,-14.985999999999876
STR,-24.71600000000035,-16.213999999999942,-29.251999999999498,-12.36999999999989,-6.014999999999418,-10.009000000000015,-14.029000000000451,-16.65399999999954,-19.00500000000011,-22.313999999999396,-25.05199999999968
SAR,-12.832000000000335,-20.13500000000022,-37.36999999999989,-20.521999999999935,-9.497999999999593,-13.617999999999483,-18.069000000000415,-21.360999999999876,-24.52900000000045,-28.53399999999965,-32.625
MAG,-16.744000000000597,-22.8149999999996,-41.766999999999825,-23.671000000000276,-9.820999999999913,-14.423999999999978,-19.123000000000502,-22.086999999999534,-25.60900000000038,-29.514999999999418,-33.03200000000015
TSU,-15.774000000000342,-21.88000000000011,-40.32299999999941,-22.327000000000226,-18.71599999999944,-21.818999999999505,-23.536000000000058,-25.860999999999876,-29.411000000000058,-33.951999999999316,-39.28099999999995
ALB,-25.95600000000013,-17.67699999999968,-33.45499999999993,-15.583999999999833,-6.923999999999978,-11.235999999999876,-15.27600000000075,-18.31999999999971,-21.176000000000386,-23.75,-26.297999999999774
ZHO,-19.976000000000568,-28.97900000000027,-43.71599999999944,-27.373000000000502,-10.121999999999389,-15.519999999999527,-20.017000000000735,-24.555999999999585,-28.024000000000342,-32.76999999999953,-36.34099999999944
HUL,-27.572000000000116,-19.16399999999976,-36.28899999999976,-19.520000000000437,-8.755999999999403,-12.865999999999985,-17.16899999999987,-22.84599999999955,-27.682999999999993,-33.15899999999965,-37.836999999999534
RIC,-23.355000000000473,-13.689000000000306,-26.151999999999134,-10.909999999999854,-4.1359999999995125,-7.877999999999702,-11.334000000000742,-12.884000000000015,-15.21600000000035,-18.698999999999614,-22.83600000000024
OCO,-8.873000000000502,-15.055000000000291,-27.90099999999984,-11.587000000000444,-4.863999999999578,-8.563000000000102,-12.13799999999992,-14.172999999999774,-16.782000000000153,-19.63799999999992,-22.386999999999716
NOR,-6.168000000000575,-12.804000000000087,-23.46599999999944,-9.66399999999976,-3.7719999999999345,-7.037999999999556,-10.359000000000378,-11.027000000000044,-12.338000000000648,-14.705999999999221,-16.072000000000116
HAM,-19.389000000000124,-7.1729999999997744,-14.030999999999949,-5.382000000000517,-2.1970000000001164,-5.764999999999418,-6.322000000000116,-7.774999999999636,-8.90900000000056,-10.573999999999614,-11.786999999999352
SAI,-20.49499999999989,-8.796000000000276,-17.570999999999913,-7.069000000000415,-2.6129999999993743,-5.972999999999956,-7.082000000000335,-8.461999999999534,-9.91399999999976,-11.412999999999556,-12.673999999999978
RUS,-10.270000000000437,-16.774999999999636,-31.76299999999992,-14.552999999999884,-6.358999999999469,-10.384999999999309,-12.402000000000044,-14.127999999999702,-15.141000000000531,-15.94799999999941,-16.80199999999968
BOT,-26.782000000000153,-18.46900000000005,-35.04399999999987,-17.903000000000247,-7.430999999999585,-11.66399999999976,-15.911000000000058,-18.769000000000233,-21.838000000000648,-24.69799999999941,-27.057999999999993
PIA,-13.226000000000568,0.0,0.0,0.0,0.0,-1.8890000000001237,-3.092000000000553,-4.373999999999796,-5.545000000000073,-6.281999999999243,-6.782999999999447
