VER,-13.231999999999971,-16.26299999999992,-18.756999999999607,-21.68499999999949,-24.121000000001004,-27.054000000000087,-29.628999999998996,-37.13900000000103,-17.53100000000086,-6.956000000000131,-8.988000000001193,-10.481999999999971,-12.889999999999418,-15.019000000000233,-17.407999999999447,-19.188000000000102,-20.85900000000038,-22.760999999998603,-24.564000000000306,-26.60400000000118,-37.465000000000146,-32.99300000000039,-27.384000000000015,-27.83600000000115,-29.364000000001397,-37.25799999999981,-31.71900000000096,-42.345000000001164,-43.39300000000003,-34.487999999999374,-36.072000000000116,-37.39400000000023,-40.435999999999694,-43.89899999999943,-42.628999999998996,-54.52800000000025,-25.19499999999971,-10.320999999999913,-2.941000000000713,-20.141999999999825,-45.22699999999895,-45.69599999999991,-45.163000000000466,-44.42400000000089,-43.93499999999949,-45.39600000000064,-46.350000000000364,-47.358000000000175,-48.11300000000119,-49.07800000000134,-49.35900000000038,-49.659999999999854,-51.060999999999694,-53.375,-55.608000000000175,-58.009000000000015,-60.77800000000025,-62.365999999999985,-63.78199999999924
GAS,-8.989999999999782,-12.764000000000124,-15.733000000000175,-18.824999999999818,-22.217000000000553,-25.77599999999984,-28.19000000000051,-32.068999999999505,-13.66400000000067,-5.907000000001062,-11.170000000000073,-14.725000000000364,-18.23199999999997,-21.110999999998967,-24.086999999999534,-26.212999999999738,-28.50799999999981,-30.886999999998807,-33.19000000000051,-35.417999999999665,-48.88600000000042,-40.97700000000077,-37.55899999999929,-39.48099999999977,-41.14900000000125,-49.15899999999965,-43.184000000001106,-56.51300000000083,-54.76199999999881,-43.41299999999865,-44.9950000000008,-46.16100000000006,-56.77099999999882,-89.63299999999981,-84.84599999999955,-77.17400000000089,-48.86199999999917,-23.861000000000786,-12.405000000000655,-16.158000000001266,-19.088999999999942,-21.41899999999987,-23.858000000000175,-26.21600000000035,-31.554000000000087,-34.6880000000001,-37.121000000001004,-40.29900000000089,-45.64099999999962,-48.663000000000466,-53.79700000000048,-56.70899999999892,-59.47999999999956,-61.63199999999961,-63.82300000000032,-66.14099999999962,-69.63799999999901,-71.52299999999923,-74.52599999999984
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALO,-7.449000000000524,-10.938000000000102,-13.368999999999687,-15.993999999999687,-18.585000000000946,-20.938000000000102,-22.622999999999593,-24.66699999999946,-10.997000000001208,-4.213999999999942,-7.42200000000048,-9.94300000000112,-12.352999999999156,-14.397999999999229,-16.80500000000029,-18.358000000000175,-20.084000000000742,-21.88799999999901,-23.634000000000015,-25.75500000000102,28.25300000000061
LEC,-1.0330000000003565,-0.8890000000001237,-0.9530000000004293,-1.376999999999498,-1.3290000000015425,-1.4639999999999418,-0.8879999999990105,-1.7559999999994034,-2.389999999999418,-0.5840000000007421,-1.1810000000004948,-1.0360000000000582,-1.2549999999991996,-1.4290000000000873,-1.768000000000029,-1.7690000000002328,-1.5139999999992142,-1.72400000000016,-2.183000000000902,-2.7710000000006403,-3.436999999999898,-3.4500000000007276,-2.5759999999991123,-2.686999999999898,-3.1020000000007713,-3.3189999999995052,-3.793999999999869,-5.8700000000008,-6.820999999999913,-4.3400000000001455,-3.1480000000010477,-2.7709999999988213,-2.6370000000006257,-11.406999999999243,-32.59599999999955,-6.929000000000087,-1.6199999999989814,-2.9989999999997963,-0.6850000000013097,-1.0540000000000873,-0.6630000000004657,-0.49500000000080036,-0.31600000000071304,-0.5430000000014843,-0.3330000000005384,-0.7680000000000291,-0.4180000000014843,-1.3870000000006257,-1.375,-1.4260000000012951,-1.9599999999991269,-2.675999999999476,-2.936999999999898,-3.113999999999578,-3.485000000000582,-4.246000000001004,-5.149999999999636,-7.322000000000116,-7.582999999998719
STR,-12.206000000000131,-19.509000000000015,-24.001000000000204,-28.40099999999893,-32.53700000000026,-36.40699999999924,-39.01599999999962,-47.31600000000071,-22.42500000000109,-10.566000000000713,-14.983000000000175,-18.559000000001106,-22.3179999999993,-25.88799999999901,-29.141999999999825,-32.11899999999878,-35.689000000000306,-38.948999999998705,-41.659999999999854,-44.39099999999962,-62.35699999999997,-51.8169999999991,-47.422999999998865,-48.29000000000087,-49.824000000000524,-57.29399999999987,-50.292999999999665,-66.42300000000068,-63.98400000000038,-50.850000000000364,-52.65899999999965,-53.78899999999885,-55.8179999999993,-58.701999999999316,-59.08299999999872,-71.48100000000159,-42.35099999999875,-18.579999999999927,-6.09400000000096,-9.3650000000016,-12.766999999999825,-16.235000000000582,-19.834000000000742,-23.244000000000597,-28.445999999999913,-30.838999999999942,-32.608000000000175,-34.67200000000048,-37.336999999999534,-39.83799999999974,-42.86000000000058,-45.529999999998836,-47.774999999999636,-50.53599999999824,-52.965000000000146,-55.42200000000048,-57.67699999999968,-58.95099999999911,-61.25699999999961
MAG,-12.78400000000056,-20.042999999999665,-24.846999999999753,-29.417999999998756,-33.51100000000042,-37.53900000000067,-48.3169999999991,-99.14500000000044,-72.59900000000016,-27.668000000001484,-29.983000000000175,-32.5530000000017,-35.417999999999665,-38.75799999999981,-42.23599999999897,-45.654999999998836,-49.215000000000146,-53.120999999999185,-57.16500000000087,-61.73400000000038,-83.51800000000003,-71.52900000000045,-68.39199999999983,-70.35200000000077,-73.0510000000013,-83.52899999999863,-77.47400000000016,-101.52400000000125,-94.86499999999978,-75.71699999999873,-76.8700000000008,-77.96299999999974,-88.64699999999903,-124.03099999999904,-128.64899999999943,-122.02300000000105,-65.1859999999997,-28.126000000000204,-14.774000000001251,-20.405000000000655,-25.564000000000306,-28.842000000000553,-33.439000000000306,-38.06600000000071,-41.35499999999956,-44.9950000000008,-49.76300000000083,-53.85900000000038,-56.751000000000204,-60.00600000000122,-63.57899999999972,-67.25200000000041,-70.90200000000004,-75.64300000000003,-79.65800000000127,-84.44800000000032,-89.86799999999857,-95.11799999999857,-97.53299999999945
TSU,-10.80200000000059,-15.929000000000087,-20.529999999999745,-24.552999999999884,-28.148000000001048,-31.85699999999997,-34.30500000000029,-40.83100000000013,-20.18499999999949,-9.007000000001426,-12.94000000000051,-16.634000000000015,-20.328999999999724,-24.066999999999098,-27.630999999999403,-30.71600000000035,-34.27900000000045,-37.11099999999897,-39.634000000000015,-42.41899999999987,-72.28000000000065,-61.21099999999933,-58.52099999999882,-61.052999999999884,-63.29399999999987,-73.88299999999981,-68.07300000000032,-88.40400000000045,-87.18299999999908,-69.25900000000001,-71.43000000000029,-72.54299999999967,-82.55899999999929,-116.50200000000041,-47.107999999998356
ALB,-19.96100000000024,-28.03899999999976,-34.92900000000009,-41.24399999999969,-46.4900000000016,-52.284999999999854,-56.52399999999943,-68.46800000000076,-42.35599999999977,-21.00300000000061,-25.032000000001062,-28.830000000001746,-32.047999999998865,-35.84100000000035,-39.8799999999992,-43.646999999999025,-47.85499999999956,-52.314000000000306,-56.40300000000025,-60.97700000000077,-83.1180000000004,-72.70099999999911,-71.75299999999879,-75.54200000000128,-128.10400000000118
ZHO,-18.782000000000153,-27.381999999999607,-34.047999999999774,-40.026999999999134,-45.31600000000071,-51.326999999999316,39.20600000000013
