VER,-3.099999999999909,-1.643999999999778,-0.7139999999999418,-0.6509999999998399,-1.0270000000000437,-1.087999999999738,-1.457999999999629,-1.2799999999997453,-1.256999999999607,-1.360000000000582,-1.5540000000000873,-1.5630000000001019,-1.699999999999818,-1.363999999999578,-1.1610000000000582,-0.9610000000002401,-0.8670000000001892,-0.7510000000002037,-0.6040000000002692,0.0,0.0
LEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5489999999999782,-2.9749999999994543
PER,-10.259000000000015,-8.960999999999785,-8.480999999999767,-2.3469999999997526,-4.34900000000016,-5.7169999999996435,-7.3270000000002256,-6.980999999999767,-7.0600000000004,-7.625,-7.662000000000262,-7.774000000000342,-7.750999999999294,-7.273000000000138,-7.467999999999847,-7.355999999999767,-7.1380000000008295,-6.835000000000036,-5.6380000000008295,-5.061999999999898,-4.720999999999549
SAI,-16.911999999999807,-15.94399999999996,-14.197999999999865,-3.713999999999942,-6.880000000000109,-8.565999999999804,-9.80999999999949,-10.492999999999483,-11.844000000000051,-13.639000000000124,-16.26600000000053,-16.606000000000677,-17.811999999999898,-17.57300000000032,-17.889000000000124,-18.32799999999952,-18.416000000000167,-18.86500000000069,-17.67200000000048,-17.609999999999673,-17.57799999999952
NOR,-6.6599999999998545,-3.8059999999995853,-3.6920000000000073,-1.3599999999996726,-2.837999999999738,-3.7020000000002256,-4.82799999999952,-5.34900000000016,-6.067000000000007,-7.2150000000001455,-9.270000000000437,-10.545000000000073,-11.890999999999622,-12.667999999999665,-13.970999999999549,-15.36999999999989,-16.725000000000364,-18.48400000000038,-20.481000000000677,-22.220000000000255,-24.560999999999694
RIC,-13.286999999999807,-12.36999999999989,-11.385999999999967,-2.9929999999994834,-5.492000000000189,-7.2150000000001455,-8.662999999999556,-9.872000000000298,-11.319000000000415,-13.157000000000153,-14.646999999999935,-15.721000000000458,-17.353000000000065,-19.35400000000027,-20.948999999999614,-22.56999999999971,-23.82800000000043,-24.954000000000633,-25.03100000000086,-25.93199999999979,-27.73999999999978
BOT,-20.483999999999924,-18.968999999999596,-16.958000000000084,-4.800999999999476,-8.292999999999665,-10.532999999999447,-12.766999999999825,-14.212999999999738,-15.11999999999989,-16.63799999999992,-18.07300000000032,-19.78900000000067,-21.30699999999979,-22.472999999999956,-23.84899999999925,-25.173999999999978,-26.423000000000684,-27.499000000000706,-27.184000000000196,-27.224999999999454,-28.13299999999981
MAG,-8.12099999999964,-6.459999999999582,-6.058999999999742,-1.7969999999995707,-3.7600000000002183,-4.981999999999971,-6.842999999999847,-8.74200000000019,-10.605000000000473,-12.480999999999767,-15.845000000000255,-18.157000000000153,-19.853000000000065,-21.247999999999593,-22.790999999999258,-24.409999999999854,-25.704000000000633,-26.96900000000005,-28.450000000000728,-29.41699999999946,-30.711999999999534
ALO,-14.239999999999782,-13.46499999999969,-11.882000000000062,-3.368999999999687,-6.274999999999636,-8.194999999999709,-11.172999999999774,-12.539999999999964,-14.146999999999935,-15.644000000000233,-17.463000000000648,-19.192000000000007,-20.755999999999403,-22.072000000000116,-23.807999999999993,-26.342999999999847,-27.597000000000662,-28.765000000000327,-29.379000000000815,-30.609999999999673,-32.27800000000025
MSC,-21.840999999999894,-19.565999999999804,-17.860999999999876,-5.243999999999687,-8.859999999999673,-11.148000000000138,-13.36999999999989,-14.930000000000291,-16.988999999999578,-19.40599999999995,-21.444000000000415,-23.705000000000837,-25.644999999999527,-27.047999999999774,-28.122999999999593,-29.79199999999946,-31.024000000000342,-31.916000000000167,-31.83300000000054,-32.55000000000018,-33.77300000000014
RUS,-23.672000000000025,-21.774999999999636,-19.223999999999705,-5.467999999999847,-9.315999999999804,-11.67199999999957,-13.983999999999469,-15.61700000000019,-17.54699999999957,-20.04200000000037,-22.22900000000027,-24.355000000000473,-26.34400000000005,-27.871000000000095,-29.771999999999935,-32.11499999999978,-33.57500000000073,-35.15300000000025,-35.012000000000626,-35.45600000000013,-36.28399999999965
TSU,-25.041999999999916,-23.001999999999953,-21.086999999999534,-6.005999999999403,-9.746000000000095,-12.394000000000233,-14.690999999999804,-16.355999999999767,-18.208999999999833,-20.502000000000407,-22.79700000000048,-24.931000000000495,-26.865999999999985,-28.375,-30.28899999999976,-32.64800000000014,-34.17000000000007,-35.6850000000004,-36.76900000000023,-37.30500000000029,-38.297999999999774
VET,-19.284999999999854,-18.11999999999989,-15.469000000000051,-4.390999999999622,-7.820999999999913,-10.04699999999957,-12.358999999999469,-13.850000000000364,-16.440999999999804,-18.842999999999847,-20.914999999999964,-22.884000000000015,-24.984999999999673,-26.555999999999585,-29.344999999999345,-31.488999999999578,-33.07500000000073,-34.72200000000066,-36.47200000000066,-38.47699999999986,-40.17699999999968
HAM,-28.73199999999997,-26.975999999999658,-26.47699999999986,-6.99199999999928,-10.75500000000011,-13.701000000000022,-16.233000000000175,-17.47900000000027,-18.829999999999927,-21.25300000000061,-23.38300000000072,-25.25300000000061,-27.782999999999447,-29.19800000000032,-30.710000000000036,-33.327000000000226,-34.78900000000067,-36.222999999999956,-37.33300000000054,-39.25699999999961,-41.45899999999983
