HAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,-1.9839999999999236,-1.0470000000000255,-1.4710000000000036,-1.586999999999989,-1.8279999999999745,-2.0019999999999527,-2.5239999999998872,-2.9580000000000837,-3.3340000000002874,-3.0399999999999636,-3.4420000000000073,-4.05600000000004,-4.154000000000451,-4.650000000000091,-4.605999999999767,-4.935999999999694,-5.121999999999844,-5.264999999999873,-5.570999999999913,-5.516000000000076,-10.001000000000204,-21.10199999999986,-1.9600000000000364,-1.6410000000005311,-1.511000000000422,-2.0270000000000437,-2.4749999999994543,-3.1140000000004875,-3.2100000000000364,-3.3980000000001382,-3.699999999999818,-4.092999999999847,-5.03400000000056,-6.1799999999993815,-5.498000000000502,-5.2739999999994325,-5.458999999999833,-4.282000000000153,-5.557999999999993,-6.651000000000749,-7.199999999999818,-7.860000000000582,-8.371000000000095,-7.718999999999141,-7.367999999999483,-6.729999999999563,-7.176000000000386,-7.289999999999964,-7.061999999999898,-7.130000000000109,-6.329000000000633,-6.07300000000032,-6.185999999999694,-6.816000000000713,-6.764000000000124,-6.55199999999968
VET,-4.326000000000022,-3.548000000000229,-4.072000000000116,-4.442000000000007,-4.916999999999916,-5.231999999999971,-5.932999999999993,-6.570000000000164,-7.261000000000422,-7.57300000000032,-8.35400000000027,-9.23700000000008,-10.30600000000004,-11.135999999999967,-11.914999999999964,-12.614999999999782,-13.39599999999973,-19.277000000000044,-37.128999999999905,-34.83100000000013,-32.603000000000065,-25.826000000000022,-7.437999999999192,-8.347999999999956,-9.168000000000575,-10.003999999999905,-10.341999999999643,-11.375,-11.971999999999753,-11.983000000000175,-12.121000000000095,-12.009999999999309,-12.246000000000095,-13.143999999999323,-17.50500000000011,-30.51000000000022,-9.307999999999993,-9.757000000000517,-10.432999999999993,-11.108000000000175,-11.512000000000626,-11.464000000000851,-11.804999999999382,-11.576000000000022,-11.554999999999382,-11.104999999999563,-11.969000000000051,-11.854999999999563,-12.363000000000284,-12.371000000000095,-12.035000000000764,-11.614999999999782,-11.304000000000087,-11.905999999999949,-12.422999999999774,-13.743999999999687
VER,-6.336999999999989,-4.968000000000302,-6.052000000000135,-6.605000000000018,-6.9669999999996435,-7.596999999999753,-8.188000000000102,-8.883000000000266,-9.726000000000113,-10.307999999999993,-11.478000000000065,-12.938000000000102,-13.838000000000193,-14.707000000000335,-15.186999999999898,-16.007000000000062,-21.079999999999927,-39.009000000000015,-37.67300000000023,-35.87900000000036,-34.28200000000015,-28.172999999999774,-10.493999999999687,-11.77099999999973,-12.693000000000211,-13.761999999999716,-14.52599999999984,-15.69000000000051,-16.19300000000021,-16.98199999999997,-18.103000000000065,-19.384000000000015,-20.582000000000335,-26.81999999999971,-43.94500000000062,-39.027000000000044,-19.688000000000102,-20.856000000000677,-21.578999999999724,-22.01800000000003,-22.27900000000045,-22.522000000000844,-22.902999999999338,-22.524999999999636,-22.39599999999973,-22.162000000000262,-22.90900000000056,-23.23400000000038,-23.389000000000124,-23.557999999999993,-22.913000000000466,-23.02900000000045,-23.860999999999876,-25.270000000000437,-26.20800000000054,-27.626999999999498
LEC,-3.6539999999999964,-2.87900000000036,-3.3969999999999345,-3.72400000000016,-4.192999999999756,-4.411999999999807,-5.101999999999862,-5.718000000000302,-6.368000000000393,-6.755000000000109,-9.420000000000073,-10.41800000000012,-11.372000000000298,-12.356000000000222,-13.06100000000015,-14.018999999999778,-14.99499999999989,-16.208000000000084,-16.976000000000113,-18.011000000000422,-19.16899999999987,-20.19800000000032,-21.33299999999963,-21.855999999999767,-22.550000000000182,-23.01599999999962,-23.34899999999925,-23.65900000000056,-23.251000000000204,-23.140000000000327,-23.15599999999995,-23.315999999999804,-23.989000000000487,-25.161999999999352,-24.920000000000073,-20.716999999999643,-2.4630000000006476,-3.880000000000109,-6.277000000000044,-8.644000000000233,-10.17700000000059,-16.63800000000083,-37.597999999999956,-36.78199999999924,-35.36999999999989,-34.57899999999972,-34.82300000000032,-34.17000000000007,-33.775000000000546,-33.47400000000016,-32.33300000000054,-31.360000000000582,-30.72400000000016,-30.771999999999935,-31.399999999999636,-31.27599999999984
GAS,-7.714999999999691,-6.43100000000004,-8.13299999999981,-9.59900000000016,-10.817999999999756,-12.264000000000124,-13.723999999999705,-15.235000000000127,-16.697000000000116,-17.82300000000032,-19.36700000000019,-20.927000000000135,-22.120000000000346,-23.422000000000025,-24.36200000000008,-25.437999999999647,-26.442999999999756,-27.71499999999969,-33.083000000000084,-51.11900000000014,-50.17000000000007,-44.78600000000006,-28.33099999999922,-29.966999999999643,-31.68000000000029,-33.17999999999938,-34.52599999999984,-36.55799999999999,-37.65399999999954,-39.27400000000034,-40.76800000000003,-42.32899999999972,-43.900000000000546,-46.042999999999665,-46.978000000000065,-43.64599999999973,-25.832000000000335,-28.19500000000062,-35.49499999999989,-56.353000000000065,-56.33600000000024,-56.88100000000031,-57.26899999999932,-57.44200000000001,-58.45599999999922,-58.96100000000024,-60.621000000000095,-61.65599999999995,-62.43299999999999,-63.28900000000067,-63.4940000000006,-64.19599999999991,-69.46299999999974,-89.8760000000002,-88.26000000000022,-89.30699999999979
RIC,-10.362999999999829,-8.934999999999945,-11.291000000000167,-13.316000000000258,-15.06899999999996,-16.659999999999854,-18.29300000000012,-20.17599999999993,-22.408000000000357,-24.07300000000032,-26.195000000000164,-27.99200000000019,-29.6550000000002,-31.485000000000127,-32.940000000000055,-34.33299999999963,-36.09999999999991,-42.096000000000004,-61.626000000000204,-62.79200000000037,-64.39300000000003,-60.89499999999953,-45.45100000000002,-48.97900000000027,-52.538000000000466,-55.68199999999979,-58.95499999999993,-62.06600000000071,-63.69999999999982,-65.25500000000011,-66.79399999999987,-68.70899999999983,-70.74099999999999,-73.1899999999996,-74.04300000000057,-71.48399999999947,-54.332000000000335,-56.914999999999964,-60.26999999999953,-63.26900000000023,-66.33100000000013,-69.28200000000015,-72.4359999999997,-75.02699999999913,-77.82799999999952,-80.40499999999975,-83.35500000000047,-85.80199999999968,-88.44500000000062,-91.61400000000049,-93.76400000000012,-97.89600000000064,-100.72599999999966,-104.7470000000003,-109.67200000000048
PER,-11.590999999999894,-10.277000000000044,-12.769999999999982,-14.625,-16.40099999999984,-18.17099999999982,-20.116999999999734,-22.315000000000055,-24.386000000000422,-25.945000000000164,-27.983000000000175,-29.79399999999987,-31.51700000000028,-33.271000000000186,-35.072000000000116,-36.7819999999997,-38.291999999999916,-40.78399999999965,-42.95400000000018,-48.96600000000035,-68.3130000000001,-63.753999999999905,-47.977999999999156,-51.766999999999825,-54.694000000000415,-58.047999999999774,-60.810999999999694,-63.45100000000002,-64.76699999999983,-66.48300000000017,-68.23399999999947,-69.99199999999928,-72.1289999999999,-74.65399999999954,-75.43000000000029,-72.71000000000004,-55.373999999999796,-58.35699999999997,-61.516999999999825,-64.77600000000075,-67.75,-70.52000000000044,-74.07799999999952,-76.64599999999973,-79.28499999999985,-81.9359999999997,-85.03700000000026,-87.60099999999966,-90.44599999999991,-93.49000000000069,-95.44100000000071,-99.65000000000055,-102.5019999999995,-106.61599999999999,-111.65999999999985
RAI,-15.138999999999669,-12.635999999999967,-15.447999999999865,-17.434000000000196,-19.37599999999975,-21.226000000000113,-23.074999999999818,-24.795000000000073,-27.174000000000433,-28.519000000000233,-30.964000000000397,-32.69599999999991,-34.38100000000031,-35.83100000000013,-37.733000000000175,-39.05199999999968,-40.46199999999999,-42.485999999999876,-44.340000000000146,-46.072000000000116,-47.8100000000004,-44.0649999999996,-30.27299999999923,-34.88100000000031,-43.36700000000019,-65.23999999999978,-65.9399999999996,-67.27400000000034,-68.5590000000002,-70.125,-71.44799999999941,-72.81700000000001,-74.44900000000052,-76.65999999999985,-77.39199999999983,-74.79199999999946,-57.54100000000017,-60.97200000000066,-64.10300000000007,-67.11100000000079,-69.5590000000002,-72.28900000000067,-74.9960000000001,-77.35299999999916,-79.94499999999971,-82.59400000000005,-86.50500000000011,-89.77099999999973,-92.76299999999992,-95.94000000000051,-99.68000000000029,-103.9340000000002,-109.04399999999987,-113.28999999999996,-118.34100000000035
ALB,-21.704999999999927,-16.547000000000025,-19.51000000000022,-21.7829999999999,-24.996999999999844,-27.608000000000175,-31.3420000000001,-34.376000000000204,-37.108000000000175,-39.190000000000055,-41.708000000000084,-43.85199999999986,-45.67900000000009,-47.78099999999995,-49.82699999999977,-51.80899999999974,-54.25599999999986,-56.66300000000001,-63.48799999999983,-81.88700000000017,-81.57099999999991,-76.14099999999962,-59.97099999999955,-62.66600000000017,-65.90300000000025,-69.6239999999998,-72.3769999999995,-75.26000000000022,-77.27199999999993,-79.15900000000056,-81.08199999999943,-83.41599999999926,-85.90599999999995,-88.46500000000015,-90.01500000000033,-87.86299999999937,-71.45400000000063,-74.66700000000037,-78.15699999999924,-81.52200000000084,-84.53700000000026,-87.56800000000021,-90.6319999999996,-93.6289999999999,-97.91599999999926,-101.30199999999968,-106.26299999999992,-110.0010000000002,-112.47900000000027,-115.48000000000047,-117.34600000000046,-120.96500000000015,-123.96000000000004,-126.87700000000041,-130.57600000000002
GRO,-13.317999999999756,-11.434999999999945,-14.514000000000124,-18.264000000000124,-21.202999999999975,-23.960999999999785,-26.894999999999982,-34.41300000000001,-54.585000000000036,-55.28300000000036,-56.56200000000035,-58.27599999999984,-60.00600000000031,-61.15599999999995,-62.134000000000015,-63.77599999999984,-67.23999999999978,-67.91499999999996,-69.73300000000017,-70.15200000000004,-71.09500000000025,-67.40999999999985,-51.6929999999993,-54.664999999999964,-57.80000000000018,-61.021999999999935,-63.7529999999997,-67.66100000000006,-71.07600000000002,-73.9340000000002,-76.41899999999987,-79.32899999999972,-82.36700000000019,-85.95899999999983,-93.17900000000009,-109.26199999999972,-90.09700000000066,-91.75,-93.84999999999945,-97.57800000000043,-99.34500000000025,-100.88800000000083,-102.40099999999984,-104.78699999999935,-106.43199999999979,-109.9369999999999,-112.02300000000014,-113.67399999999998,-115.20800000000054,-117.23400000000038,-118.61700000000019,-122.39900000000034,-124.89400000000023,-128.96200000000044,-131.95200000000023
STR,-16.58699999999999,-13.253000000000156,-16.73799999999983,-20.220000000000255,-23.42099999999982,-26.657000000000153,-29.940000000000055,-33.090000000000146,-36.07900000000018,-38.41800000000012,-40.80500000000029,-43.31399999999985,-45.488000000000284,-47.39800000000014,-49.297000000000025,-51.04899999999998,-53.235999999999876,-55.12599999999975,-56.98199999999997,-63.73700000000008,-83.29700000000048,-78.33600000000024,-61.99799999999959,-64.97400000000016,-67.76000000000022,-71.29599999999937,-75.0639999999994,-77.90599999999995,-79.58500000000004,-82.01400000000012,-84.34699999999975,-86.53499999999985,-88.64199999999983,-91.07099999999991,-92.22600000000057,-89.77499999999964,-73.08200000000033,-76.29800000000068,-79.91100000000006,-83.48100000000068,-87.1909999999998,-90.4940000000006,-93.8710000000001,-102.32699999999932,-121.89099999999962,-122.10199999999986,-123.96200000000044,-125.46000000000004,-127.14800000000014,-130.69400000000041,-131.20499999999993,-132.3800000000001,-133.85499999999956,-135.79399999999987,-138.57200000000012
MAG,-13.981999999999971,-12.274000000000342,-16.195999999999913,-19.74200000000019,-22.90599999999995,-25.936999999999898,-29.291999999999916,-32.47400000000016,-39.65300000000025,-60.16700000000037,-60.61700000000019,-61.4369999999999,-62.388000000000375,-63.932000000000244,-65.29199999999992,-66.4409999999998,-68.05499999999984,-69.50999999999976,-70.5630000000001,-71.88900000000012,-73.04500000000007,-69.3130000000001,-54.38199999999961,-58.740999999999985,-63.09400000000005,-67.6279999999997,-70.6969999999992,-74.29200000000037,-76.9970000000003,-81.40900000000056,-84.9989999999998,-88.95100000000002,-96.82000000000062,-116.73199999999997,-116.22299999999996,-112.15799999999945,-93.98199999999997,-97.45400000000063,-99.92599999999948,-102.19400000000041,-105.85300000000007,-109.58000000000084,-111.61299999999937,-113.3769999999995,-115.32099999999991,-117.21200000000044,-120.86700000000019,-122.91700000000037,-125.2480000000005,-127.50600000000031,-129.2550000000001,-131.1800000000003,-132.97900000000027,-135.19800000000032,-139.45200000000023
SAI,-25.492999999999938,-57.85600000000022,-59.46799999999985,-61.152000000000044,-63.06899999999996,-65.24699999999984,-67.10199999999986,-69.0340000000001,-71.31700000000001,-72.99200000000019,-75.0340000000001,-77.01700000000028,-78.6220000000003,-80.20700000000033,-81.56500000000005,-82.83500000000004,-83.95599999999968,-84.75900000000001,-86.22200000000021,-87.2140000000004,-88.39999999999964,-84.85400000000027,-69.31700000000001,-72.3680000000004,-75.73400000000038,-78.97599999999966,-81.95499999999993,-85.32000000000062,-87.89099999999962,-91.20700000000033,-94.17399999999998,-98.53599999999915,-102.15500000000065,-107.36700000000019,-109.90200000000004,-113.5639999999994,-115.34799999999996,-119.30500000000029,-121.4359999999997,-123.5640000000003,-125.82600000000002,-127.36100000000079,-128.59699999999975,-129.50900000000001,-131.83599999999933,-133.58799999999974,-135.78300000000036,-136.99099999999999,-138.57700000000023,-140.17399999999998,-140.95400000000063,-142.51400000000012,-144.6959999999999,-146.79600000000028,-149.3760000000002
GIO,-17.688000000000102,-13.788000000000011,-17.764999999999873,-21.68600000000015,-25.78899999999976,-29.257000000000062,-37.547000000000025,-59.42100000000028,-60.340000000000146,-61.8420000000001,-63.13700000000017,-64.61900000000014,-65.68600000000015,-66.9670000000001,-68.18499999999995,-69.2819999999997,-70.73599999999988,-72.05099999999993,-73.55799999999999,-74.85900000000038,-75.84699999999975,-72.25900000000001,-57.357999999999265,-61.542999999999665,-65.82200000000012,-70.83799999999974,-75.89399999999932,-80.81200000000081,-84.77300000000014,-93.9980000000005,-117.73799999999937,-118.375,-120.1880000000001,-121.85399999999936,-123.9960000000001,-120.76499999999942,-103.9970000000003,-107.5560000000005,-111.08999999999924,-113.42600000000039,-115.80299999999988,-118.39600000000064,-122.30299999999988,-124.00900000000001,-126.24299999999948,-128.36399999999958,-131.70100000000002,-133.92399999999998,-136.0619999999999,-138.32800000000043,-139.83400000000074,-141.98000000000047,-145.2579999999998,-149.01100000000042,-152.40700000000015
RUS,-18.32699999999977,-15.177000000000135,-19.414999999999964,-24.02300000000014,-27.63299999999981,-30.911000000000058,-34.358999999999924,-37.43100000000004,-40.521000000000186,-43.365999999999985,-46.807000000000244,-49.89300000000003,-53.23400000000038,-56.4380000000001,-59.53899999999976,-62.61899999999969,-68.70599999999968,-73.17899999999963,-76.69000000000005,-80.32800000000043,-84.67900000000009,-87.8149999999996,-91.82399999999961,-93.89999999999964,-98.03499999999985,-102.49699999999939,-105.58599999999933,-110.44100000000071,-112.94200000000001,-117.28800000000047,-121.33599999999933,-124.14099999999962,-127.10300000000007,-130.4979999999996,-133.88900000000012,-132.96199999999953,-118.875,-124.19000000000051,-129.47699999999986,-134.77600000000075,-139.91200000000026,-144.79500000000007,-150.24199999999928,-156.09399999999914,-161.83999999999924,-167.8800000000001,-174.23800000000028,-180.28300000000036,-190.88400000000001,-211.10400000000027,-211.0030000000006,-212.5560000000005,-214.45399999999972,-217.4900000000007
