VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEC,-2.7260000000001128,-1.743000000000393,-0.705000000000382,-1.0969999999997526,-1.3449999999998,-1.400000000000091,-1.4329999999999927,-1.750999999999749,-2.2780000000002474,-1.9459999999999127,-2.1840000000001965,-2.1100000000001273,-1.8409999999998945,-2.1839999999997417,-2.09900000000016,-2.4420000000000073,-2.588999999999942,-2.7620000000006257,-3.3710000000000946
PER,-7.2159999999998945,-5.7970000000000255,-1.6410000000000764,-2.9729999999999563,-3.688000000000102,-4.2800000000002,-4.7479999999995925,-5.029999999999745,-4.889000000000124,-4.675000000000182,-4.789999999999964,-4.606999999999971,-4.266999999999825,-4.303999999999633,-4.01299999999992,-4.1909999999998035,-4.313000000000102,-4.859000000000378,-5.094999999999345
RIC,-5.190000000000055,-3.5,-1.2409999999999854,-2.330999999999676,-4.317000000000007,-5.076000000000022,-5.671999999999571,-6.30199999999968,-6.920000000000073,-7.58600000000024,-8.579000000000178,-9.625,-10.15099999999984,-10.915999999999713,-11.563000000000102,-12.247000000000298,-12.873000000000502,-13.654999999999745,-14.970999999999549
SAI,-8.668999999999869,-6.7520000000004075,-2.1470000000003893,-3.688999999999851,-4.559999999999945,-5.307000000000244,-6.166999999999916,-6.901999999999589,-7.182000000000244,-8.095000000000255,-8.811999999999898,-10.507000000000062,-10.697999999999865,-11.46499999999969,-12.086999999999534,-12.85400000000027,-13.351000000000568,-14.092999999999847,-15.221999999999753
PIA,-10.369000000000142,-9.153999999999996,-2.6400000000003274,-4.586999999999989,-5.308999999999742,-5.979000000000269,-6.830999999999676,-7.5349999999998545,-8.365999999999985,-8.733000000000175,-9.684999999999945,-11.385000000000218,-11.576000000000022,-12.173999999999978,-12.63000000000011,-13.507000000000517,-14.14600000000064,-15.042000000000371,-15.75
HUL,-12.822000000000116,-11.286000000000058,-3.1200000000003456,-5.17699999999968,-6.5090000000000146,-7.30600000000004,-8.337999999999738,-9.242999999999938,-10.164000000000215,-10.843000000000302,-12.222999999999956,-13.412000000000262,-14.322000000000116,-15.876999999999953,-17.20299999999952,-18.261000000000422,-19.286000000000058,-20.62800000000061,-22.054000000000087
TSU,-19.048999999999978,-18.809000000000196,-4.47400000000016,-7.448999999999614,-8.891000000000076,-9.929000000000087,-11.097999999999956,-12.708999999999833,-13.911000000000058,-14.506000000000313,-15.751999999999953,-17.148999999999887,-19.195999999999913,-22.128999999999905,-23.880999999999403,-24.76299999999992,-25.913000000000466,-27.197000000000116,-29.815999999999804
GAS,-22.702000000000226,-21.240999999999985,-5.007000000000062,-7.842999999999847,-9.567999999999756,-10.57400000000007,-11.872999999999593,-13.255999999999858,-14.527000000000044,-15.300000000000182,-16.56600000000026,-17.88700000000017,-19.753000000000156,-23.135999999999967,-26.16399999999976,-27.467000000000553,-28.7470000000003,-30.283000000000357,-31.88000000000011
SAR,-23.784999999999854,-22.39800000000014,-5.516000000000076,-8.530999999999949,-10.17599999999993,-11.226000000000113,-12.398999999999887,-13.907999999999902,-15.077000000000226,-15.907000000000153,-17.398999999999887,-18.820000000000164,-20.565999999999804,-23.539999999999964,-26.72899999999936,-28.322000000000116,-30.04700000000048,-32.48500000000058,-34.35499999999956
ZHO,-27.554000000000087,-23.47900000000027,-5.996000000000095,-8.92699999999968,-10.840000000000146,-12.126000000000204,-13.221999999999753,-14.597999999999956,-15.851999999999862,-16.851000000000113,-18.15000000000009,-19.505999999999858,-21.157000000000153,-24.036999999999807,-27.3149999999996,-28.97100000000046,-30.726000000000568,-33.04700000000048,-35.07799999999952
RUS,-29.11700000000019,-24.80500000000029,-6.424000000000433,-9.375999999999749,-11.286000000000058,-12.728000000000065,-14.236999999999625,-15.351999999999862,-16.429999999999836,-17.333000000000084,-18.82400000000007,-20.133000000000266,-21.614000000000033,-24.50099999999975,-27.93499999999949,-29.646999999999935,-31.329999999999927,-33.289999999999964,-35.75500000000011
ALB,-31.54300000000012,-27.715000000000146,-7.480000000000018,-10.405999999999949,-12.717999999999847,-13.798999999999978,-15.334999999999582,-17.260999999999967,-18.478999999999814,-19.333000000000084,-20.48700000000008,-21.371999999999844,-22.43600000000015,-24.792999999999665,-28.128999999999905,-30.386000000000422,-31.954999999999927,-34.034999999999854,-36.08599999999933
BOT,-30.697999999999865,-26.920000000000073,-7.092000000000098,-10.07699999999977,-12.063000000000102,-13.432000000000244,-14.858999999999924,-16.812999999999647,-18.126999999999953,-19.06899999999996,-21.590000000000146,-23.208999999999833,-24.641999999999825,-26.596000000000004,-28.75,-31.157000000000153,-32.79200000000037,-34.82999999999993,-36.891999999999825
OCO,-20.039999999999964,-29.44900000000007,-8.093000000000302,-11.29699999999957,-13.489000000000033,-14.840000000000146,-16.427999999999884,-18.222999999999956,-20.965999999999894,-21.797000000000025,-23.065000000000055,-24.335000000000036,-25.853000000000065,-27.656999999999698,-29.675000000000182,-32.54899999999998,-34.447000000000116,-36.207000000000335,-37.73999999999978
HAM,-16.05600000000004,-16.13000000000011,-4.081000000000131,-6.5229999999996835,-7.891999999999825,-8.885999999999967,-10.266999999999825,-11.899999999999636,-12.717000000000098,-13.242999999999938,-14.875,-16.327999999999975,-18.692000000000007,-22.702999999999975,-24.570999999999913,-25.439000000000306,-26.57800000000043,-27.92200000000048,-29.346999999999753
