VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2270000000007713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAI,-2.7409999999999854,-3.1899999999996,-3.211999999999989,-4.003000000000156,-4.414999999999964,-4.256000000000313,-4.269999999999982,-3.836999999999989,-3.5989999999997053,-3.4020000000000437,-3.8849999999997635,-3.9909999999999854,-4.560999999999694,-4.181999999999789,-4.44399999999996,-4.601000000000113,-4.631999999999607,-4.6720000000000255,-4.782999999999902,-4.623999999999796,-4.675999999999931,-4.690000000000055,-5.168999999999869,-5.984999999999673,-6.1469999999999345,-6.713999999999942,-6.951000000000022,-7.123000000000502,-6.792000000000371,-8.144000000000233,-8.235000000000582,-26.326000000000022,-30.4399999999996,-12.800000000000182,-6.782000000000153,-6.576000000000022,-5.878000000000611,-4.597999999999956,-3.1850000000004,-3.6679999999996653,-3.7650000000003274,-3.7719999999999345,-3.4769999999998618,-3.5399999999999636,-3.418000000000575,-3.118999999999687,-3.2510000000002037,-3.2739999999994325,-2.8190000000004147,-3.154000000000451,-3.256000000000313,-3.2620000000006257,-3.3090000000001965,-3.1019999999998618,-2.9650000000001455,-3.0799999999999272,-3.368999999999687,-4.067000000000007,-4.295000000000073,-4.631000000000313,-5.417000000000371,-5.554000000000087,-6.9340000000001965,-7.212000000000444,-7.311000000000604,-7.570999999999913,-7.891999999999825,-8.445999999999913,-8.871000000000095,-8.91399999999976,-8.945999999999913,-8.881000000000313,-8.706000000000131,-8.951000000000022,-9.572000000000116,-9.846000000000458,-9.451999999999316,-8.967999999999847
NOR,-3.742999999999938,-4.688999999999851,-5.025000000000091,-5.559999999999945,-6.532000000000153,-6.432999999999993,-6.905999999999949,-6.441000000000258,-6.557999999999993,-6.803999999999633,-7.139999999999873,-7.360999999999876,-7.906999999999698,-7.903999999999996,-8.159999999999854,-8.494000000000142,-8.468999999999596,-9.153999999999996,-9.634000000000015,-9.361999999999625,-8.978000000000065,-9.117999999999938,-8.973999999999705,-9.38299999999981,-9.817000000000007,-10.131000000000313,-11.151000000000295,-12.805000000000291,-13.155999999999949,-31.087000000000444,-34.3100000000004,-33.259000000000015,-33.641999999999825,-16.33299999999963,-10.68499999999949,-10.386000000000422,-10.260000000000218,-9.50500000000011,-8.595000000000255,-8.386000000000422,-8.675000000000182,-9.375,-9.663000000000466,-10.282999999999447,-10.533000000000357,-10.17199999999957,-10.136000000000422,-10.809000000000196,-11.207000000000335,-12.208999999999833,-12.789999999999964,-13.125,-13.650000000000546,-13.93499999999949,-14.490999999999985,-15.207000000000335,-15.885999999999513,-16.55200000000059,-17.090000000000146,-17.567000000000007,-18.057999999999993,-18.225000000000364,-18.627000000000407,-19.028000000000247,-19.817000000000007,-20.554000000000087,-21.09100000000035,-21.402000000000044,-21.947000000000116,-22.201000000000022,-22.938000000000102,-22.791000000000167,-22.509000000000015,-22.13500000000022,-22.25799999999981,-21.596999999999753,-20.154999999999745,-19.42699999999968
PER,-7.652000000000044,-9.765999999999622,-11.0,-11.927000000000135,-13.980000000000018,-15.234000000000378,-16.753000000000156,-17.970000000000255,-18.830999999999676,-19.360999999999876,-20.197999999999865,-19.807999999999993,-19.734999999999673,-19.84999999999991,-20.528999999999996,-21.10699999999997,-21.234999999999673,-20.955999999999676,-21.38500000000022,-21.1279999999997,-21.472000000000207,-21.17099999999982,-21.088999999999942,-20.937999999999647,-20.26299999999992,-20.65599999999995,-20.983000000000175,-21.72100000000046,-21.458999999999833,-22.038000000000466,-21.8100000000004,-20.472999999999956,-19.315999999999804,-2.03899999999976,-14.074999999999818,-18.123999999999796,-18.644000000000233,-18.04700000000048,-17.519000000000233,-17.787999999999556,-17.270000000000437,-17.17699999999968,-17.153000000000247,-17.865999999999985,-18.280000000000655,-18.372999999999593,-18.579000000000633,-18.71599999999944,-18.340000000000146,-19.52099999999973,-19.314000000000306,-19.60400000000027,-19.774000000000342,-19.786999999999352,-20.24200000000019,-20.606000000000677,-21.579999999999927,-21.91899999999987,-21.878999999999905,-21.634000000000015,-21.346999999999753,-20.65099999999984,-20.414999999999964,-20.09100000000035,-20.618000000000393,-21.105999999999767,-22.052999999999884,-22.676000000000386,-23.292999999999665,-23.384000000000015,-23.76000000000022,-23.891999999999825,-23.743000000000393,-23.78899999999976,-24.05500000000029,-23.628999999999905,-22.011999999999716,-20.48999999999978
VET,-6.948999999999614,-9.199999999999818,-10.679999999999836,-11.576000000000022,-12.605000000000018,-13.450000000000273,-14.599999999999909,-15.28500000000031,-16.199999999999818,-16.672000000000025,-18.005999999999858,-18.369000000000142,-18.9699999999998,-18.951000000000022,-19.017999999999574,-19.126000000000204,-19.16399999999976,-19.31899999999996,-19.583000000000084,-19.51800000000003,-19.33100000000013,-19.192999999999756,-19.08100000000013,-18.979999999999563,-18.76599999999962,-19.370000000000346,-19.700000000000273,-20.355000000000473,-20.10199999999986,-20.777000000000044,-37.19500000000062,-40.9409999999998,-40.43000000000029,-23.506999999999607,-18.435999999999694,-19.980000000000473,-21.170000000000073,-21.422999999999774,-21.289999999999964,-21.891999999999825,-23.13000000000011,-23.622999999999593,-24.21900000000005,-25.27099999999973,-26.244000000000597,-27.59900000000016,-28.09600000000046,-29.04199999999946,-29.447000000000116,-30.796000000000276,-31.905000000000655,-33.32000000000062,-35.027000000000044,-36.672999999999774,-37.39000000000033,-38.35200000000077,-39.472999999999956,-40.694000000000415,-41.5019999999995,-42.021999999999935,-42.22699999999986,-42.23999999999978,-43.310999999999694,-43.646999999999935,-44.66100000000006,-45.10400000000027,-45.41399999999976,-46.32900000000063,-47.447000000000116,-48.056000000000495,-48.60099999999966,-49.667999999999665,-50.53700000000026,-51.11499999999978,-52.11700000000019,-52.64800000000014,-52.34900000000016,-52.59100000000035
GAS,-4.915999999999713,-6.1729999999997744,-6.695999999999913,-7.518999999999778,-8.536000000000058,-8.782000000000153,-9.264000000000124,-8.981999999999971,-9.126999999999953,-9.364999999999782,-9.898000000000138,-9.972999999999956,-10.915999999999713,-10.942000000000007,-11.251999999999953,-11.63000000000011,-11.697999999999865,-11.931999999999789,-13.58600000000024,-13.588999999999942,-13.329999999999927,-13.240999999999985,-13.32400000000007,-13.139999999999873,-13.743999999999687,-13.998000000000047,-15.132000000000062,-15.852000000000771,-16.024000000000342,-34.25800000000072,-39.59100000000035,-42.652000000000044,-43.28399999999965,-27.23700000000008,-22.49200000000019,-23.02900000000045,-23.63500000000022,-24.070999999999913,-24.244000000000597,-24.588999999999942,-25.833999999999833,-26.45799999999963,-27.59100000000035,-28.702000000000226,-30.129000000000815,-30.94499999999971,-31.77100000000064,-33.27799999999934,-33.9980000000005,-35.09299999999985,-36.27100000000064,-37.539999999999964,-38.92100000000028,-40.55699999999979,-42.17200000000048,-43.689000000000306,-44.65899999999965,-45.90599999999995,-46.73499999999967,-47.22599999999966,-47.32600000000002,-47.32899999999972,-48.00200000000041,-48.373999999999796,-48.900000000000546,-49.35999999999967,-49.97100000000046,-51.16200000000026,-51.840000000000146,-52.13000000000011,-52.30500000000029,-53.009000000000015,-53.66700000000037,-54.039999999999964,-54.89400000000023,-55.253999999999905,-54.60499999999956,-53.89599999999973
HAM,-5.99599999999964,-7.257999999999811,-8.199999999999818,-8.898999999999887,-10.228000000000065,-10.528999999999996,-11.012000000000171,-10.901000000000295,-10.769999999999982,-10.694999999999709,-11.128000000000156,-11.456000000000131,-12.571999999999662,-12.822000000000116,-13.265999999999622,-13.657999999999902,-13.700999999999567,-13.63799999999992,-14.468000000000302,-15.183999999999742,-15.394999999999982,-15.268000000000029,-15.092000000000098,-15.190999999999804,-15.295999999999822,-15.471000000000004,-16.093000000000302,-17.15599999999995,-33.65599999999995,-37.04000000000087,-39.97200000000066,-43.04899999999998,-44.92399999999998,-29.00500000000011,-24.295000000000073,-24.837000000000444,-25.597000000000662,-25.368000000000393,-25.225000000000364,-25.886000000000422,-26.766999999999825,-28.149999999999636,-30.378999999999905,-32.17900000000009,-33.152000000000044,-33.36999999999989,-33.15300000000025,-35.01899999999932,-36.16100000000006,-37.663000000000466,-38.97900000000027,-40.25500000000011,-41.15100000000075,-42.07799999999952,-43.2480000000005,-44.59700000000066,-46.711999999999534,-48.30400000000009,-49.21799999999985,-49.860999999999876,-50.16200000000026,-50.63299999999981,-51.02300000000014,-52.047999999999774,-52.376000000000204,-52.33600000000024,-69.11099999999988,-71.40500000000065,-69.47800000000007,-67.53899999999976,-66.73499999999967,-66.8739999999998,-66.63799999999992,-66.44599999999991,-68.33200000000033,-67.53999999999996,-67.05699999999979,-68.23099999999977
STR,-9.461999999999989,-12.315999999999804,-14.454999999999927,-15.86200000000008,-17.596000000000004,-18.946000000000367,-20.971999999999753,-22.25,-23.816999999999553,-25.098999999999705,-26.735999999999876,-28.07900000000018,-29.424999999999727,-29.952999999999975,-30.97799999999961,-31.735999999999876,-32.91199999999981,-34.590999999999894,-36.54899999999998,-37.723999999999705,-38.534000000000106,-39.12099999999964,-39.478999999999814,-39.90599999999995,-40.04599999999982,-40.176000000000386,-40.72200000000021,-41.124000000000706,-41.110999999999876,-44.319000000000415,-45.20300000000043,-47.73099999999977,-50.25500000000011,-34.9970000000003,-31.047999999999774,-31.983000000000175,-32.373999999999796,-32.095000000000255,-31.371000000000095,-31.246000000000095,-31.472999999999956,-31.980999999999767,-32.340000000000146,-33.92699999999968,-36.5590000000002,-36.88500000000022,-37.311000000000604,-38.983000000000175,-39.78600000000006,-40.94300000000021,-42.017000000000735,-43.32000000000062,-44.17000000000007,-44.985999999999876,-46.009000000000015,-46.978000000000065,-48.9409999999998,-66.91000000000076,-70.25999999999931,-72.04100000000017,-73.06999999999971,-73.4930000000004,-73.98700000000008,-73.69700000000012,-76.76000000000022,-77.54600000000028,-77.88400000000001,-78.54799999999977,-79.57399999999961,-80.10300000000007,-80.47000000000025,-80.82200000000012,-81.07099999999991,-80.22999999999956,-80.99099999999999,-82.05199999999968,-82.0059999999994
OCO,-8.976999999999862,-11.65099999999984,-13.773999999999887,-15.030999999999949,-16.684999999999945,-18.064000000000306,-19.91399999999976,-20.760999999999967,-22.230999999999767,-23.585000000000036,-25.090000000000146,-26.427999999999884,-27.72699999999986,-28.24200000000019,-29.233999999999924,-30.34999999999991,-30.93199999999979,-31.43100000000004,-32.5300000000002,-33.04399999999987,-33.40300000000025,-33.92899999999963,-34.3130000000001,-35.36399999999958,-36.17599999999993,-36.37300000000005,-37.222999999999956,-38.400000000000546,-39.36399999999958,-42.402000000000044,-44.3090000000002,-47.21699999999964,-49.42199999999957,-33.51000000000022,-28.922999999999774,-29.58300000000054,-46.238000000000284,-50.17200000000048,-49.80799999999999,-49.47699999999986,-49.32499999999982,-49.20300000000043,-49.402000000000044,-50.266999999999825,-51.34900000000016,-51.87299999999959,-53.16100000000006,-55.284999999999854,-56.847999999999956,-58.654999999999745,-60.13500000000022,-61.957000000000335,-63.90100000000075,-65.3809999999994,-67.0640000000003,-68.70300000000043,-70.65299999999934,-72.99200000000019,-77.76400000000012,-82.83899999999994,-84.95700000000033,-87.19599999999991,-89.94599999999991,-91.95799999999963,-94.15900000000056,-99.38400000000001,-101.82700000000023,-104.29500000000007,-106.40300000000025,-108.01699999999983,-109.55400000000009,-111.60599999999977,-113.22600000000057,-114.55699999999979,-116.54300000000057,-117.86700000000019,-118.91499999999996
GIO,-8.126999999999953,-10.341999999999643,-12.114000000000033,-13.217000000000098,-14.96100000000024,-16.45400000000018,-17.976000000000113,-18.833000000000084,-20.324999999999818,-21.253999999999905,-22.35199999999986,-23.101000000000113,-24.32199999999966,-24.876999999999953,-26.0329999999999,-27.309999999999945,-27.859999999999673,-28.670000000000073,-29.603000000000065,-29.986999999999625,-30.521000000000186,-31.134999999999764,-31.715999999999894,-32.73499999999967,-33.029999999999745,-33.764000000000124,-34.90000000000009,-36.41900000000078,-37.913000000000466,-40.876000000000204,-43.17100000000028,-45.95499999999993,-65.65099999999984,-54.029999999999745,-49.063999999999396,-50.435999999999694,-50.613000000000284,-51.288000000000466,-51.20100000000002,-51.33299999999963,-51.19599999999991,-51.016999999999825,-50.962000000000444,-51.675999999999476,-52.611000000000786,-53.288000000000466,-54.238000000000284,-56.09900000000016,-57.64900000000034,-59.511999999999716,-61.08600000000024,-62.699000000000524,-64.64200000000073,-66.32200000000012,-67.93299999999999,-69.61599999999999,-71.5639999999994,-74.79300000000057,-78.58599999999933,-83.21299999999974,-85.44400000000041,-87.76299999999992,-90.4970000000003,-92.46000000000004,-96.28600000000006,-100.08899999999994,-102.40800000000036,-104.76500000000033,-107.1220000000003,-108.63400000000001,-110.14800000000014,-112.26199999999972,-113.89699999999993,-115.26199999999972,-117.09699999999975,-118.59500000000025,-119.33100000000013
RAI,-11.0649999999996,-14.442999999999756,-16.990999999999985,-18.855999999999767,-20.876999999999953,-22.240999999999985,-24.445999999999913,-26.041999999999916,-27.621999999999844,-28.9399999999996,-30.867999999999938,-32.83899999999994,-34.32999999999993,-35.99400000000014,-37.804999999999836,-39.327999999999975,-40.40199999999959,-41.72599999999966,-43.291999999999916,-44.26299999999992,-45.66000000000031,-46.82199999999966,-47.940000000000055,-48.403999999999996,-49.297999999999774,-50.04899999999998,-50.95100000000002,-52.06800000000021,-52.58399999999983,-55.035000000000764,-55.90300000000025,-56.63500000000022,-57.347999999999956,-42.29100000000017,-39.98700000000008,-42.15599999999995,-42.681000000000495,-43.194000000000415,-43.22400000000016,-44.15800000000036,-45.59100000000035,-46.460000000000036,-64.35000000000036,-70.81700000000001,-73.54400000000078,-79.96900000000005,-81.17200000000048,-82.36599999999999,-83.48400000000038,-84.8060000000005,-86.01900000000023,-86.57700000000023,-86.85699999999997,-87.05499999999938,-87.2430000000004,-87.73199999999997,-88.55799999999999,-89.03900000000067,-89.25799999999981,-89.36700000000019,-89.5010000000002,-89.96799999999985,-91.90400000000045,-97.2460000000001,-98.38400000000001,-101.37299999999959,-104.27499999999964,-106.66800000000057,-109.07399999999961,-110.67200000000048,-111.95600000000013,-113.91100000000006,-115.70700000000033,-117.70200000000023,-119.0659999999998,-120.35199999999986,-120.68299999999999
RIC,-11.67599999999993,-15.521999999999935,-18.097999999999956,-20.661999999999807,-23.358000000000175,-25.314000000000306,-26.896000000000186,-28.2170000000001,-29.691999999999553,-31.634000000000015,-33.99400000000014,-35.61400000000003,-37.28399999999965,-38.365999999999985,-39.774999999999636,-41.628999999999905,-42.68799999999965,-43.86299999999983,-45.41200000000026,-47.0319999999997,-48.79300000000012,-50.35699999999997,-51.753999999999905,-52.76999999999998,-53.36400000000003,-54.207000000000335,-55.64300000000003,-57.1220000000003,-57.77300000000014,-59.40800000000036,-60.71300000000065,-62.29200000000037,-64.10300000000007,-49.66399999999976,-47.289999999999964,-67.20800000000054,-72.79399999999987,-72.57300000000032,-71.2430000000004,-70.81900000000041,-70.20700000000033,-69.78999999999996,-68.7440000000006,-71.45399999999972,-74.23100000000068,-80.76900000000023,-82.50500000000011,-83.83299999999963,-84.9310000000005,-86.3730000000005,-89.55400000000009,-90.08300000000054,-90.72400000000016,-91.73300000000017,-92.2480000000005,-92.96700000000055,-93.47299999999996,-94.13200000000052,-94.67299999999977,-95.65499999999975,-98.9409999999998,-98.91800000000057,-99.14999999999964,-99.47599999999966,-100.13799999999992,-102.3119999999999,-105.03899999999976,-107.48199999999997,-109.97800000000007,-111.82700000000023,-113.54200000000037,-114.96399999999994,-116.63500000000022,-118.39099999999962,-120.60800000000017,-122.00900000000001,-122.83299999999963
ALO,-12.082999999999629,-16.100999999999658,-19.351000000000113,-22.235000000000127,-25.09999999999991,-26.778000000000247,-28.79399999999987,-29.927999999999884,-31.92199999999957,-33.125,-35.63799999999992,-37.71300000000019,-39.5659999999998,-40.789999999999964,-42.774999999999636,-44.85500000000002,-46.278999999999996,-47.99800000000005,-50.15300000000025,-51.71699999999964,-53.35600000000022,-55.016999999999825,-56.608999999999924,-58.25599999999986,-58.96900000000005,-60.45500000000038,-61.8690000000006,-63.077000000000226,-63.422999999999774,-65.4930000000004,-66.57200000000012,-68.66799999999967,-69.93099999999959,-56.28700000000026,-52.889000000000124,-54.68299999999999,-55.9940000000006,-56.84200000000055,-57.40900000000056,-58.79100000000017,-60.590000000000146,-62.45499999999993,-64.43299999999999,-67.82399999999961,-87.3090000000002,-92.4390000000003,-92.06500000000051,-97.53200000000015,-99.10300000000007,-101.38600000000042,-103.16300000000047,-104.6190000000006,-106.4310000000005,-107.24699999999939,-108.41800000000057,-109.60100000000057,-110.90999999999985,-112.28900000000067,-113.08699999999953,-113.6260000000002,-114.07600000000002,-114.08200000000033,-114.9359999999997,-115.61999999999989,-115.80000000000018,-116.6939999999995,-116.97699999999986,-117.34700000000066,-118.17799999999988,-117.88299999999981,-117.8720000000003,-118.35199999999986,-119.14699999999993,-119.72699999999986,-121.41899999999987,-122.78399999999965,-123.32099999999991
RUS,-12.914999999999964,-16.83999999999969,-20.0,-22.853999999999814,-25.570000000000164,-27.814000000000306,-29.822000000000116,-31.32900000000018,-33.39599999999973,-34.97499999999991,-37.04899999999998,-39.17900000000009,-41.865999999999985,-43.771999999999935,-46.49399999999969,-49.177999999999884,-51.62299999999959,-53.86799999999994,-56.314000000000306,-58.46799999999985,-60.34400000000005,-62.310999999999694,-64.24499999999989,-65.86699999999973,-67.44200000000001,-69.3090000000002,-71.53499999999985,-74.13500000000022,-78.75799999999981,-82.3730000000005,-101.13100000000031,-107.81800000000021,-111.0649999999996,-95.11799999999948,-90.30499999999938,-90.61300000000028,-90.64699999999993,-90.15999999999985,-90.26100000000042,-90.04699999999957,-90.19700000000012,-90.96200000000044,-94.23099999999977,-96.40300000000025,-98.28500000000076,-98.91399999999976,-99.60500000000047,-101.13299999999981,-102.39300000000003,-104.33799999999974,-106.46600000000035,-108.49200000000019,-112.89300000000003,-115.18499999999949,-117.1289999999999,-125.75700000000052,-128.14300000000003,-129.45800000000054,-129.90499999999975,-130.46399999999994,-130.66600000000017,-130.90599999999995,-131.59699999999975,-132.0590000000002,-132.71500000000015,-133.26900000000023,-134.09500000000025,-135.38400000000001,-136.8180000000002,-137.65499999999975,-138.39699999999993,-139.79699999999957,-143.3069999999998,-145.09500000000025,-147.2489999999998,-148.5029999999997,-148.6300000000001
LAT,-14.053999999999633,-18.09999999999991,-20.927999999999884,-23.865999999999985,-26.490000000000236,-28.95400000000018,-31.18199999999979,-32.55600000000004,-34.44999999999982,-36.222999999999956,-38.516000000000076,-41.05099999999993,-44.0949999999998,-45.40700000000015,-47.916999999999916,-50.590000000000146,-53.059999999999945,-55.44200000000001,-57.753000000000156,-59.80099999999993,-61.922000000000025,-64.15099999999984,-65.91399999999976,-67.721,-69.32999999999993,-71.02200000000039,-73.01100000000042,-75.47700000000077,-79.67600000000039,-83.34700000000066,-87.04899999999998,-88.52300000000014,-89.66299999999956,-74.1239999999998,-70.17699999999968,-71.83300000000054,-73.88400000000001,-75.42399999999998,-78.45600000000013,-81.63799999999992,-83.4930000000004,-87.75799999999981,-106.33399999999983,-113.24299999999948,-114.4350000000004,-114.82200000000012,-115.61400000000049,-116.76999999999953,-117.9390000000003,-119.16700000000037,-120.08400000000074,-121.3110000000006,-122.71200000000044,-123.7539999999999,-124.67399999999998,-127.05400000000009,-129.15499999999975,-130.94700000000012,-131.89399999999932,-132.58199999999943,-132.84500000000025,-133.04200000000037,-133.94899999999961,-134.44400000000041,-135.26100000000042,-135.53300000000036,-136.48199999999997,-137.64500000000044,-138.85699999999997,-139.4970000000003,-140.47099999999955,-144.23099999999977,-144.98300000000017,-146.22599999999966,-148.13200000000052,-149.4989999999998,-149.71399999999994
TSU,-14.74499999999989,-19.116999999999734,-21.64800000000014,-24.936999999999898,-27.41800000000012,-29.769000000000233,-32.23999999999978,-33.547000000000025,-35.22699999999986,-37.402000000000044,-39.61999999999989,-42.128999999999905,-44.664999999999964,-46.7800000000002,-48.642999999999574,-51.327000000000226,-53.82699999999977,-56.73900000000003,-59.177000000000135,-60.934999999999945,-63.07600000000002,-65.30600000000004,-67.11400000000003,-68.85899999999992,-70.19499999999971,-72.12400000000025,-74.17500000000018,-78.59000000000015,-80.18000000000029,-85.45000000000073,-87.68199999999979,-89.54700000000048,-90.7539999999999,-75.45799999999963,-71.5609999999997,-72.88699999999972,-74.52900000000045,-78.20399999999972,-80.91600000000017,-82.34699999999975,-86.40099999999984,-88.3760000000002,-90.46900000000005,-91.35599999999977,-92.0610000000006,-94.19300000000021,-96.16800000000057,-98.22999999999956,-99.92399999999998,-102.44999999999982,-104.20200000000023,-105.9380000000001,-107.51200000000063,-108.8789999999999,-110.07900000000063,-111.19900000000052,-112.54500000000007,-113.8710000000001,-114.55599999999959,-115.03799999999956,-115.64199999999983,-116.36700000000019,-117.15800000000036,-136.1140000000005,-139.5619999999999,-138.29799999999977,-137.34000000000015,-138.16800000000057,-139.3670000000002,-140.8670000000002,-142.82499999999982,-144.67000000000007,-145.51299999999992,-147.04100000000017,-148.67000000000007,-149.91399999999976,-150.47299999999996
MAZ,-16.08999999999969,-20.574999999999818,-24.007000000000062,-26.574999999999818,-29.28099999999995,-31.97300000000041,-34.78600000000006,-36.947000000000116,-38.968999999999596,-40.896999999999935,-43.65000000000009,-46.215000000000146,-49.547999999999774,-52.664999999999964,-55.79599999999982,-58.840000000000146,-62.098999999999705,-65.3449999999998,-68.36400000000003,-71.14199999999983,-74.06800000000021,-78.7489999999998,-84.55400000000009,-93.25599999999986,-99.48099999999977,-102.22299999999996,-104.91800000000057,-108.44000000000051,-111.17799999999988,-118.54200000000037,-125.9310000000005,-129.27199999999993,-132.48300000000017,-137.02499999999964,-138.65599999999995,-141.82300000000032,-143.73500000000058,-145.27300000000014,-149.94700000000012,-154.1859999999997,-158.73599999999988,-163.71000000000004,-170.84299999999985,-177.29500000000007,-186.3060000000005,-193.32300000000032,-195.48000000000047,-198.03600000000006,-200.0709999999999,-202.27400000000034,-204.20700000000033,-206.27300000000014,-208.4290000000001,-210.36099999999988,-212.66700000000037,-215.5060000000003,-218.2609999999995,-221.5020000000004,-228.40299999999934,-230.53200000000015,-234.70799999999963,-236.67500000000018,-238.52900000000045,-239.92200000000048,-241.61200000000008,-243.41799999999967,-245.48800000000028,-251.27700000000004,-253.57399999999961,-255.5560000000005,-257.951,-260.28499999999985,-262.22100000000046,-264.4920000000002,-266.7359999999999
