HAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VER,-1.4919999999997344,-1.6159999999999854,-1.41399999999976,-1.3309999999996762,-1.58199999999988,-1.6600000000003092,-1.574999999999818,-1.6590000000001055,-1.2649999999998727,-1.6369999999997162,-2.0219999999999345,-2.4960000000000946,-3.2020000000002256,-3.4270000000001346,-4.0909999999998945,-4.442999999999756,-4.838000000000193,-5.5210000000001855,-5.98700000000008,-7.1720000000000255,-11.937999999999647,-28.944000000000415,-24.728000000000065,-4.2719999999999345,-4.051000000000386,-4.036000000000058,-3.592999999999847,-3.8090000000001965,-3.4880000000002838,-3.4979999999995925,-3.6920000000000073,-3.858999999999469,-3.962999999999738,-4.417999999999665,-4.3659999999999854,-5.47400000000016,-6.126000000000204,-7.662000000000262,-9.16399999999976,-10.04700000000048,-13.628000000000611,-31.25,-31.342000000000553,-31.11999999999989,-32.69499999999971,-32.73099999999977,-33.1909999999998,-31.97900000000027,-31.757000000000517,-28.677999999999884,-10.725000000000364,-12.01299999999992,-12.597999999999956,-13.181999999999789,-13.814000000000306,-14.006000000000313,-14.553000000000793,-14.95299999999952,-15.558999999999287,-16.519999999999527,-17.027000000000044,-17.538000000000466,-19.425000000000182,-20.697000000000116,-22.614000000000487,-24.17700000000059
BOT,-3.5789999999997235,-4.010999999999967,-3.9220000000000255,-4.500999999999749,-3.9270000000001346,-3.867000000000189,-3.569999999999709,-3.7280000000000655,-3.393000000000029,-3.8099999999999454,-4.162000000000262,-4.543999999999869,-5.50400000000036,-5.961999999999989,-6.556999999999789,-7.041000000000167,-7.58199999999988,-8.202000000000226,-8.422999999999774,-9.092000000000098,-10.155999999999949,-10.794000000000324,-11.789000000000215,-8.356000000000222,-6.532000000000153,-5.863999999999578,-5.446999999999207,-5.481999999999971,-5.097999999999956,-5.345999999999549,-5.954000000000633,-6.277000000000044,-6.704999999999927,-6.846999999999753,-6.680000000000291,-7.680000000000291,-8.720000000000255,-9.74200000000019,-10.605000000000473,-11.657000000000153,-12.553000000000793,-12.105000000000473,-12.50799999999981,-12.893000000000029,-14.55999999999949,-15.317000000000007,-16.235999999999876,-19.83100000000013,-38.88100000000031,-35.787999999999556,-17.314000000000306,-18.65599999999995,-19.461999999999534,-20.326000000000022,-20.646999999999935,-20.86700000000019,-21.067000000000007,-21.40099999999984,-22.190999999999804,-22.78899999999976,-23.326000000000022,-24.73400000000038,-24.662000000000262,-28.936999999999898,-48.63500000000022,-44.75200000000041
STR,-2.974999999999909,-3.5340000000001055,-3.319999999999709,-4.050999999999931,-5.710000000000036,-6.313000000000102,-7.013999999999669,-7.528999999999996,-7.821999999999662,-8.94900000000007,-10.628000000000156,-12.489000000000033,-14.956000000000131,-17.01299999999992,-18.95699999999988,-20.73700000000008,-22.483000000000175,-24.460000000000036,-26.438000000000102,-28.432999999999993,-30.669999999999618,-33.210000000000036,-31.2829999999999,-13.34900000000016,-15.168999999999869,-17.979999999999563,-24.46899999999914,-44.95299999999952,-45.49499999999989,-46.725000000000364,-48.20400000000063,-49.30499999999938,-50.990999999999985,-52.865999999999985,-54.082000000000335,-56.11999999999989,-57.586999999999534,-60.02000000000044,-62.159999999999854,-64.39900000000034,-66.33700000000044,-71.88400000000001,-90.72900000000027,-91.84699999999975,-93.39199999999983,-94.48999999999978,-95.52900000000045,-95.16499999999996,-96.6820000000007,-94.71900000000005,-77.5609999999997,-80.11200000000008,-83.64499999999953,-85.65800000000036,-87.67299999999977,-88.2510000000002,-89.48900000000049,-90.51599999999962,-91.90699999999924,-93.32299999999941,-94.28200000000015,-95.78900000000067,-98.76400000000012,-101.0689999999995,-103.51100000000042
PER,-4.491999999999734,-5.0090000000000146,-5.1030000000000655,-5.70699999999988,-6.440000000000055,-7.7150000000001455,-8.679999999999836,-9.177000000000135,-9.373999999999796,-10.503999999999905,-12.161000000000058,-14.110000000000127,-16.482000000000426,-18.44100000000026,-20.634999999999764,-22.541000000000167,-24.534999999999854,-26.452000000000226,-28.152000000000044,-30.15000000000009,-32.375,-34.54900000000043,-33.108000000000175,-14.594000000000051,-16.713999999999942,-19.240999999999985,-21.946999999999207,-23.988999999999578,-29.546000000000276,-49.2470000000003,-48.814000000000306,-50.761999999999716,-52.42900000000009,-54.33799999999974,-56.51900000000023,-58.4340000000002,-59.70499999999993,-61.650000000000546,-63.6869999999999,-65.82500000000073,-67.85100000000057,-70.23700000000008,-72.6890000000003,-74.8739999999998,-77.22000000000025,-79.67399999999998,-82.33799999999974,-84.51900000000023,-86.58500000000004,-85.4989999999998,-68.91200000000026,-72.69300000000021,-75.16399999999976,-77.30699999999979,-79.15899999999965,-82.89699999999993,-84.38700000000063,-85.52299999999923,-87.51099999999951,-89.45699999999943,-90.79500000000007,-92.9390000000003,-96.26900000000023,-98.53799999999956,-101.2510000000002
SAI,-6.26299999999992,-7.568000000000211,-8.25,-8.879999999999654,-10.007000000000062,-11.16000000000031,-12.079999999999927,-12.778999999999996,-13.169999999999618,-14.725999999999658,-16.659999999999854,-18.809999999999945,-21.440000000000055,-23.427000000000135,-25.505999999999858,-27.315000000000055,-29.364000000000033,-30.97699999999986,-32.628999999999905,-34.702999999999975,-36.985999999999876,-42.634000000000015,-58.66600000000017,-40.21900000000005,-41.90099999999984,-43.925999999999476,-45.805999999999585,-48.034999999999854,-48.60599999999977,-48.58799999999974,-50.77800000000025,-52.04599999999937,-53.626000000000204,-55.64899999999943,-57.57900000000063,-59.8159999999998,-61.146999999999935,-63.02600000000075,-65.17500000000018,-67.21800000000076,-72.36200000000008,-91.05699999999979,-92.05699999999979,-93.71499999999924,-95.4989999999998,-96.88999999999942,-97.88299999999981,-98.38400000000001,-99.51900000000023,-97.73999999999978,-81.79899999999998,-84.34900000000016,-86.45799999999963,-88.40499999999975,-89.98800000000028,-91.48300000000017,-93.07100000000082,-95.21399999999994,-96.02099999999973,-97.39300000000003,-100.50900000000001,-101.59100000000035,-104.20700000000033,-106.15200000000004,-107.83200000000033
VET,-8.851999999999862,-11.184000000000196,-12.106999999999971,-13.342999999999847,-15.431999999999789,-16.903999999999996,-17.95199999999977,-19.44399999999996,-20.144999999999982,-22.05699999999979,-24.28099999999995,-26.60699999999997,-29.319000000000415,-31.51700000000028,-33.60699999999997,-35.47499999999991,-37.215999999999894,-39.33899999999994,-41.20699999999988,-43.32500000000027,-45.76399999999967,-48.05000000000018,-46.48900000000003,-27.929999999999836,-29.712000000000444,-31.664999999999964,-33.805999999999585,-36.6880000000001,-43.60199999999986,-62.89900000000034,-63.926000000000386,-65.02099999999973,-66.51400000000012,-68.98899999999958,-70.5560000000005,-72.41399999999976,-73.71799999999985,-75.23500000000058,-76.71700000000055,-78.26800000000003,-79.86100000000079,-83.70700000000033,-85.03999999999996,-86.8739999999998,-89.44999999999982,-90.96699999999964,-92.04399999999987,-91.6880000000001,-93.2440000000006,-91.57299999999941,-74.6810000000005,-77.76299999999992,-82.01500000000033,-84.54799999999977,-87.08799999999974,-90.19899999999961,-92.26100000000042,-94.57699999999932,-99.58999999999924,-102.5069999999996,-105.14300000000003,-108.95499999999993,-113.2440000000006,-116.77899999999954,-120.60000000000036
ALB,-5.355999999999767,-6.122000000000298,-6.326000000000022,-6.876999999999953,-7.8539999999998145,-8.788000000000011,-9.49599999999964,-10.019000000000233,-10.241999999999734,-11.618999999999687,-14.034000000000106,-16.38799999999992,-18.89700000000039,-21.050000000000182,-23.423999999999978,-25.8420000000001,-31.69900000000007,-51.53200000000015,-54.09699999999975,-56.30799999999999,-58.08299999999963,-59.71900000000005,-57.847999999999956,-39.75700000000006,-41.30000000000018,-43.31999999999971,-45.26899999999932,-47.45299999999952,-50.206999999999425,-52.26500000000033,-54.44000000000051,-56.60899999999947,-57.29500000000007,-59.40700000000015,-61.40400000000045,-63.159999999999854,-64.53499999999985,-66.28999999999996,-71.97600000000057,-90.69600000000082,-90.45200000000023,-92.53999999999996,-93.41800000000057,-94.74299999999948,-98.46000000000004,-99.82699999999932,-101.24099999999999,-100.95399999999972,-101.9940000000006,-100.06299999999919,-83.10599999999977,-85.77099999999973,-87.93199999999979,-90.42000000000007,-92.34900000000016,-94.0649999999996,-97.73199999999997,-99.3189999999995,-101.47899999999936,-103.8139999999994,-107.24299999999948,-110.2510000000002,-114.42700000000059,-117.8739999999998,-121.79500000000007
GAS,-7.132999999999811,-8.608000000000175,-9.128999999999905,-9.885999999999967,-11.177000000000135,-12.164999999999964,-13.14599999999973,-14.07300000000032,-14.5649999999996,-16.10699999999997,-17.93899999999985,-20.139000000000124,-22.90000000000009,-25.065000000000055,-27.19399999999996,-29.077999999999975,-30.813000000000102,-32.94599999999991,-34.697999999999865,-37.120000000000346,-43.45100000000002,-62.25500000000011,-59.82099999999991,-41.141000000000076,-42.47699999999986,-44.44200000000001,-46.46099999999933,-50.488000000000284,-50.909999999999854,-52.9369999999999,-55.15599999999995,-57.274999999999636,-60.05199999999968,-61.42500000000018,-62.78400000000056,-64.49099999999999,-65.51499999999942,-67.17200000000048,-69.52900000000045,-70.39800000000014,-72.0010000000002,-77.05400000000009,-97.17000000000007,-97.5719999999992,-99.57700000000023,-101.14999999999964,-102.33100000000013,-102.6239999999998,-103.76800000000003,-102.61599999999999,-85.1880000000001,-87.51299999999992,-89.53200000000015,-91.79500000000007,-93.47299999999996,-97.04799999999977,-98.46399999999994,-100.45699999999943,-102.97099999999955,-106.6210000000001,-109.01299999999992,-111.60900000000038,-115.25500000000011,-118.68499999999949,-122.38400000000001
NOR,-8.317999999999756,-10.370000000000346,-11.371000000000095,-12.284999999999854,-13.882000000000062,-15.700000000000273,-16.875,-18.202999999999975,-19.05099999999993,-20.855000000000018,-22.789999999999964,-25.083999999999833,-27.580000000000382,-29.423999999999978,-31.577999999999975,-33.30099999999993,-34.6869999999999,-36.49499999999989,-38.00099999999975,-39.52300000000014,-45.317999999999756,-64.30500000000029,-61.940000000000055,-43.14899999999989,-44.29600000000028,-46.08399999999983,-47.86899999999969,-51.09299999999985,-52.264000000000124,-53.935999999999694,-56.014000000000124,-58.10099999999966,-60.784999999999854,-64.63400000000001,-65.01600000000053,-66.22000000000025,-67.1279999999997,-68.66400000000067,-70.4380000000001,-71.78800000000047,-73.38100000000031,-75.11300000000028,-76.09500000000025,-80.66799999999967,-100.55799999999999,-101.89799999999923,-103.15000000000055,-103.5039999999999,-104.78200000000015,-103.77099999999973,-86.3060000000005,-89.20699999999943,-91.44599999999991,-93.22699999999986,-96.98399999999947,-97.93000000000029,-99.63500000000022,-101.78499999999985,-105.77299999999923,-107.5639999999994,-110.03600000000006,-112.5640000000003,-116.05200000000059,-119.6269999999995,-122.9409999999998
RIC,-9.233999999999924,-12.826000000000022,-13.945999999999913,-15.172000000000025,-17.40000000000009,-18.90000000000009,-20.440000000000055,-22.28099999999995,-23.760999999999967,-25.77500000000009,-27.88700000000017,-29.88000000000011,-32.57100000000037,-34.97499999999991,-37.68399999999974,-39.960000000000036,-42.03699999999981,-43.99000000000024,-45.60799999999972,-47.76700000000028,-50.47199999999975,-51.40300000000025,-49.36500000000024,-30.33199999999988,-31.701000000000022,-33.310999999999694,-35.11499999999978,-37.4340000000002,-40.89099999999962,-42.58799999999974,-45.03600000000006,-47.41599999999926,-49.59900000000016,-52.23999999999978,-59.264000000000124,-81.20799999999963,-85.03700000000026,-87.53999999999996,-90.16399999999976,-96.19000000000051,-98.05799999999999,-100.36300000000028,-102.72699999999986,-104.57600000000002,-107.30000000000018,-108.68199999999979,-110.15800000000036,-110.11999999999989,-111.14200000000073,-108.99499999999989,-91.10000000000036,-95.33699999999953,-96.96000000000004,-98.65400000000045,-100.25,-101.59900000000016,-104.91100000000006,-106.29199999999946,-108.27199999999993,-109.90999999999985,-111.21399999999994,-113.94900000000052,-117.25,-120.47299999999996,-123.93199999999979
KVY,-9.571999999999662,-12.050000000000182,-12.967000000000098,-14.005999999999858,-16.35699999999997,-17.778000000000247,-18.98299999999972,-20.32300000000032,-21.18399999999974,-23.373999999999796,-25.30099999999993,-27.47699999999986,-30.13000000000011,-32.465000000000146,-34.61899999999969,-37.03800000000001,-39.375,-41.70899999999983,-43.83399999999983,-46.496000000000095,-53.11499999999978,-74.13000000000011,-70.1880000000001,-50.13700000000017,-50.96799999999985,-51.404999999999745,-51.74199999999928,-52.78300000000036,-53.422999999999774,-55.97599999999966,-57.83000000000084,-59.839999999999236,-62.01500000000033,-65.86099999999988,-67.78000000000065,-70.04399999999987,-70.98999999999978,-72.18000000000029,-73.5590000000002,-75.52300000000014,-77.34500000000025,-79.40999999999985,-81.49200000000019,-85.125,-92.17199999999957,-111.2559999999994,-111.44300000000021,-110.85599999999977,-111.8789999999999,-110.32399999999961,-93.86099999999988,-96.46599999999944,-98.3140000000003,-100.45499999999993,-103.875,-105.07300000000032,-106.56800000000021,-108.01199999999972,-109.86299999999937,-111.51299999999992,-112.8109999999997,-114.9390000000003,-118.36700000000019,-121.05400000000009,-124.78499999999985
OCO,-11.835999999999785,-14.961999999999989,-16.98700000000008,-18.310999999999694,-20.186999999999898,-22.001999999999953,-23.80899999999974,-25.715999999999894,-27.103999999999814,-29.411999999999807,-31.916000000000167,-34.49200000000019,-37.539000000000215,-40.259000000000015,-42.848999999999705,-45.759000000000015,-47.92500000000018,-50.33100000000013,-53.177000000000135,-55.21199999999999,-56.97199999999975,-58.67300000000023,-57.11700000000019,-38.971000000000004,-40.552999999999884,-42.534999999999854,-44.49199999999928,-46.35199999999986,-48.05400000000009,-51.46299999999974,-53.67700000000059,-55.922999999999774,-59.50799999999981,-67.03899999999976,-88.9310000000005,-92.92000000000007,-94.84000000000015,-97.03000000000065,-99.28099999999995,-101.88500000000022,-104.95000000000073,-107.66399999999976,-110.55000000000018,-114.00900000000001,-118.69200000000001,-120.40299999999934,-122.125,-123.46299999999974,-125.5,-124.08899999999994,-107.22100000000046,-110.65499999999975,-113.72500000000036,-116.25,-118.96699999999964,-121.19499999999971,-122.51700000000073,-124.3769999999995,-126.43799999999919,-128.23799999999937,-129.66399999999976,-131.47500000000036,-134.41700000000037,-136.66699999999946,-137.9939999999997
