GAS,-11.245999999999981,-15.484000000000037,-18.812999999999988,-21.813999999999965,-25.798000000000002,-28.556999999999903,-31.473999999999933,-34.15100000000007,-37.044999999999845,-39.83399999999983,-41.802000000000135,-43.82600000000002,-45.999000000000024,-47.8119999999999,-49.263999999999896,-50.42399999999998,-52.069999999999936,-52.88099999999986,-53.61999999999989,-54.33699999999999,-71.63500000000022,-58.871999999999844,-60.78800000000001,-62.753999999999905,-65.30500000000029,-66.94700000000012,-68.27800000000025,-69.97899999999981,-71.41900000000032,-72.83599999999979,-74.42699999999968,-88.70699999999988,-121.29500000000007,-72.08299999999963,-22.43100000000004,-13.704999999999927,-6.518000000000029,-17.74000000000069,-11.682999999999993,-10.728000000000065,-5.6270000000004075,-10.455000000000837,-13.447000000000116,-14.233000000000175,-16.210000000000036,-18.521999999999935,-21.21900000000005,-22.925999999999476,-25.677999999999884,-29.15399999999954,-31.329000000000633,-34.115999999999985
PER,-22.927999999999997,-25.293000000000006,-27.055000000000064,-30.00999999999999,-32.650999999999954,-35.364999999999895,-37.10699999999997,-38.996000000000095,-41.702999999999975,-44.621999999999844,-46.944999999999936,-49.593999999999824,-51.19399999999996,-71.46100000000001,-71.82500000000005,-72.03700000000003,-73.81600000000003,-74.26099999999997,-74.49800000000005,-74.92799999999988,-72.80700000000024,-60.610999999999876,-63.266999999999825,-64.6869999999999,-66.70100000000002,-68.52200000000039,-70.32400000000007,-71.96199999999999,-73.46900000000005,-74.66800000000012,-76.52700000000004,-91.99200000000019,-122.39199999999983,-72.95299999999997,-24.494000000000142,-14.50799999999981,-6.97400000000016,-19.26600000000053,-12.4350000000004,-12.363999999999578,-5.453000000000429,-9.991000000000895,-12.895000000000437,-13.712000000000444,-15.587000000000444,-17.91899999999987,-20.547999999999774,-22.261999999999716,-25.00999999999931,-29.178999999999178,-32.141999999999825,-34.69500000000062
ALO,-10.802000000000021,-14.783999999999992,-17.936000000000035,-21.30200000000002,-25.107999999999947,-27.83299999999997,-30.473999999999933,-32.95400000000018,-35.64499999999998,-38.42599999999993,-40.41800000000012,-42.350999999999885,-43.85199999999986,-64.17699999999991,-64.76700000000005,-65.12400000000002,-66.10099999999989,-66.38999999999987,-66.70100000000002,-68.07400000000007,-65.48300000000017,-53.20699999999988,-54.733000000000175,-56.17399999999998,-58.05000000000018,-59.89700000000039,-61.50600000000031,-63.4699999999998,-65.28800000000001,-67.16100000000006,-69.27299999999968,-81.66900000000032,-110.65499999999975,-60.80099999999993,-18.6550000000002,-10.791000000000167,-5.253999999999905,-17.012000000000626,-10.9399999999996,-10.019000000000233,-4.735999999999876,-9.32300000000032,-12.14599999999973,-13.113000000000284,-14.960000000000036,-17.425000000000182,-19.763999999999214,-21.574999999999818,-24.28899999999976,-27.112999999999374,-29.213999999999942,-31.10199999999986
LEC,-7.754000000000019,-10.561000000000035,-13.047000000000025,-15.199999999999932,-17.888000000000034,-19.886999999999944,-22.270999999999958,-24.348000000000184,-27.342999999999847,-29.899999999999864,-31.610000000000127,-33.16300000000001,-34.86799999999994,-36.427999999999884,-37.51499999999987,-38.40300000000002,-40.56600000000003,-41.48299999999972
STR,-14.161000000000058,-20.586000000000013,-25.437999999999988,-29.246999999999957,-34.10799999999995,-37.65600000000006,-41.49500000000012,-44.798,-48.07999999999993,-51.64499999999998,-54.76800000000003,-57.83600000000001,-61.16799999999989,-65.20900000000006,-67.47499999999991,-70.10000000000014,-72.92600000000016,-76.04199999999992,-77.9050000000002,-80.51900000000023,-79.40200000000004,-69.3739999999998,-73.2829999999999,-76.64800000000014,-80.23800000000028,-82.97900000000027,-85.5010000000002,-88.49299999999994,-91.61100000000033,-96.23500000000013,-118.7829999999999,-151.48000000000002,-167.0999999999999,-155.91899999999987,-116.67900000000009,-71.73000000000002,-26.764000000000124,-45.1840000000002,-26.11700000000019,-15.742999999999483,-6.707999999999629,-11.923000000000684,-15.49499999999989,-16.420000000000073,-19.261999999999716,-21.855999999999767,-24.47899999999936,-26.590000000000146,-29.854999999999563,-32.930999999999585,-35.73000000000047,-38.09299999999985
VAN,-12.533000000000015,-18.44799999999998,-22.422000000000025,-25.755999999999972,-29.331999999999994,-32.023000000000025,-35.07999999999993,-37.67600000000016,-40.7829999999999,-43.64899999999989,-45.940000000000055,-48.346000000000004,-50.7969999999998,-53.10799999999995,-54.815000000000055,-55.90499999999997,-57.84100000000012,-58.677999999999884,-59.61999999999989,-61.28800000000001,-59.73900000000003,-66.89499999999998,-68.91100000000006,-70.38799999999992,-73.42800000000034,-75.1220000000003,-76.5260000000003,-78.11599999999999,-79.73100000000022,-81.32099999999991,-83.19899999999961,-106.07799999999997,-119.24699999999984,-87.15499999999975,-35.059999999999945,-16.938000000000102,-7.319999999999709,-20.896999999999935,-13.653999999999542,-13.381999999999607,-6.192000000000007,-11.010000000000218,-14.266999999999825,-15.213999999999942,-17.220000000000255,-19.443999999999505,-22.13299999999981,-23.925999999999476,-26.570999999999913,-30.167999999999665,-33.699000000000524,-35.76100000000042
MAG,-9.95399999999995,-14.027000000000044,-17.124000000000024,-20.855000000000018,-23.69399999999996,-27.1339999999999,-29.69399999999996,-32.146000000000186,-34.72499999999991,-37.396999999999935,-39.430000000000064,-41.177999999999884,-42.903999999999996,-45.38599999999997,-46.863000000000056,-47.499000000000024,-48.6719999999998,-49.365999999999985,-49.78200000000015,-50.8119999999999,-47.39899999999989,-35.180999999999585,-36.80600000000004,-38.49200000000019,-39.71100000000024,-60.75600000000031,-62.195000000000164,-64.02499999999964,-66.09900000000016,-68.00900000000001,-70.08099999999968,-86.75199999999995,-101.94999999999982,-48.04099999999971,-11.489000000000033,-9.0949999999998,-4.9399999999996,-15.141000000000531,-8.569999999999709,-8.601999999999862,-5.136999999999716,-8.602000000000771,-11.396999999999935,-12.394000000000233,-14.192000000000007,-16.61499999999978,-18.958999999999833,-20.80499999999938,-23.677999999999884,-26.3779999999997,-28.63299999999981,-33.17500000000018
HUL,-6.913000000000011,-9.427000000000021,-11.637000000000057,-13.616999999999962,-15.928999999999974,-18.177999999999997,-20.692000000000007,-22.807000000000016,-25.201000000000022,-28.468999999999824,-30.202999999999975,-31.66300000000001,-33.528999999999996,-35.26700000000005,-36.55099999999993,-37.16300000000001,-39.39099999999985,-40.33899999999994,-41.014000000000124,-41.54100000000017,-59.041999999999916,-47.29499999999962,-49.88200000000006,-52.38200000000006,-55.27800000000025,-57.07300000000032,-59.253000000000156,-61.554999999999836,-63.422000000000025,-65.15099999999984,-67.31700000000001,-82.63500000000022,-96.3119999999999,-44.95399999999972,-9.889000000000124,-7.739999999999782,-3.842999999999847,-12.063000000000102,-6.876000000000204,-6.006000000000313,-3.904000000000451,-6.460000000000036,-9.25799999999981,-10.297999999999774,-11.967999999999847,-14.125999999999294,-16.446999999999207,-18.09400000000005,-20.77099999999973,-23.55699999999979,-26.016999999999825,-28.207000000000335
HAR,-79.61400000000003
RIC,-5.897000000000048,-7.400999999999954,-8.653999999999996,-9.569999999999936,-10.782000000000039,-11.533000000000015,-12.114000000000033,-12.748000000000047,-13.649999999999864,-14.383000000000038,-14.831000000000131,-14.927999999999884,-15.459999999999809,-15.82400000000007,-16.024999999999864,-15.423000000000002,-15.55099999999993,-14.632000000000062,-33.36400000000003,-33.01000000000022,-28.291999999999916,-14.458999999999833,-15.347000000000207,-15.486000000000331,-15.77200000000039,-15.55600000000004,-15.037000000000262,-15.096999999999753,-14.9050000000002,-14.449999999999818,-33.20199999999977,-32.94599999999991,-47.73499999999967,-25.445999999999913,-8.12900000000036,-5.914999999999964,-3.1129999999993743,-8.048999999999978,-5.579999999999927,-4.992000000000189,-3.4350000000004,-4.154000000000451,-5.3729999999995925,-4.481999999999971,-4.574999999999818,-4.358999999999469,-4.6119999999991705,-4.960000000000036,-6.8149999999996,-8.273999999999432,-8.797999999999774,-9.48700000000008
